time,open,high,low,close,volume,label
2019-01-03,26.89,26.96,26.11,26.11,703060,strong_down
2019-01-04,26.11,26.33,25.79,26.3,432170,weak_up
2019-01-07,26.42,26.89,26.36,26.74,398000,weak_up
2019-01-08,26.74,26.74,26.42,26.42,172180,weak_down
2019-01-09,26.42,26.96,26.42,26.86,440950,weak_up
2019-01-10,26.86,27.05,26.64,27.05,285290,weak_up
2019-01-11,27.05,27.05,26.74,26.74,360780,weak_down
2019-01-14,26.74,26.74,26.42,26.74,454580,sideways
2019-01-15,26.74,26.96,26.52,26.96,871010,weak_up
2019-01-16,26.89,27.3,26.83,26.83,1761330,sideways
2019-01-17,27.05,27.05,26.8,26.83,457130,sideways
2019-01-18,26.8,26.89,26.55,26.55,195210,weak_down
2019-01-21,26.55,26.61,26.26,26.33,440920,weak_down
2019-01-22,26.36,26.58,26.33,26.36,141590,sideways
2019-01-23,26.36,26.42,26.26,26.3,176570,sideways
2019-01-24,26.3,26.39,26.2,26.3,147770,sideways
2019-01-25,26.3,26.39,26.17,26.17,223510,sideways
2019-01-28,26.17,26.48,26.17,26.3,270250,sideways
2019-01-29,26.3,26.89,26.08,26.89,461840,strong_up
2019-01-30,26.58,26.67,26.3,26.3,263110,strong_down
2019-01-31,26.42,26.58,26.11,26.11,206030,weak_down
2019-02-01,26.33,26.48,26.08,26.11,420360,sideways
2019-02-11,26.26,26.61,26.26,26.61,355460,weak_up
2019-02-12,26.61,26.83,26.61,26.61,343450,sideways
2019-02-13,26.61,27.11,26.61,27.11,1212540,weak_up
2019-02-14,27.11,27.18,26.89,26.96,668840,weak_down
2019-02-15,26.96,27.14,26.83,27.08,717740,sideways
2019-02-18,27.21,27.24,27.02,27.08,455150,sideways
2019-02-19,27.08,27.58,27.08,27.36,1911250,weak_up
2019-02-20,27.36,27.55,27.33,27.4,592890,sideways
2019-02-21,27.4,27.65,27.4,27.65,781820,weak_up
2019-02-22,27.58,28.21,27.4,27.99,1190030,weak_up
2019-02-25,28.31,28.69,28.15,28.18,1273860,weak_up
2019-02-26,28.25,28.25,27.74,27.84,797730,weak_down
2019-02-27,27.96,28.12,27.62,27.74,575710,sideways
2019-02-28,27.74,27.9,27.3,27.3,1160450,weak_down
2019-03-01,27.55,27.65,27.36,27.52,431190,weak_up
2019-03-04,27.84,28.12,27.46,27.99,769420,weak_up
2019-03-05,27.99,28.31,27.62,27.62,706580,weak_down
2019-03-06,27.68,27.77,27.46,27.71,536430,sideways
2019-03-07,27.84,27.84,27.55,27.58,458460,sideways
2019-03-08,27.36,27.49,27.18,27.24,830580,weak_down
2019-03-11,27.46,27.65,27.33,27.49,358070,weak_up
2019-03-12,27.68,27.84,27.62,27.84,667370,weak_up
2019-03-13,27.84,28.31,27.84,28.12,1079120,weak_up
2019-03-14,28.15,28.15,27.84,27.87,479400,weak_down
2019-03-15,27.99,28.09,27.77,27.87,456820,sideways
2019-03-18,27.87,28.09,27.84,28.06,722860,weak_up
2019-03-19,28.09,28.62,27.96,28.03,1161490,sideways
2019-03-20,27.84,28.09,27.68,27.84,431600,weak_down
2019-03-21,27.84,28.03,27.65,27.65,706020,weak_down
2019-03-22,27.65,27.71,27.36,27.43,671770,weak_down
2019-03-25,27.21,27.21,26.36,26.36,1163400,strong_down
