time,open,high,low,close,volume,label
2019-01-03,12.46,12.49,12.12,12.12,1811430,strong_down
2019-01-04,12.12,12.12,11.27,12.1,2970830,sideways
2019-01-07,12.2,12.36,12.17,12.17,1436930,weak_up
2019-01-08,12.2,12.22,12.15,12.17,843170,sideways
2019-01-09,12.22,12.61,12.17,12.51,3192180,strong_up
2019-01-10,12.51,12.58,12.49,12.51,1644380,sideways
2019-01-11,12.53,12.75,12.53,12.61,1623150,weak_up
2019-01-14,12.56,12.63,12.49,12.53,2002420,weak_down
2019-01-15,12.53,12.85,12.53,12.85,1853220,strong_up
2019-01-16,12.9,12.97,12.83,12.85,1782580,sideways
2019-01-17,12.85,13.02,12.8,12.92,1858980,weak_up
2019-01-18,13.0,13.07,12.85,12.97,1598890,sideways
2019-01-21,13.04,13.33,13.04,13.29,1951730,strong_up
2019-01-22,13.38,13.38,13.0,13.0,2368670,strong_down
2019-01-23,13.04,13.04,12.87,12.87,2092730,weak_down
2019-01-24,12.95,13.02,12.83,12.92,1537670,sideways
2019-01-25,13.07,13.21,12.92,12.92,1710030,sideways
2019-01-28,12.97,13.0,12.63,12.7,1864000,weak_down
2019-01-29,12.7,12.85,12.56,12.85,2058540,weak_up
2019-01-30,12.85,12.95,12.75,12.9,1017170,sideways
2019-01-31,12.9,12.9,12.75,12.85,2606420,sideways
2019-02-01,12.85,13.19,12.75,13.19,7859690,strong_up
2019-02-11,13.09,13.24,13.0,13.12,2504660,weak_down
2019-02-12,13.17,13.41,13.07,13.31,4957590,weak_up
2019-02-13,13.31,13.46,13.29,13.36,2519920,sideways
2019-02-14,13.33,13.38,13.21,13.24,2290940,weak_down
2019-02-15,13.19,13.41,13.14,13.21,3355310,sideways
2019-02-18,13.24,13.36,13.21,13.26,2160450,sideways
2019-02-19,13.29,13.67,13.29,13.36,7850600,weak_up
2019-02-20,13.41,13.48,13.31,13.36,2760520,sideways
2019-02-21,13.38,13.43,13.24,13.33,2102120,sideways
2019-02-22,13.33,13.58,13.29,13.43,6443060,weak_up
2019-02-25,13.53,13.58,13.43,13.46,3849680,sideways
2019-02-26,13.43,13.5,13.21,13.31,3078620,weak_down
2019-02-27,13.31,13.33,13.12,13.19,4709200,weak_down
2019-02-28,13.14,13.19,12.8,12.85,4845650,strong_down
2019-03-01,12.9,13.02,12.8,12.9,2342280,sideways
2019-03-04,12.95,13.14,12.95,13.09,2834780,weak_up
2019-03-05,13.02,13.19,12.95,13.0,3227790,weak_down
2019-03-06,13.0,13.04,12.92,13.0,1004950,sideways
2019-03-07,13.04,13.12,12.97,12.97,1428410,sideways
2019-03-08,12.87,12.92,12.73,12.73,2892590,weak_down
2019-03-11,12.85,12.85,12.73,12.75,894870,sideways
2019-03-12,12.9,13.0,12.73,13.0,1884510,weak_up
2019-03-13,13.04,13.36,13.04,13.17,4603520,weak_up
2019-03-14,13.19,13.21,13.07,13.09,1377040,weak_down
2019-03-15,13.04,13.19,12.97,13.02,1750100,weak_down
2019-03-18,13.07,13.21,13.0,13.12,3348820,weak_up
2019-03-19,13.12,13.19,12.95,12.97,2078600,weak_down
2019-03-20,12.97,12.97,12.8,12.9,1701020,weak_down
2019-03-21,12.97,12.97,12.66,12.66,2858380,weak_down
2019-03-22,12.68,12.75,12.58,12.66,2631920,sideways
2019-03-25,12.36,12.56,12.34,12.41,2295560,weak_down
2019-03-26,12.41,12.56,12.32,12.36,2041810,sideways
2019-03-27,12.46,12.51,12.34,12.49,1426910,weak_up
2019-03-28,12.44,12.51,12.39,12.39,798820,weak_down
2019-03-29,12.39,12.51,12.39,12.41,1656270,sideways
2019-04-01,12.46,12.46,12.36,12.39,1213000,sideways
2019-04-02,12.46,12.53,12.34,12.36,1197560,sideways
2019-04-03,12.36,12.41,12.32,12.34,883080,sideways
2019-04-04,12.36,12.39,12.27,12.34,1084530,sideways
2019-04-05,12.36,12.36,12.32,12.32,790380,sideways
2019-04-08,12.32,12.32,12.17,12.24,1689220,weak_down
2019-04-09,12.32,12.44,12.24,12.29,1526530,sideways
2019-04-10,12.27,12.36,12.12,12.17,1488230,weak_down
2019-04-11,12.15,12.22,12.12,12.17,837020,sideways
2019-04-12,12.12,12.17,12.05,12.07,1318580,weak_down
2019-04-16,11.95,12.0,11.83,11.9,2097030,weak_down
2019-04-17,12.0,12.15,11.95,12.0,1022100,weak_up
2019-04-18,12.0,12.03,11.76,11.76,1478350,strong_down
2019-04-19,11.88,11.88,11.73,11.73,1116030,sideways
2019-04-22,11.73,11.78,11.47,11.52,1544290,weak_down
2019-04-23,11.44,11.56,11.42,11.44,1850200,weak_down
2019-04-24,11.49,11.81,11.49,11.81,1995110,strong_up
2019-04-25,11.83,11.83,11.71,11.71,681910,weak_down
2019-04-26,11.66,11.73,11.64,11.71,898530,sideways
2019-05-02,11.69,11.73,11.54,11.56,891770,weak_down
2019-05-03,11.56,11.64,11.47,11.64,1727710,weak_up
2019-05-06,11.47,11.59,11.2,11.3,1903780,strong_down
2019-05-07,11.49,11.49,11.2,11.25,1294740,sideways
2019-05-08,11.15,11.15,10.98,11.13,1748140,weak_down
2019-05-09,11.1,11.25,11.06,11.06,1330990,weak_down
2019-05-10,11.15,11.23,11.06,11.23,1679270,weak_up
2019-05-13,11.27,11.3,11.2,11.25,1130890,sideways
