time,open,high,low,close,volume,label
2019-01-03,9.38,9.38,9.11,9.2,1672220,weak_down
2019-01-04,9.2,9.27,9.01,9.2,1232910,sideways
2019-01-07,9.48,9.48,9.22,9.22,735500,sideways
2019-01-08,9.25,9.25,9.08,9.09,1306960,weak_down
2019-01-09,9.2,9.24,9.09,9.11,1650530,sideways
2019-01-10,9.09,9.18,9.04,9.04,1212750,weak_down
2019-01-11,9.09,9.31,9.09,9.25,1820470,strong_up
2019-01-14,9.27,9.27,9.13,9.13,776770,weak_down
2019-01-15,9.13,9.22,9.11,9.2,995860,weak_up
2019-01-16,9.22,9.24,9.08,9.11,1467160,weak_down
2019-01-17,9.11,9.13,8.9,8.92,1852510,strong_down
2019-01-18,8.92,8.97,8.81,8.9,1521200,sideways
2019-01-21,8.9,9.16,8.9,9.06,1700870,weak_up
2019-01-22,9.06,9.16,9.04,9.04,1156270,sideways
2019-01-23,8.99,9.09,8.95,9.01,1188790,sideways
2019-01-24,9.09,9.13,9.02,9.04,1224550,sideways
2019-01-25,9.04,9.31,9.04,9.27,2422010,strong_up
2019-01-28,9.27,9.32,9.18,9.22,1266510,weak_down
2019-01-29,9.25,9.27,9.15,9.27,1011500,weak_up
2019-01-30,9.27,9.27,9.2,9.2,971710,weak_down
2019-01-31,9.24,9.38,9.15,9.24,1569170,sideways
2019-02-01,9.16,9.27,9.16,9.24,985310,sideways
2019-02-11,9.31,9.52,9.27,9.52,1946520,strong_up
2019-02-12,9.52,9.73,9.48,9.61,3517680,weak_up
2019-02-13,9.64,9.73,9.61,9.62,2327970,sideways
2019-02-14,9.59,9.66,9.57,9.59,1420580,sideways
2019-02-15,9.55,9.61,9.47,9.5,1828720,weak_down
2019-02-18,9.61,9.64,9.54,9.59,1754600,weak_up
2019-02-19,9.59,9.78,9.59,9.64,3414120,weak_up
2019-02-20,9.64,9.77,9.64,9.73,2300940,weak_up
2019-02-21,9.75,9.87,9.73,9.87,2871900,weak_up
2019-02-22,9.91,10.01,9.8,10.0,3132140,weak_up
2019-02-25,10.09,10.19,10.07,10.12,3266350,weak_up
2019-02-26,10.01,10.16,9.96,10.09,2864370,sideways
2019-02-27,10.09,10.12,10.0,10.0,1240270,weak_down
2019-02-28,9.98,10.09,9.82,9.87,2286310,weak_down
2019-03-01,9.87,9.98,9.87,9.98,1042520,weak_up
2019-03-04,10.01,10.24,10.01,10.23,2304530,strong_up
2019-03-05,10.19,10.3,10.09,10.19,1955980,sideways
