time,open,high,low,close,volume,price,volatility,trend
2019-01-08,100.95,101.28,99.25,101.28,11600,sideways,medium,below
2019-01-09,101.28,102.94,99.21,101.28,25150,sideways,medium,below
2019-01-10,99.87,101.2,99.33,99.62,28560,slight down,low,below
2019-01-11,99.62,99.83,98.0,99.62,38820,sideways,low,below
2019-01-14,100.66,100.66,98.75,99.62,45290,sideways,low,below
2019-01-15,98.79,99.58,98.79,99.46,23500,sideways,low,below
2019-01-16,98.92,100.04,98.79,99.21,30300,sideways,low,below
2019-01-17,98.79,99.95,97.34,97.34,41400,slight down,medium,below
2019-01-18,97.34,98.54,97.3,97.34,14340,sideways,low,below
2019-01-21,98.46,98.46,97.34,97.34,4770,sideways,low,below
2019-01-22,97.55,97.55,96.51,97.05,14570,sideways,low,below
2019-01-23,97.05,97.34,96.34,97.05,16500,sideways,low,below
2019-01-24,97.46,97.55,96.3,96.72,35920,sideways,low,below
2019-01-25,96.3,97.09,95.93,96.72,26850,sideways,low,below
2019-01-28,96.72,97.46,95.89,96.72,24370,sideways,low,below
2019-01-29,97.34,97.34,95.93,96.72,18620,sideways,low,below
2019-01-30,96.72,97.46,96.18,96.72,36010,sideways,low,below
2019-01-31,96.72,96.92,96.34,96.72,21200,sideways,low,below
2019-02-01,96.72,97.46,95.89,96.72,80480,sideways,low,below
2019-02-11,97.13,97.21,96.05,96.84,42810,sideways,low,above
2019-02-12,99.21,99.21,96.92,98.71,11200,slight up,medium,above
2019-02-13,98.71,98.75,97.63,98.0,118000,slight down,low,above
2019-02-14,98.79,98.79,97.96,98.79,123270,slight up,low,above
2019-02-15,99.41,99.54,98.42,98.96,48220,sideways,low,above
2019-02-18,99.17,99.62,99.17,99.62,19000,slight up,low,above
2019-02-19,99.21,100.54,98.79,100.04,25550,sideways,low,above
2019-02-20,99.21,101.28,99.21,101.28,39420,slight up,medium,above
2019-02-21,101.28,102.94,101.28,102.94,24550,slight up,low,above
2019-02-22,102.94,103.23,102.53,102.53,14040,sideways,low,above
2019-02-25,102.53,102.86,102.11,102.86,31140,sideways,low,above
2019-02-26,102.11,102.94,102.11,102.53,26360,sideways,low,above
2019-02-27,102.94,102.94,102.11,102.74,7770,sideways,low,above
2019-02-28,101.82,102.74,99.62,99.62,31930,strong down,medium,below
2019-03-01,98.09,102.11,98.09,100.45,31250,slight up,high,below
2019-03-04,99.62,101.91,99.21,100.45,44090,sideways,medium,below
2019-03-05,101.49,101.61,99.66,101.07,10220,slight up,low,above
2019-03-06,99.79,101.7,99.62,101.24,22910,sideways,medium,above
2019-03-07,100.45,100.83,99.83,100.08,25340,slight down,low,below
2019-03-08,100.83,101.7,100.04,101.7,29050,slight up,low,above
2019-03-11,101.7,102.24,100.29,101.7,20340,sideways,low,above
2019-03-12,101.7,104.85,101.57,104.6,42620,strong up,medium,above
2019-03-13,103.48,107.09,97.51,105.85,54140,slight up,high,above
2019-03-14,105.02,106.89,104.6,105.85,24230,sideways,medium,above
2019-03-15,105.85,105.85,102.86,105.35,40550,sideways,medium,above
2019-03-18,103.81,105.35,101.74,101.74,75530,strong down,medium,below
2019-03-19,101.74,103.57,101.74,102.94,37320,slight up,low,below
2019-03-20,101.7,103.77,101.7,103.57,17820,slight up,low,below
2019-03-21,104.15,104.19,101.95,103.52,17670,sideways,medium,above
2019-03-22,101.7,104.19,101.7,104.19,30810,slight up,medium,above
2019-03-25,103.77,103.77,101.7,103.27,5640,slight down,medium,below
2019-03-26,103.27,104.15,102.61,104.11,41590,slight up,low,above
2019-03-27,104.11,104.19,102.65,104.11,12020,sideways,low,above
2019-03-28,104.11,104.11,102.78,103.77,8320,sideways,low,below
2019-03-29,104.56,104.56,102.53,103.65,122590,sideways,low,below
2019-04-01,103.94,103.94,102.74,103.65,23050,sideways,low,below
2019-04-02,104.23,104.23,102.11,102.11,21890,slight down,medium,below
2019-04-03,103.19,103.19,101.86,102.49,1200,sideways,low,below
2019-04-04,102.49,104.11,102.15,103.69,38740,slight up,low,above
2019-04-05,102.57,104.06,102.57,102.94,13040,slight down,low,below
2019-04-08,103.73,103.73,102.94,103.52,2390,slight up,low,above
2019-04-09,102.36,103.52,101.74,101.74,22770,slight down,low,below
2019-04-10,103.36,103.36,99.66,102.53,39630,slight up,medium,below
2019-04-11,102.53,103.69,100.12,102.74,32940,sideways,medium,above
2019-04-12,102.74,103.15,101.37,101.37,5890,slight down,low,below
2019-04-16,101.37,102.53,100.12,102.2,13250,slight up,medium,above
2019-04-17,101.32,102.74,101.32,102.44,12340,sideways,low,above
2019-04-18,102.4,102.53,95.89,95.89,41150,strong down,high,below
2019-04-19,100.87,100.87,98.42,99.83,8170,strong up,medium,below
2019-04-22,99.83,100.87,98.17,100.87,18000,slight up,medium,above
2019-04-23,99.62,100.45,99.0,99.83,23410,slight down,low,above
2019-04-24,100.04,100.45,99.29,99.62,49760,sideways,low,above
2019-04-25,99.66,99.66,98.17,99.21,43550,sideways,low,below
2019-04-26,98.38,100.45,97.59,99.29,27270,sideways,medium,below
2019-05-02,99.29,101.28,99.29,101.16,48200,slight up,low,above
2019-05-03,101.16,101.2,99.5,101.16,80940,sideways,low,above
2019-05-06,101.07,101.07,98.92,99.83,20240,slight down,medium,below
2019-05-07,99.29,100.87,99.29,100.29,7320,sideways,low,below
2019-05-08,99.62,100.87,99.62,100.54,28490,sideways,low,below
2019-05-09,99.41,102.49,99.41,102.11,20630,slight up,medium,above
2019-05-10,102.53,103.52,100.87,102.94,23230,slight up,medium,above
2019-05-13,103.57,104.6,102.94,102.94,15300,sideways,low,above
2019-05-14,102.94,107.51,101.74,105.02,15220,strong up,high,above
2019-05-15,104.6,106.93,104.6,105.02,108360,sideways,medium,above
2019-05-16,105.43,105.64,101.7,101.7,20320,strong down,medium,below
2019-05-17,105.81,107.09,102.74,106.68,31530,strong up,high,above
2019-05-20,106.68,110.0,104.6,109.17,30630,strong up,high,above
2019-05-21,108.55,109.58,108.05,109.46,17760,sideways,low,above
2019-05-22,109.42,109.46,108.21,109.46,24670,sideways,low,above
2019-05-23,109.46,109.46,107.92,108.38,14780,slight down,low,below
2019-05-24,107.97,109.54,107.97,108.42,37100,sideways,low,below
2019-05-27,109.5,110.0,107.92,110.0,20920,slight up,low,above
2019-05-28,110.0,110.0,107.92,107.92,28730,slight down,low,below
2019-05-29,107.92,109.17,107.47,108.05,13900,sideways,low,below
2019-05-30,108.75,110.83,106.26,109.38,21680,slight up,high,above
2019-05-31,109.34,110.83,107.97,110.83,8830,slight up,medium,above
2019-06-03,109.38,113.74,106.68,112.07,98360,slight up,high,above
2019-06-04,110.04,113.32,110.04,113.32,30160,slight up,medium,above
2019-06-05,112.12,116.23,111.45,113.74,28210,sideways,high,above
2019-06-06,113.74,114.15,111.24,113.74,35900,sideways,medium,above
2019-06-07,113.78,114.77,111.83,114.73,40580,slight up,medium,above
2019-06-10,114.73,117.01,114.57,116.97,105770,slight up,medium,above
2019-06-11,116.23,116.23,114.57,114.57,45180,strong down,low,below
2019-06-12,114.57,114.57,110.83,113.74,77400,slight down,medium,below
2019-06-13,113.74,113.94,112.49,113.74,12580,sideways,low,below
2019-06-14,110.79,113.74,110.79,113.32,13550,sideways,medium,below
2019-06-17,113.32,113.32,110.83,113.32,37450,sideways,medium,below
2019-06-18,113.32,113.32,110.62,113.32,4510,sideways,medium,below
2019-06-19,113.32,114.36,112.57,114.36,19130,slight up,low,above
2019-06-20,111.66,117.68,111.66,114.15,76630,sideways,high,above
2019-06-21,115.4,116.6,114.15,115.4,9220,slight up,medium,above
2019-06-24,115.4,116.64,115.4,116.64,16480,slight up,low,above
2019-06-25,116.64,116.97,115.4,116.97,39550,sideways,low,above
2019-06-26,114.57,118.3,114.57,117.06,15730,sideways,medium,above
2019-06-27,116.31,117.06,112.91,112.91,39120,strong down,medium,below
2019-06-28,113.32,116.23,112.12,114.15,22590,slight up,medium,below
2019-07-01,115.77,115.81,114.61,115.35,17170,slight up,low,above
2019-07-02,115.4,116.14,114.19,114.23,9480,slight down,low,below
2019-07-03,114.23,114.98,114.15,114.57,27280,sideways,low,above
2019-07-04,114.57,115.81,114.15,115.81,31530,slight up,low,above
2019-07-05,115.81,116.23,114.57,116.23,21150,sideways,low,above
2019-07-08,116.23,116.97,115.02,116.64,70050,sideways,low,above
2019-07-09,115.4,116.64,114.98,116.64,65350,sideways,low,above
2019-07-10,116.64,119.09,116.23,118.3,28070,slight up,medium,above
2019-07-11,118.3,119.13,117.1,118.72,37210,sideways,low,above
2019-07-12,118.72,120.79,118.72,119.96,20990,slight up,low,above
2019-07-15,120.04,120.34,117.06,117.06,37440,strong down,medium,below
2019-07-16,118.3,118.3,117.06,118.3,7260,slight up,low,below
2019-07-17,118.3,119.13,117.26,118.72,43080,sideways,low,above
2019-07-18,117.89,118.72,116.64,117.89,45670,slight down,low,below
2019-07-19,118.3,118.3,115.02,115.02,20120,strong down,medium,below
2019-07-22,115.02,116.64,114.77,115.06,28670,sideways,low,below
2019-07-23,115.06,116.23,115.06,115.1,6900,sideways,low,below
2019-07-24,115.1,116.64,114.57,115.19,55700,sideways,low,below
2019-07-25,115.19,117.47,115.19,117.47,20380,slight up,low,above
2019-07-26,118.09,118.09,115.06,115.77,15060,slight down,medium,above
2019-07-29,115.77,117.06,115.4,115.4,30020,sideways,low,below
2019-07-30,117.01,117.01,115.6,116.64,27200,slight up,low,above
2019-07-31,116.23,117.06,115.81,115.81,46980,slight down,low,below
2019-08-01,116.81,116.85,114.9,116.85,16600,slight up,low,above
2019-08-02,115.48,116.64,115.4,116.23,33700,slight down,low,above
2019-08-05,115.1,117.01,115.1,116.31,13480,sideways,low,below
2019-08-06,114.86,116.93,114.86,115.89,15520,sideways,low,below
2019-08-07,114.9,116.23,113.74,116.23,69110,sideways,medium,below
2019-08-08,116.23,116.23,113.78,116.23,61830,sideways,medium,above
2019-08-09,114.86,117.06,114.23,114.44,7790,slight down,medium,below
2019-08-12,116.02,116.02,113.9,113.9,6910,sideways,low,below
2019-08-13,116.23,116.64,113.98,114.98,35660,slight up,medium,below
2019-08-14,115.06,115.73,114.57,114.98,29000,sideways,low,above
2019-08-15,114.98,118.3,114.36,118.3,15480,strong up,medium,above
2019-08-16,116.64,116.64,114.57,114.57,78780,strong down,low,below
2019-08-19,115.89,115.89,114.36,114.77,5550,sideways,low,below
2019-08-20,115.4,115.6,114.19,114.77,21680,sideways,low,below
2019-08-21,115.4,115.4,113.94,115.35,8310,slight up,low,below
2019-08-22,115.4,115.98,114.57,114.57,18250,slight down,low,below
2019-08-23,114.77,115.6,114.4,114.4,35980,sideways,low,below
2019-08-26,114.57,114.57,113.36,113.49,50520,slight down,low,below
2019-08-27,113.49,113.74,112.12,112.12,58130,slight down,low,below
2019-08-28,112.03,114.44,112.03,112.91,3430,slight up,medium,below
2019-08-29,113.11,113.94,113.11,113.32,36440,sideways,low,above
2019-08-30,114.48,114.48,112.91,113.32,27590,sideways,low,above
2019-09-03,113.32,113.32,112.53,113.07,4730,sideways,low,above
2019-09-04,113.07,113.94,109.38,109.38,65880,strong down,high,below
2019-09-05,110.0,111.88,110.0,111.05,20760,slight up,low,below
2019-09-06,110.46,111.46,110.46,111.05,8150,sideways,low,below
2019-09-09,111.84,111.84,110.92,111.05,16570,sideways,low,below
2019-09-10,111.46,111.46,109.38,109.8,7410,slight down,low,below
2019-09-11,109.8,111.01,109.38,109.59,12590,sideways,low,below
2019-09-12,109.71,109.71,108.96,109.04,8240,slight down,low,below
2019-09-13,109.04,110.21,108.75,110.21,22160,slight up,low,above
2019-09-16,108.75,111.38,108.75,110.21,3990,sideways,medium,above
2019-09-17,111.05,111.05,109.04,111.01,2620,slight up,low,above
2019-09-18,111.01,111.38,110.46,110.76,8270,sideways,low,above
2019-09-19,110.63,110.76,109.38,110.67,23710,sideways,low,above
2019-09-20,110.76,111.84,110.63,111.46,24960,slight up,low,above
2019-09-23,112.17,112.17,109.42,110.88,5610,slight down,medium,below
2019-09-24,110.63,112.3,109.8,109.8,21610,slight down,medium,below
2019-09-25,111.55,113.97,109.8,109.8,28430,sideways,medium,below
2019-09-26,109.8,113.84,109.8,110.0,12700,sideways,medium,below
2019-09-27,111.88,111.88,110.0,111.26,9830,slight up,low,above
2019-09-30,111.46,111.46,110.0,110.05,8130,slight down,low,below
2019-10-01,110.05,110.63,109.38,109.38,19770,slight down,low,below
2019-10-02,110.63,110.63,109.38,110.59,7540,slight up,low,above
2019-10-03,110.59,110.84,109.38,109.38,7300,slight down,low,below
2019-10-04,109.42,110.38,101.74,107.71,17620,slight down,high,below
2019-10-07,107.71,109.38,106.91,108.54,11360,slight up,medium,below
2019-10-08,109.29,109.38,107.92,107.92,4820,slight down,low,below
2019-10-09,107.33,108.29,106.46,106.58,5760,slight down,low,below
2019-10-10,106.58,107.58,106.58,106.58,16570,sideways,low,below
2019-10-11,106.46,107.71,106.46,107.58,13760,slight up,low,above
2019-10-14,106.08,108.13,106.08,107.92,27180,sideways,low,above
2019-10-15,107.71,107.83,106.79,107.21,9930,slight down,low,above
2019-10-16,106.83,108.13,106.83,106.87,11950,sideways,low,below
2019-10-17,107.71,108.13,105.62,105.62,28490,slight down,medium,below
2019-10-18,106.66,107.29,105.24,105.24,9610,sideways,low,below
2019-10-21,105.62,106.46,102.28,102.28,13700,strong down,high,below
2019-10-22,100.61,105.16,100.61,105.16,22480,strong up,high,above
2019-10-23,104.99,106.0,104.58,105.2,30060,sideways,low,above
2019-10-24,105.58,105.91,104.83,105.62,10090,sideways,low,above
2019-10-25,106.04,107.46,106.04,106.87,45010,slight up,low,above
2019-10-28,108.54,108.54,107.08,107.5,21110,slight up,low,above
2019-10-29,107.54,109.59,107.5,108.54,55090,slight up,low,above
2019-10-30,109.38,109.38,107.75,108.96,23080,sideways,low,above
2019-10-31,108.96,109.5,108.75,108.75,26250,sideways,low,above
2019-11-01,108.54,109.34,108.54,108.54,20980,sideways,low,above
2019-11-04,109.34,109.34,108.54,108.54,14250,sideways,low,below
2019-11-05,108.96,109.04,108.46,108.54,13210,sideways,low,below
2019-11-06,109.29,109.34,108.17,108.54,18750,sideways,low,below
2019-11-07,108.54,109.46,108.13,108.54,34130,sideways,low,below
2019-11-08,109.38,109.38,108.54,108.54,41090,sideways,low,below
2019-11-11,108.54,109.38,106.12,106.5,21390,slight down,medium,below
2019-11-12,106.87,107.71,106.46,106.46,16160,sideways,low,below
2019-11-13,107.29,107.29,104.58,105.2,46510,slight down,medium,below
2019-11-14,105.2,106.41,104.58,105.2,29190,sideways,low,below
2019-11-15,105.2,106.04,97.86,105.2,36340,sideways,high,below
2019-11-18,105.66,106.46,105.62,105.62,11910,sideways,low,above
2019-11-19,104.83,106.46,104.79,104.79,9030,slight down,low,below
2019-11-20,104.79,104.79,102.74,102.82,15580,slight down,low,below
2019-11-21,103.12,104.58,100.61,100.61,85540,strong down,medium,below
2019-11-22,102.28,102.7,97.69,98.11,54770,strong down,high,below
2019-11-25,100.15,100.15,96.94,97.27,29020,slight down,medium,below
2019-11-26,100.19,100.19,96.02,96.02,92480,slight down,high,below
2019-11-27,96.02,97.69,96.02,96.23,53280,sideways,low,below
2019-11-28,96.23,97.48,96.02,96.02,98060,sideways,low,below
2019-11-29,96.02,97.27,94.35,94.35,70110,slight down,medium,below
2019-12-02,94.35,96.02,94.35,95.6,22650,slight up,low,below
2019-12-03,96.02,96.23,95.18,95.64,21660,sideways,low,above
2019-12-04,95.23,96.81,95.23,96.31,32870,slight up,low,above
2019-12-05,96.64,96.98,96.44,96.77,18480,sideways,low,above
2019-12-06,96.77,98.52,96.64,97.27,33170,slight up,low,above
2019-12-09,98.06,99.15,97.73,98.44,38170,slight up,low,above
2019-12-10,98.44,98.48,97.31,97.31,26330,slight down,low,above
2019-12-11,98.11,98.44,97.27,97.31,7160,sideways,low,below
2019-12-12,98.36,98.69,97.35,97.35,15830,sideways,low,below
2019-12-13,98.48,98.48,97.35,97.35,10640,sideways,low,below
2019-12-16,97.35,98.11,97.27,97.27,6630,sideways,low,below
2019-12-17,97.4,98.19,97.27,97.27,24430,sideways,low,below
2019-12-18,97.44,97.77,97.06,97.27,35670,sideways,low,below
2019-12-19,97.52,98.11,97.27,97.27,13440,sideways,low,below
2019-12-20,97.65,97.98,97.31,97.73,51830,sideways,low,above
2019-12-23,98.11,98.36,97.86,97.94,21230,sideways,low,above
2019-12-24,97.98,98.15,97.27,97.27,25400,slight down,low,below
2019-12-25,97.27,97.98,97.06,97.06,54260,sideways,low,below
2019-12-26,96.85,97.48,96.44,97.44,24610,sideways,low,below
