time,open,high,low,close,volume,price,volatility,trend
2021-03-30,13.01,13.01,12.96,13.01,1896300,strong up,low,above
2021-03-31,13.89,13.89,13.43,13.89,4138700,strong up,medium,above
2021-04-01,13.87,13.92,13.38,13.92,3793500,sideways,medium,above
2021-04-02,13.67,13.94,13.67,13.94,2990700,sideways,low,above
2021-04-05,13.85,13.89,13.52,13.87,1564100,slight down,medium,above
2021-04-06,13.77,13.82,13.47,13.82,1881700,sideways,medium,below
2021-04-07,13.82,13.82,13.57,13.82,1208100,sideways,low,below
2021-04-08,13.72,13.72,13.57,13.62,911300,slight down,low,below
2021-04-09,13.33,13.67,13.33,13.67,955900,sideways,medium,below
2021-04-12,13.47,13.67,13.33,13.67,846900,sideways,medium,below
2021-04-13,13.38,13.57,13.38,13.47,433600,slight down,low,below
2021-04-14,13.33,13.45,13.23,13.23,579800,slight down,low,below
2021-04-15,13.03,13.33,12.59,13.33,1409400,slight up,high,below
2021-04-16,13.33,13.47,13.08,13.47,574400,slight up,medium,above
2021-04-19,13.52,13.57,13.38,13.57,886900,slight up,low,above
2021-04-20,13.62,13.62,13.52,13.57,1465400,sideways,low,above
2021-04-22,13.47,13.57,13.23,13.57,729000,sideways,medium,above
2021-04-23,13.57,13.57,12.88,12.88,853900,strong down,high,below
2021-04-26,13.33,13.43,13.01,13.23,578000,strong up,medium,below
2021-04-27,12.39,13.28,12.39,13.28,705300,sideways,high,below
2021-04-28,12.83,13.3,12.83,13.23,846500,sideways,medium,below
2021-04-29,12.88,13.3,12.88,13.25,1199900,sideways,medium,above
2021-05-04,12.86,13.08,12.86,13.03,1055500,slight down,low,below
2021-05-05,13.03,13.08,12.88,13.06,647500,sideways,low,below
2021-05-06,13.06,13.97,12.98,13.5,1078900,strong up,high,above
2021-05-07,13.57,13.67,13.33,13.57,1122000,slight up,medium,above
2021-05-10,13.57,13.82,13.33,13.82,1638300,slight up,medium,above
2021-05-11,13.97,13.97,13.67,13.82,942400,sideways,medium,above
2021-05-12,13.82,13.82,13.67,13.82,1429600,sideways,low,above
2021-05-13,13.82,14.07,13.38,13.97,2069300,slight up,high,above
2021-05-14,14.07,14.93,13.57,14.93,3100400,strong up,high,above
2021-05-17,14.96,15.79,14.96,15.52,3145000,strong up,high,above
2021-05-18,15.84,15.84,15.5,15.55,3096400,sideways,medium,above
2021-05-19,15.55,15.77,14.56,15.67,3510600,slight up,high,above
2021-05-20,15.77,15.77,14.61,15.67,4030600,sideways,high,above
2021-05-21,15.67,15.79,14.98,15.79,4272700,slight up,high,above
2021-05-24,15.79,16.09,15.05,16.09,2716700,slight up,high,above
2021-05-25,16.24,17.2,15.05,17.2,3725900,strong up,high,above
2021-05-26,17.23,18.36,16.54,18.36,2720400,strong up,high,above
2021-05-27,18.41,18.44,17.3,18.29,2077400,sideways,high,above
2021-05-28,18.26,19.25,17.52,19.25,2006200,strong up,high,above
2021-05-31,19.25,20.14,18.76,20.14,1832500,strong up,high,above
2021-06-01,20.16,20.68,19.25,20.19,1733600,sideways,high,above
2021-06-02,20.09,20.48,19.2,20.48,1816900,slight up,high,above
2021-06-03,20.53,21.22,19.27,21.22,2794400,strong up,high,above
2021-06-04,21.42,22.46,19.79,22.46,4445100,strong up,high,above
2021-06-07,22.46,22.46,20.93,21.47,1594600,strong down,high,above
2021-06-08,20.48,21.22,20.04,21.22,2450000,slight down,high,below
2021-06-09,19.99,21.32,19.82,19.84,2641700,strong down,high,below
2021-06-10,19.99,21.03,18.51,20.39,3337900,strong up,high,below
2021-06-11,20.39,21.17,19.5,21.17,2589300,strong up,high,above
2021-06-14,21.17,21.22,20.24,21.22,2782100,sideways,high,above
2021-06-15,21.15,21.2,19.79,20.39,2466800,strong down,high,below
2021-06-16,20.39,20.39,19.05,19.64,1489700,strong down,high,below
2021-06-17,19.55,19.64,18.46,19.6,1823600,sideways,high,below
2021-06-18,18.76,19.97,18.26,19.92,2734900,slight up,high,below
2021-06-21,19.92,19.92,19.25,19.74,2216300,slight down,medium,below
2021-06-22,19.74,19.79,19.2,19.77,2389900,sideways,medium,above
2021-06-23,19.72,19.72,19.27,19.6,2069900,slight down,medium,below
2021-06-24,19.6,19.67,19.25,19.62,2276400,sideways,medium,below
2021-06-25,19.62,19.79,19.25,19.79,2106000,slight up,medium,above
2021-06-28,19.55,20.24,19.0,20.14,2093400,slight up,high,above
2021-06-29,20.14,20.24,20.09,20.21,2099600,sideways,low,above
2021-06-30,20.21,20.41,19.5,20.31,2195300,sideways,high,above
2021-07-01,20.31,20.34,19.4,20.16,2349400,slight down,high,above
2021-07-02,20.19,20.93,19.72,20.93,3294900,strong up,high,above
2021-07-05,20.93,20.93,20.24,20.83,2506700,sideways,medium,above
2021-07-06,20.83,20.9,19.89,20.58,3177800,slight down,high,above
2021-07-07,20.31,20.73,19.74,20.68,3388500,sideways,high,above
2021-07-08,20.63,20.63,19.99,20.48,2656800,slight down,medium,below
2021-07-09,20.39,20.53,19.74,20.04,2824800,strong down,medium,below
2021-07-12,19.89,19.89,18.66,18.76,1625200,strong down,high,below
2021-07-13,18.51,19.05,17.92,19.05,1732300,slight up,high,below
2021-07-14,19.0,19.0,18.31,18.86,1798000,slight down,medium,below
2021-07-15,18.76,19.94,18.51,19.89,1725100,strong up,high,above
2021-07-16,19.89,20.24,19.23,19.47,1963600,strong down,high,above
2021-07-19,19.2,19.2,18.26,18.26,1590100,strong down,high,below
2021-07-20,18.26,19.4,17.28,19.27,1740500,strong up,high,above
2021-07-21,19.27,19.35,18.86,19.25,1753900,sideways,medium,above
2021-07-22,19.2,20.24,18.86,20.24,2105800,strong up,high,above
2021-07-23,21.01,21.01,20.09,20.22,1460500,sideways,high,above
2021-07-26,20.17,20.17,19.12,19.61,1212300,strong down,high,below
2021-07-27,19.63,20.04,18.85,20.04,1412500,strong up,high,above
2021-07-28,19.93,20.01,19.39,19.9,1308300,slight down,medium,below
2021-07-29,19.87,19.96,19.39,19.93,1488300,sideways,medium,below
2021-07-30,19.9,20.04,19.39,19.71,2351600,slight down,medium,below
2021-08-02,19.39,19.71,18.85,19.61,1895300,slight down,high,below
2021-08-03,19.5,19.74,19.28,19.74,1485000,slight up,medium,below
2021-08-04,19.71,19.93,19.63,19.93,1721500,slight up,low,above
2021-08-05,19.9,20.22,19.28,20.06,3360800,slight up,high,above
2021-08-06,20.09,20.17,19.66,20.01,1449500,sideways,medium,above
2021-08-09,19.82,20.09,19.63,20.09,1542500,sideways,medium,above
2021-08-10,20.09,20.17,19.66,19.87,2707800,slight down,medium,below
2021-08-11,19.55,19.9,19.12,19.79,2420300,sideways,medium,below
