time,open,high,low,close,volume,price,volatility,trend
2019-01-08,53.88,54.02,53.22,54.02,205460,sideways,low,above
2019-01-09,54.24,54.24,53.88,54.02,92720,sideways,low,above
2019-01-10,54.24,54.32,53.51,54.32,108550,slight up,low,above
2019-01-11,54.53,55.77,54.39,55.77,241490,strong up,medium,above
2019-01-14,56.79,56.79,55.77,56.28,193920,slight up,low,above
2019-01-15,56.06,58.17,56.06,58.17,297510,strong up,medium,above
2019-01-16,58.17,59.7,57.59,58.47,327390,slight up,medium,above
2019-01-17,58.9,59.12,58.1,58.1,214330,slight down,low,above
2019-01-18,58.54,59.05,57.52,58.61,289350,slight up,medium,above
2019-01-21,58.98,58.98,58.25,58.61,411510,sideways,low,above
2019-01-22,58.68,58.98,57.96,57.96,285720,slight down,low,below
2019-01-23,58.17,58.25,57.52,57.96,214610,sideways,low,below
2019-01-24,57.96,57.96,56.79,57.37,176750,slight down,medium,below
2019-01-25,57.16,57.3,56.43,56.79,226260,slight down,low,below
2019-01-28,58.25,58.68,56.65,58.68,284550,strong up,medium,above
2019-01-29,59.34,59.34,58.61,59.34,334250,slight up,low,above
2019-01-30,58.54,59.7,58.54,59.7,246940,slight up,low,above
2019-01-31,59.7,59.7,57.96,58.25,773010,strong down,medium,below
2019-02-01,58.25,58.25,57.96,58.25,974540,sideways,low,below
2019-02-11,58.98,58.98,57.96,58.17,353110,sideways,low,below
2019-02-12,58.54,58.54,57.88,58.25,531210,sideways,low,below
2019-02-13,58.32,58.83,57.74,58.25,506510,sideways,low,above
2019-02-14,58.54,60.14,58.32,59.63,971710,strong up,medium,above
2019-02-15,59.7,59.7,59.05,59.12,422250,slight down,low,above
2019-02-18,59.34,59.7,58.83,59.7,607000,slight up,low,above
2019-02-19,60.07,63.85,60.07,63.34,1244300,strong up,high,above
2019-02-20,63.34,66.11,63.34,65.82,815580,strong up,high,above
2019-02-21,65.89,70.41,64.95,70.41,1209870,strong up,high,above
2019-02-22,69.17,70.26,67.49,67.79,950950,strong down,high,above
2019-02-25,68.8,69.24,66.47,66.98,838040,slight down,high,above
2019-02-26,66.98,67.71,65.53,66.98,1103360,sideways,medium,below
2019-02-27,67.71,67.93,66.62,67.49,896260,slight up,low,below
2019-02-28,67.06,67.2,63.71,63.71,1270190,strong down,high,below
2019-03-01,64.44,66.55,63.71,66.26,806340,strong up,high,below
2019-03-04,66.98,68.08,65.24,67.86,910620,strong up,high,above
2019-03-05,67.13,67.64,65.89,66.26,1152650,strong down,medium,below
2019-03-06,66.26,66.91,66.11,66.84,592410,slight up,low,above
2019-03-07,66.98,69.39,66.91,66.98,1306970,sideways,medium,above
2019-03-08,66.98,67.64,66.55,66.62,699850,slight down,low,below
2019-03-11,66.26,67.2,65.53,65.53,533740,slight down,medium,below
2019-03-12,66.4,67.42,66.18,67.2,864570,strong up,low,above
2019-03-13,67.42,69.9,67.35,68.44,1654850,slight up,medium,above
2019-03-14,68.66,68.88,67.57,68.8,682890,slight up,low,above
2019-03-15,68.44,68.44,67.35,67.93,2496760,slight down,low,above
2019-03-18,68.44,69.1,68.44,68.66,1056390,slight up,low,above
2019-03-19,69.17,69.31,68.08,68.44,1100900,sideways,low,below
2019-03-20,67.79,68.0,66.26,67.13,1061950,slight down,medium,below
2019-03-21,67.71,67.71,64.22,64.22,1009930,strong down,high,below
2019-03-22,64.8,66.4,64.07,66.33,957080,strong up,medium,below
2019-03-25,65.16,65.16,63.71,64.8,793070,strong down,medium,below
2019-03-26,65.53,66.04,65.16,65.46,617980,slight up,low,below
2019-03-27,66.26,66.26,65.46,65.6,389620,sideways,low,above
2019-03-28,65.75,67.93,65.53,67.79,894540,strong up,medium,above
2019-03-29,68.44,68.66,66.62,66.62,1054060,slight down,medium,above
2019-04-01,67.28,68.3,66.84,67.28,334480,slight up,medium,above
2019-04-02,68.0,68.22,66.98,67.13,359690,sideways,low,above
2019-04-03,67.13,67.13,66.33,66.98,281350,sideways,low,below
2019-04-04,67.49,67.57,66.47,66.98,489550,sideways,low,below
2019-04-05,67.35,67.86,67.06,67.42,454260,slight up,low,above
2019-04-08,67.71,68.88,67.49,68.88,657320,strong up,medium,above
2019-04-09,69.17,69.9,67.71,68.3,973210,slight down,medium,above
2019-04-10,68.3,68.3,67.2,67.35,328400,slight down,low,below
2019-04-11,67.57,68.3,67.13,68.08,233360,slight up,low,above
2019-04-12,68.0,68.15,66.98,67.93,299590,sideways,low,below
2019-04-16,65.53,66.91,63.93,66.26,913790,strong down,high,below
2019-04-17,66.26,66.91,65.31,65.38,761350,slight down,medium,below
2019-04-18,65.46,65.89,64.14,64.8,609680,slight down,medium,below
2019-04-19,64.8,65.82,64.8,64.8,258960,sideways,low,below
2019-04-22,65.31,65.53,64.51,65.53,211620,slight up,low,above
2019-04-23,65.31,65.53,64.73,64.8,494910,slight down,low,below
2019-04-24,65.31,65.67,65.31,65.31,629420,slight up,low,above
2019-04-25,65.16,65.67,65.09,65.67,680080,slight up,low,above
2019-04-26,65.67,66.98,65.46,66.98,1070350,slight up,medium,above
2019-05-02,66.98,67.2,66.18,66.55,452510,slight down,low,above
