time,open,high,low,close,volume,label
2019-01-02,7.86,7.86,7.68,7.76,1103106,down
2019-01-03,6.99,7.73,6.99,7.47,1956382,down
2019-01-04,7.44,7.57,7.33,7.52,2771983,up
2019-01-07,7.68,7.68,7.57,7.63,1305819,up
2019-01-08,8.34,8.34,7.57,7.57,846226,down
2019-01-09,7.6,7.73,7.57,7.71,2196358,up
2019-01-10,7.71,7.73,7.68,7.68,1378687,down
2019-01-11,7.71,7.73,7.65,7.68,1250077,down
2019-01-14,7.65,7.68,7.63,7.63,937155,down
2019-01-15,7.49,7.73,7.04,7.73,901146,up
2019-01-16,7.73,7.78,7.65,7.65,509354,down
2019-01-17,7.68,7.73,7.65,7.68,737519,up
2019-01-18,7.71,7.71,7.55,7.6,1412966,down
2019-01-21,7.63,7.97,7.63,7.84,2079830,up
2019-01-22,7.89,7.92,7.73,7.73,1845725,down
2019-01-23,7.71,7.76,7.68,7.73,1160094,down
2019-01-24,7.76,7.84,7.71,7.76,1743450,up
2019-01-25,7.92,7.92,7.73,7.76,836534,down
2019-01-28,7.76,7.78,7.44,7.68,997088,down
2019-01-29,7.65,7.71,7.6,7.71,1091518,up
2019-01-30,8.24,8.24,7.71,7.78,1565464,up
2019-01-31,7.86,7.92,7.78,7.81,1674668,up
2019-02-01,7.81,7.86,7.78,7.84,781100,up
2019-02-11,7.92,8.21,7.86,8.02,1713857,up
2019-02-12,8.02,8.13,8.02,8.1,2059630,up
2019-02-13,8.13,8.16,8.05,8.1,2093177,down
2019-02-14,8.1,8.1,8.0,8.0,1357835,down
2019-02-15,8.0,8.08,7.97,8.02,2176902,up
2019-02-18,8.02,8.1,8.02,8.08,1908779,up
2019-02-19,8.1,8.1,8.02,8.05,2754758,down
2019-02-20,8.05,8.1,8.02,8.08,1693486,up
2019-02-21,8.08,8.16,8.0,8.0,2970459,down
2019-02-22,8.02,8.18,7.97,8.1,3974330,up
2019-02-25,8.16,8.34,8.1,8.24,3874034,up
2019-02-26,8.18,8.29,8.13,8.18,2277127,down
2019-02-27,8.18,8.21,8.1,8.13,1544839,down
2019-02-28,8.18,8.18,7.89,7.89,3793504,down
2019-03-01,7.92,8.0,7.84,7.97,1478830,up
2019-03-04,7.97,8.1,7.94,8.08,3120806,up
2019-03-05,8.08,8.16,8.0,8.05,2465893,down
2019-03-06,8.02,8.08,7.97,8.05,1178516,down
2019-03-07,8.08,8.16,8.05,8.1,3301746,up
2019-03-08,8.08,8.13,8.02,8.05,1416810,down
2019-03-11,8.05,8.13,8.02,8.08,1032198,up
2019-03-12,8.1,8.21,8.05,8.21,2504257,up
2019-03-13,8.26,8.42,8.21,8.34,5473410,up
2019-03-14,8.34,8.5,8.32,8.37,2333220,up
2019-03-15,8.4,8.45,8.32,8.42,2649931,up
2019-03-18,8.45,8.56,8.42,8.48,3739699,up
2019-03-19,8.5,8.5,8.29,8.32,2828856,down
2019-03-20,8.34,8.34,8.16,8.24,3143264,down
2019-03-21,8.24,8.34,8.08,8.08,2939770,down
2019-03-22,8.08,8.16,8.08,8.1,1819172,up
2019-03-25,8.08,8.08,7.94,8.0,2275202,down
2019-03-26,8.02,8.08,8.0,8.05,1540206,up
2019-03-27,8.08,8.13,8.02,8.08,856984,up
2019-03-28,8.08,8.1,8.02,8.05,1366727,down
2019-03-29,8.05,8.1,8.02,8.05,1915257,down
2019-04-01,8.05,8.1,8.05,8.05,751744,down
2019-04-02,8.1,8.16,8.05,8.05,1184570,down
2019-04-03,8.1,8.1,7.94,8.0,1394796,down
2019-04-04,7.94,8.05,7.94,8.02,1091143,up
2019-04-05,8.02,8.08,8.0,8.02,767879,down
2019-04-08,8.02,8.21,8.02,8.18,2224599,up
2019-04-09,8.18,8.24,8.1,8.1,1801683,down
2019-04-10,8.05,8.1,8.02,8.02,868574,down
2019-04-11,8.13,8.13,8.0,8.05,905666,up
2019-04-12,8.02,8.05,7.97,8.02,1051329,down
2019-04-16,8.02,8.02,7.92,7.97,1328836,down
2019-04-17,8.0,8.05,7.94,7.94,688254,down
2019-04-18,7.78,7.97,7.78,7.89,1019057,down
2019-04-19,7.92,7.94,7.86,7.86,599302,down
2019-04-22,7.89,7.89,7.73,7.78,1362678,down
2019-04-23,7.81,7.94,7.73,7.86,1651748,up
2019-04-24,7.89,8.02,7.84,8.0,1062284,up
2019-04-25,8.0,8.08,7.94,7.97,745480,down
2019-04-26,7.97,8.02,7.94,8.0,1123078,up
2019-05-02,8.02,8.05,7.89,7.89,1134878,down
2019-05-03,7.92,7.97,7.92,7.97,1115126,up
2019-05-06,7.97,7.97,7.81,7.81,1381176,down
2019-05-07,7.97,7.97,7.76,7.84,869471,up
2019-05-08,7.78,7.86,7.73,7.84,1019991,down
2019-05-09,7.81,7.84,7.73,7.73,603773,down
2019-05-10,7.73,7.81,7.71,7.78,646916,up
2019-05-13,7.81,7.86,7.76,7.76,913337,down
2019-05-14,7.76,7.78,7.68,7.73,1601854,down
2019-05-15,7.73,7.89,7.73,7.84,1290890,up
2019-05-16,7.86,7.86,7.76,7.78,1467241,down
2019-05-17,7.78,7.81,7.76,7.76,852070,down
2019-05-20,7.78,7.84,7.73,7.78,675438,up
2019-05-21,7.81,7.89,7.78,7.81,1385291,up
2019-05-22,7.81,7.94,7.81,7.86,1274690,up
2019-05-23,7.94,7.97,7.78,7.84,630966,down
2019-05-24,7.23,7.84,7.23,7.76,891367,down
2019-05-27,7.73,7.76,7.71,7.71,911886,down
2019-05-28,7.71,7.76,7.68,7.68,941132,down
2019-05-29,7.68,7.76,7.63,7.76,1083726,up
2019-05-30,7.73,7.76,7.71,7.73,725399,down
2019-05-31,7.71,7.73,7.63,7.71,1025615,down
2019-06-03,7.63,7.71,7.6,7.63,1150302,down
2019-06-04,7.63,7.71,7.6,7.6,870018,down
2019-06-05,7.6,7.68,7.6,7.68,1056785,up
2019-06-06,7.68,7.68,7.55,7.57,912088,down
2019-06-07,7.57,7.65,7.57,7.63,282088,up
2019-06-10,7.63,7.68,7.6,7.6,463155,down
2019-06-11,7.6,7.63,7.6,7.6,563995,down
2019-06-12,7.6,7.63,7.57,7.57,557708,down
2019-06-13,7.57,7.63,7.57,7.6,846792,up
2019-06-14,7.6,7.71,7.6,7.63,1047441,up
2019-06-17,7.63,7.68,7.6,7.63,896432,down
2019-06-18,7.63,7.71,7.63,7.68,769216,up
2019-06-19,7.68,7.73,7.65,7.68,506197,down
2019-06-20,7.68,7.86,7.65,7.86,1436398,up
2019-06-21,7.86,7.97,7.81,7.84,826692,down
2019-06-24,7.84,7.89,7.81,7.84,1421227,down
2019-06-25,7.84,7.86,7.71,7.76,1331315,down
2019-06-26,7.71,7.76,7.71,7.71,389568,down
2019-06-27,7.71,7.73,7.6,7.6,873525,down
2019-06-28,7.6,7.68,7.57,7.68,670700,up
2019-07-01,7.81,7.81,7.71,7.76,640739,up
2019-07-02,7.76,7.76,7.68,7.68,388434,down
2019-07-03,7.71,7.73,7.63,7.65,643573,down
2019-07-04,7.68,7.78,7.68,7.76,925764,up
2019-07-05,7.78,7.81,7.73,7.76,799873,down
2019-07-08,7.76,7.81,7.68,7.71,428679,down
2019-07-09,7.71,7.92,7.71,7.92,2778824,up
2019-07-10,7.92,7.97,7.86,7.86,1121395,down
2019-07-11,7.86,8.08,7.86,8.02,2082872,up
2019-07-12,8.05,8.08,7.97,8.0,888185,down
2019-07-15,8.0,8.02,7.94,7.97,933272,down
2019-07-16,7.97,8.08,7.97,8.02,1196262,up
2019-07-17,8.02,8.21,8.02,8.16,2508774,up
2019-07-18,8.08,8.18,8.02,8.18,1601573,up
2019-07-19,8.5,8.5,8.18,8.29,2877999,up
2019-07-22,9.11,9.11,8.16,8.24,1903199,down
2019-07-23,8.24,8.26,8.16,8.18,1951764,down
2019-07-24,8.18,8.26,8.05,8.16,3961188,down
2019-07-25,8.22,8.32,8.19,8.19,2097782,up
2019-07-26,8.22,8.22,8.05,8.08,1052101,down
2019-07-29,8.01,8.08,7.91,7.94,1258626,down
2019-07-30,7.88,8.05,7.88,7.91,1100105,down
2019-07-31,7.98,7.98,7.84,7.88,893714,down
2019-08-01,7.84,7.94,7.74,7.77,1903052,down
2019-08-02,7.77,7.81,7.6,7.7,1774559,down
2019-08-05,7.7,7.7,7.53,7.6,2538864,down
2019-08-06,7.08,7.56,7.08,7.5,1820835,down
2019-08-07,7.53,7.6,7.46,7.46,1031673,down
2019-08-08,7.12,7.6,6.91,7.6,1066927,up
2019-08-09,7.39,7.7,7.39,7.56,726110,down
2019-08-12,7.6,7.6,7.53,7.6,578401,up
2019-08-13,7.56,7.6,7.46,7.56,574727,down
2019-08-14,7.6,7.67,7.5,7.5,906910,down
2019-08-15,7.5,7.5,7.36,7.5,1470311,down
2019-08-16,7.56,7.63,7.43,7.56,1536110,up
2019-08-19,7.6,7.7,7.56,7.6,1209980,up
2019-08-20,7.63,7.7,7.63,7.67,1318890,up
2019-08-21,7.67,7.74,7.63,7.7,2791144,up
2019-08-22,7.77,7.88,7.74,7.84,1653260,up
2019-08-23,7.84,7.88,7.74,7.81,815330,down
2019-08-26,7.77,7.77,7.63,7.77,1015427,down
2019-08-27,7.74,7.81,7.7,7.77,1016097,down
2019-08-28,7.74,7.77,7.67,7.67,513225,down
2019-08-29,7.7,7.74,7.6,7.63,636900,down
2019-08-30,7.7,7.77,7.63,7.67,544010,up
2019-09-03,7.67,7.74,7.56,7.63,484897,down
2019-09-04,7.63,7.63,7.53,7.6,365320,down
2019-09-05,7.63,7.63,7.56,7.6,625327,down
2019-09-06,7.6,7.63,7.5,7.56,516662,down
2019-09-09,7.53,7.6,7.5,7.56,369511,down
2019-09-10,7.56,7.56,7.46,7.5,821441,down
2019-09-11,7.5,7.53,7.46,7.53,429890,up
2019-09-12,7.56,7.67,7.53,7.67,622048,up
2019-09-13,7.7,7.81,7.63,7.81,1325067,up
2019-09-16,7.81,7.84,7.7,7.74,1238267,down
2019-09-17,7.74,7.74,7.63,7.7,1189898,down
2019-09-18,7.7,7.81,7.67,7.74,1542208,up
2019-09-19,7.74,8.01,7.7,7.98,3421555,up
2019-09-20,8.12,8.77,7.98,8.01,2535289,up
2019-09-23,8.01,8.15,7.98,8.05,2878182,up
2019-09-24,8.05,8.08,7.98,8.01,1324749,down
2019-09-25,7.98,8.01,7.91,7.94,1522720,down
2019-09-26,7.94,8.05,7.91,8.05,2320597,up
2019-09-27,8.64,8.64,8.01,8.01,2163685,down
2019-09-30,8.05,8.15,8.01,8.08,2304040,up
2019-10-01,8.08,8.19,8.05,8.19,1846967,up
2019-10-02,8.12,8.22,8.12,8.15,2160049,down
2019-10-03,8.12,8.15,8.05,8.15,1856827,down
2019-10-04,8.15,8.22,8.12,8.15,1582366,down
2019-10-07,8.15,8.15,8.01,8.01,1931392,down
2019-10-08,8.01,8.08,7.98,8.05,1159716,up
2019-10-09,8.08,8.19,8.05,8.19,1715656,up
2019-10-10,8.19,8.39,8.19,8.29,4857384,up
2019-10-11,8.29,8.36,8.26,8.29,1525076,down
2019-10-14,8.29,8.46,8.29,8.46,3538655,up
2019-10-15,8.46,8.5,8.39,8.43,2327203,down
2019-10-16,8.46,8.5,8.43,8.43,2073772,down
2019-10-17,8.39,8.43,8.32,8.43,1915729,down
2019-10-18,8.46,8.46,8.29,8.32,1865732,down
2019-10-21,8.29,8.36,8.08,8.08,2742188,down
2019-10-22,8.08,8.12,8.05,8.12,1660272,up
2019-10-23,8.12,8.19,8.12,8.12,983685,down
2019-10-24,8.15,8.15,8.08,8.15,921275,up
2019-10-25,8.15,8.15,8.08,8.15,1105479,down
2019-10-28,8.15,8.26,8.15,8.19,1090296,up
2019-10-29,8.22,8.26,8.15,8.19,1702377,down
2019-10-30,8.22,8.43,8.15,8.39,7431303,up
2019-10-31,8.39,8.43,7.77,8.32,1293107,down
2019-11-01,8.19,8.39,8.19,8.36,1907428,up
2019-11-04,8.36,8.53,8.36,8.5,3939389,up
2019-11-05,8.53,8.6,8.5,8.5,3578931,down
2019-11-06,8.57,8.57,8.46,8.5,2507149,down
2019-11-07,8.5,8.53,8.46,8.5,2102499,down
2019-11-08,8.6,8.67,8.5,8.57,3921492,up
2019-11-11,8.57,8.6,8.53,8.53,1719955,down
2019-11-12,8.53,8.53,8.46,8.53,1574994,down
2019-11-13,8.53,8.74,8.53,8.64,3575361,up
2019-11-14,8.64,8.67,8.46,8.46,2291325,down
2019-11-15,8.43,8.5,8.43,8.43,1652242,down
2019-11-18,8.43,8.46,8.29,8.32,2764302,down
2019-11-19,8.32,8.36,8.29,8.36,1398481,up
2019-11-20,8.39,8.39,8.26,8.26,1357644,down
2019-11-21,7.6,8.32,7.6,8.29,1782516,up
2019-11-22,8.29,8.29,7.98,8.01,3363603,down
2019-11-25,8.05,8.15,8.01,8.08,1949233,up
2019-11-26,8.12,8.19,8.12,8.15,577968,up
2019-11-27,8.15,8.19,8.01,8.01,952900,down
2019-11-28,8.05,8.05,7.88,7.91,1688171,down
2019-11-29,7.91,7.98,7.88,7.98,800193,up
2019-12-02,7.98,8.01,7.77,7.81,1640609,down
2019-12-03,7.84,7.91,7.74,7.81,1422078,down
2019-12-04,7.84,7.98,7.77,7.98,1314925,up
2019-12-05,8.01,8.01,7.91,7.94,1242216,down
2019-12-06,7.94,7.98,7.91,7.94,698762,down
2019-12-09,7.94,7.94,7.84,7.91,814425,down
2019-12-10,7.91,7.94,7.81,7.88,573899,down
2019-12-11,7.88,7.91,7.81,7.91,785569,up
2019-12-12,7.91,7.98,7.91,7.94,656342,up
2019-12-13,7.94,8.05,7.94,8.01,1445939,up
2019-12-16,8.01,8.01,7.94,7.94,951838,down
2019-12-17,7.94,7.94,7.88,7.88,940104,down
2019-12-18,7.84,7.88,7.77,7.77,1132793,down
2019-12-19,7.81,7.81,7.74,7.77,625416,down
2019-12-20,7.81,7.84,7.77,7.84,1043390,up
2019-12-23,7.84,7.94,7.84,7.88,1786089,up
2019-12-24,7.91,7.91,7.84,7.84,821359,down
2019-12-25,7.88,7.91,7.81,7.91,1121331,up
2019-12-26,7.88,7.88,7.81,7.81,893827,down
2019-12-27,7.81,7.84,7.77,7.84,906262,up
2019-12-30,7.84,7.91,7.81,7.84,1367912,down
2019-12-31,7.84,7.91,7.77,7.88,1649842,up
2020-01-02,7.88,7.94,7.84,7.94,1163109,up
2020-01-03,7.94,8.01,7.91,7.94,1055528,down
2020-01-06,7.94,7.94,7.77,7.77,1286035,down
2020-01-07,7.77,7.84,7.77,7.77,1050934,down
2020-01-08,7.77,7.77,7.6,7.63,2304937,down
2020-01-09,7.67,7.81,7.67,7.74,1422248,up
2020-01-10,7.77,7.98,7.77,7.84,2371501,up
2020-01-13,7.91,7.91,7.84,7.91,1523181,up
2020-01-14,7.91,8.12,7.91,8.12,2851982,up
2020-01-15,8.12,8.12,8.01,8.05,1158657,down
2020-01-16,8.05,8.29,8.05,8.26,2819687,up
2020-01-17,8.29,8.32,8.19,8.22,2706194,down
2020-01-20,8.22,8.53,8.22,8.39,4443379,up
2020-01-21,8.46,8.53,8.39,8.46,1775816,up
2020-01-22,8.5,8.5,8.39,8.46,1574379,down
2020-01-30,8.36,8.39,8.01,8.15,4250097,down
2020-01-31,8.12,8.22,7.91,7.94,4243264,down
2020-02-03,7.7,7.94,7.5,7.81,4430186,down
2020-02-04,7.91,8.01,7.77,8.01,2397062,up
2020-02-05,8.08,8.12,7.91,7.94,2790275,down
2020-02-06,7.98,8.29,7.94,8.29,2980981,up
2020-02-07,8.29,8.32,8.15,8.22,2007251,down
2020-02-10,8.22,8.26,8.08,8.15,1271190,down
2020-02-11,8.15,8.22,8.12,8.19,1862090,up
2020-02-12,8.22,8.88,8.22,8.84,10516207,up
2020-02-13,8.84,8.88,8.67,8.81,3773365,down
2020-02-14,8.81,9.26,8.81,9.12,8018099,up
2020-02-17,9.08,9.22,8.98,9.12,3764464,down
2020-02-18,9.12,9.36,9.08,9.19,6293208,up
2020-02-19,9.15,9.22,8.95,9.08,5091969,down
2020-02-20,9.08,9.33,9.02,9.12,5578717,up
2020-02-21,8.6,9.19,8.6,8.88,6333926,down
2020-02-24,8.81,8.84,8.22,8.29,10321149,down
2020-02-25,8.12,8.67,7.98,8.67,8279866,up
2020-02-26,8.64,8.67,8.39,8.5,4519324,down
2020-02-27,8.36,8.81,8.36,8.81,5309790,up
2020-02-28,7.94,8.74,7.94,8.7,5959642,down
2020-03-02,8.43,8.81,8.43,8.7,3629494,down
2020-03-03,8.84,8.95,8.74,8.84,6364207,up
2020-03-04,8.84,8.91,8.74,8.91,5047583,up
2020-03-05,8.98,9.12,8.77,8.84,5965022,down
2020-03-06,8.81,8.81,8.67,8.74,3959935,down
2020-03-09,8.53,8.53,7.94,8.05,16776046,down
2020-03-10,7.94,8.57,7.91,8.36,7582331,up
2020-03-11,8.39,8.43,7.94,8.08,7841324,down
2020-03-12,7.94,7.94,7.43,7.63,11082125,down
2020-03-13,7.43,7.77,7.08,7.6,9020091,down
2020-03-16,7.6,7.7,7.15,7.22,4614344,down
2020-03-17,7.18,7.39,6.94,7.29,6568088,up
2020-03-18,7.36,7.46,7.22,7.32,4944595,up
2020-03-19,7.25,7.36,7.15,7.29,4083896,down
2020-03-20,8.01,8.01,7.25,7.39,3341564,up
2020-03-23,7.32,7.39,6.67,6.67,10024177,down
2020-03-24,6.6,6.87,6.6,6.77,4315784,up
2020-03-25,6.91,7.18,6.91,7.08,4115341,up
2020-03-26,7.12,7.12,6.8,6.8,3631529,down
2020-03-27,6.8,6.94,6.74,6.8,3980631,down
2020-03-30,6.74,6.74,6.18,6.29,5925098,down
2020-03-31,6.29,6.49,6.01,6.15,4532153,down
2020-04-01,5.56,6.56,5.56,6.42,2761168,up
2020-04-03,6.25,6.7,6.25,6.6,3574343,up
2020-04-06,6.7,7.18,6.6,7.12,5757259,up
2020-04-07,7.25,7.25,6.91,7.01,4467621,down
2020-04-08,7.7,7.7,6.8,6.98,2331536,down
2020-04-09,7.67,7.67,6.91,6.91,4068966,down
2020-04-10,6.56,6.98,6.56,6.84,2517477,down
2020-04-13,6.18,7.05,6.18,6.91,1926793,up
2020-04-14,6.91,6.98,6.8,6.91,3167293,down
2020-04-15,6.91,7.15,6.91,6.98,3686239,up
2020-04-16,6.98,7.05,6.94,7.05,1895213,up
2020-04-17,7.08,7.29,7.08,7.25,4809341,up
2020-04-20,7.32,7.32,7.12,7.15,3064104,down
2020-04-21,7.12,7.12,6.8,6.84,6015799,down
2020-04-22,6.84,7.05,6.7,7.05,2637424,up
2020-04-23,7.08,7.18,7.01,7.01,2076603,down
2020-04-24,6.98,7.05,6.91,7.01,1264729,down
2020-04-27,7.01,7.12,6.91,6.94,1806851,down
2020-04-28,6.94,7.05,6.91,7.01,1246915,up
2020-04-29,7.01,7.08,6.98,7.08,1196049,up
2020-05-04,7.08,7.08,6.94,7.01,1193939,down
2020-05-05,6.98,7.05,6.98,7.01,1126770,down
2020-05-06,7.05,7.32,6.98,7.18,4453036,up
2020-05-07,7.22,7.32,7.18,7.32,2973997,up
2020-05-08,7.36,7.56,7.25,7.39,5995918,up
2020-05-11,7.56,7.56,7.39,7.5,4108808,up
2020-05-12,7.5,7.6,7.39,7.53,4057939,up
2020-05-13,7.6,7.6,7.43,7.5,3453900,down
2020-05-14,7.5,7.53,7.39,7.39,3827622,down
2020-05-15,7.43,7.67,7.39,7.5,6937907,up
2020-05-18,7.56,7.56,7.39,7.53,2771622,up
2020-05-19,7.6,7.77,7.6,7.67,5561531,up
2020-05-20,7.63,7.74,7.6,7.67,3116422,down
2020-05-21,7.67,7.84,7.56,7.74,4622625,up
2020-05-22,7.77,7.84,7.7,7.74,4841440,down
2020-05-25,7.77,7.84,7.7,7.81,3519682,up
2020-05-26,7.77,8.12,7.77,8.05,5267006,up
2020-05-27,8.12,8.19,7.88,7.88,6389497,down
2020-05-28,7.88,8.01,7.88,7.91,3568932,up
2020-05-29,7.91,7.94,7.84,7.91,2394358,down
2020-06-01,7.94,8.67,7.91,8.67,13859688,up
2020-06-02,8.81,9.15,8.57,8.57,10935462,down
2020-06-03,8.57,8.81,8.57,8.81,3758964,up
2020-06-04,8.84,8.88,8.7,8.74,5159832,down
2020-06-05,8.77,8.77,8.6,8.7,4025847,down
2020-06-08,8.7,8.98,8.7,8.77,6087882,up
2020-06-09,8.81,8.84,8.7,8.81,3531851,up
2020-06-10,8.81,8.95,8.7,8.84,6494275,up
2020-06-11,8.84,8.91,8.43,8.46,9172138,down
2020-06-12,8.29,8.46,8.08,8.46,6648375,down
2020-06-15,8.53,8.53,8.01,8.05,5885937,down
2020-06-16,8.15,8.36,8.15,8.22,4198360,up
2020-06-17,8.39,8.39,8.12,8.19,1599340,down
2020-06-18,8.19,8.26,8.08,8.22,1301526,up
2020-06-19,8.22,8.46,8.22,8.43,2334941,up
2020-06-22,8.43,8.53,8.29,8.32,2256643,down
2020-06-23,8.36,8.43,8.26,8.29,3282364,down
2020-06-24,8.29,8.39,8.19,8.22,3013466,down
2020-06-25,8.19,8.22,8.12,8.19,2500893,down
2020-06-26,8.22,8.29,8.15,8.15,1400341,down
2020-06-29,8.15,8.15,7.84,7.91,4353272,down
2020-06-30,7.94,8.05,7.74,7.88,3585625,down
2020-07-01,7.88,8.05,7.88,8.01,1676001,up
2020-07-02,8.01,8.08,7.94,7.98,1070089,down
2020-07-03,8.01,8.05,7.94,7.94,1271360,down
2020-07-06,7.94,8.19,7.94,8.15,3204367,up
2020-07-07,8.19,8.29,8.19,8.19,2389942,up
2020-07-08,8.15,8.29,8.15,8.26,1647694,up
2020-07-09,8.26,8.39,8.26,8.39,2248695,up
2020-07-10,8.39,8.43,8.22,8.29,2284971,down
2020-07-13,8.32,8.36,8.22,8.26,1840084,down
2020-07-14,8.26,8.32,8.19,8.29,1406915,up
2020-07-15,8.36,8.36,8.29,8.29,1570073,down
2020-07-16,8.36,8.36,8.26,8.29,903322,down
2020-07-17,8.32,8.64,8.29,8.57,7890281,up
2020-07-20,8.57,8.6,8.46,8.46,2622350,down
2020-07-21,8.46,8.5,8.36,8.5,2194410,up
2020-07-22,8.5,8.57,8.36,8.43,1726317,down
2020-07-23,8.43,8.43,8.29,8.36,1955757,down
2020-07-24,8.39,8.39,7.77,8.01,5532575,down
2020-07-27,7.22,7.91,7.22,7.53,6240477,down
2020-07-28,7.53,7.91,7.43,7.91,2598740,up
2020-07-29,7.84,7.88,7.46,7.67,4929532,down
2020-07-30,7.5,7.81,7.5,7.81,1914488,up
2020-07-31,7.84,7.84,7.63,7.77,2220749,down
2020-08-03,7.63,8.01,7.63,8.01,3044620,up
2020-08-04,8.05,8.26,8.05,8.19,2907562,up
2020-08-05,8.26,8.43,8.19,8.29,5472736,up
