time,open,high,low,close,volume,label
2019-01-02,2.82,2.82,2.75,2.78,2033485,down
2019-01-03,2.78,2.82,2.67,2.71,6882054,down
2019-01-04,2.71,2.75,2.67,2.71,3820522,down
2019-01-07,2.75,2.78,2.71,2.78,2727864,up
2019-01-08,2.78,2.78,2.71,2.71,1689051,down
2019-01-09,2.75,2.78,2.71,2.78,3395083,up
2019-01-10,2.78,2.78,2.71,2.71,3572910,down
2019-01-11,2.71,2.75,2.71,2.71,2306683,down
2019-01-14,2.75,2.78,2.71,2.71,5212044,down
2019-01-15,2.71,2.78,2.67,2.75,3934698,up
2019-01-16,2.75,2.78,2.71,2.71,1316558,down
2019-01-17,2.75,2.75,2.71,2.71,2192409,down
2019-01-18,2.75,2.75,2.71,2.71,2322572,down
2019-01-21,2.71,2.82,2.71,2.78,7800814,up
2019-01-22,2.78,2.82,2.71,2.71,2980253,down
2019-01-23,2.71,2.78,2.71,2.75,986585,up
2019-01-24,2.75,2.78,2.71,2.75,3546651,down
2019-01-25,2.78,2.78,2.71,2.75,2046634,down
2019-01-28,2.78,2.78,2.71,2.75,4082476,down
2019-01-29,2.75,2.75,2.71,2.75,1784661,down
2019-01-30,2.75,2.78,2.71,2.78,3354788,up
2019-01-31,2.75,2.82,2.75,2.78,3127875,down
2019-02-01,2.75,2.78,2.75,2.78,1495350,down
2019-02-11,2.75,2.98,2.75,2.94,9468726,up
2019-02-12,2.9,2.98,2.9,2.98,7180566,up
2019-02-13,2.98,3.02,2.94,2.98,6728714,down
2019-02-14,2.98,3.05,2.94,3.05,9152025,up
2019-02-15,3.05,3.05,2.98,2.98,6955297,down
2019-02-18,2.98,3.02,2.94,2.98,5593251,down
2019-02-19,2.98,3.02,2.9,2.9,7813159,down
2019-02-20,2.9,2.98,2.9,2.9,4970891,down
2019-02-21,2.9,2.98,2.9,2.9,2822196,down
2019-02-22,2.94,3.02,2.9,2.94,5760463,up
2019-02-25,2.94,3.02,2.94,2.94,4821870,down
2019-02-26,2.98,2.98,2.9,2.94,4584332,down
2019-02-27,2.9,2.98,2.9,2.94,4203700,down
2019-02-28,2.94,2.94,2.86,2.86,4771835,down
2019-03-01,2.86,2.94,2.86,2.94,3959591,up
2019-03-04,2.9,2.98,2.9,2.94,4671322,down
2019-03-05,2.94,2.98,2.9,2.9,4242228,down
2019-03-06,2.9,2.98,2.9,2.94,4924862,up
2019-03-07,2.94,3.09,2.94,3.05,18895406,up
2019-03-08,3.05,3.05,2.98,3.02,5751186,down
2019-03-11,3.02,3.05,2.98,3.02,2760603,down
2019-03-12,3.02,3.13,2.98,3.13,12186115,up
2019-03-13,3.13,3.21,3.05,3.05,15340168,down
2019-03-14,3.05,3.13,3.05,3.05,4877970,down
2019-03-15,3.05,3.13,3.05,3.09,6504595,up
2019-03-18,3.09,3.13,3.05,3.09,4357444,down
2019-03-19,3.09,3.13,3.05,3.05,9026975,down
2019-03-20,3.05,3.05,2.98,3.02,6551630,down
2019-03-21,3.05,3.05,2.98,2.98,6578268,down
2019-03-22,2.98,2.98,2.94,2.98,4204525,down
2019-03-25,2.94,2.94,2.86,2.86,8605126,down
2019-03-26,2.86,2.94,2.86,2.86,4178627,down
2019-03-27,2.9,2.98,2.9,2.94,5114273,up
2019-03-28,2.98,2.98,2.9,2.94,2475298,down
2019-03-29,2.94,2.98,2.9,2.9,1433927,down
2019-04-01,2.94,2.98,2.9,2.98,1837471,up
2019-04-02,2.98,3.02,2.9,2.94,1895038,down
2019-04-03,2.94,2.98,2.9,2.94,701166,down
2019-04-04,2.94,2.94,2.9,2.94,4877249,down
2019-04-05,2.94,2.94,2.9,2.9,698791,down
2019-04-08,2.9,2.98,2.9,2.98,2864982,up
2019-04-09,2.98,2.98,2.9,2.9,2670693,down
2019-04-10,2.94,2.94,2.86,2.9,2464239,down
2019-04-11,2.9,2.94,2.9,2.94,1650873,up
2019-04-12,2.9,2.94,2.86,2.9,1590806,down
2019-04-16,2.9,2.94,2.82,2.94,5268355,up
2019-04-17,2.94,2.94,2.86,2.86,1125252,down
2019-04-18,2.9,2.94,2.86,2.86,2975338,down
2019-04-19,2.9,2.94,2.86,2.9,2359687,up
2019-04-22,2.94,2.94,2.86,2.9,2006486,down
2019-04-23,2.9,2.94,2.86,2.9,2541541,down
2019-04-24,2.9,2.98,2.9,2.9,7729553,down
2019-04-25,2.9,2.98,2.9,2.9,2022765,down
2019-04-26,2.63,2.94,2.63,2.9,2091608,down
2019-05-02,2.94,2.94,2.86,2.9,3938332,down
2019-05-03,2.9,2.94,2.86,2.86,2207117,down
2019-05-06,2.86,2.9,2.78,2.82,8405734,down
2019-05-07,2.86,2.9,2.82,2.82,2319566,down
2019-05-08,2.82,2.86,2.78,2.86,2678366,up
2019-05-09,2.86,2.86,2.82,2.86,1431012,down
2019-05-10,2.86,2.86,2.82,2.86,931795,down
2019-05-13,2.86,2.9,2.82,2.86,5498529,down
2019-05-14,2.86,2.86,2.82,2.82,1391348,down
2019-05-15,2.86,2.9,2.82,2.86,3929938,up
2019-05-16,2.86,2.9,2.82,2.86,3043754,down
2019-05-17,2.86,2.9,2.82,2.82,7641525,down
2019-05-20,2.86,2.86,2.82,2.82,2016565,down
2019-05-21,2.82,2.86,2.78,2.78,3331288,down
2019-05-22,2.78,2.86,2.75,2.78,9419235,down
2019-05-23,2.78,2.82,2.78,2.82,1146944,up
2019-05-24,2.82,2.82,2.75,2.75,2495230,down
2019-05-27,2.75,2.78,2.75,2.75,2308990,down
2019-05-28,2.75,2.78,2.71,2.75,2751465,down
2019-05-29,2.75,2.78,2.71,2.75,3669477,down
2019-05-30,2.75,2.78,2.71,2.78,3612109,up
2019-05-31,2.78,2.78,2.71,2.71,1627897,down
2019-06-03,2.75,2.75,2.67,2.71,4977725,down
2019-06-04,2.71,2.75,2.67,2.71,2015189,down
2019-06-05,2.71,2.75,2.67,2.71,1871717,down
2019-06-06,2.71,2.71,2.67,2.71,795858,down
2019-06-07,2.71,2.75,2.67,2.75,2192184,up
2019-06-10,2.71,2.75,2.71,2.71,889916,down
2019-06-11,2.71,2.75,2.67,2.71,2168461,down
2019-06-12,2.71,2.71,2.67,2.71,914748,down
2019-06-13,2.71,2.75,2.67,2.71,2616757,down
2019-06-14,2.67,2.75,2.67,2.71,3137283,down
2019-06-17,2.71,2.75,2.67,2.71,1781275,down
2019-06-18,2.71,2.71,2.67,2.71,1269770,down
2019-06-19,2.71,2.75,2.67,2.71,2515936,down
2019-06-20,2.67,2.75,2.67,2.75,1892082,up
2019-06-21,2.75,2.75,2.71,2.71,2650738,down
2019-06-24,2.75,2.75,2.67,2.71,2293837,down
2019-06-25,2.71,2.71,2.67,2.71,946565,down
2019-06-26,2.67,2.71,2.67,2.67,1977082,down
2019-06-27,2.67,2.71,2.59,2.63,7044771,down
2019-06-28,2.63,2.67,2.59,2.63,3873888,down
2019-07-01,2.63,2.67,2.63,2.63,4059470,down
2019-07-02,2.67,2.67,2.59,2.59,5349350,down
2019-07-03,2.59,2.63,2.59,2.59,923914,down
2019-07-04,2.63,2.67,2.59,2.63,3851297,up
2019-07-05,2.63,2.67,2.59,2.63,2319169,down
2019-07-08,2.63,2.67,2.59,2.59,767395,down
2019-07-09,2.63,2.63,2.59,2.59,1201769,down
2019-07-10,2.59,2.63,2.59,2.59,1145355,down
2019-07-11,2.59,2.67,2.59,2.63,3212091,up
2019-07-12,2.67,2.67,2.59,2.59,2234725,down
2019-07-15,2.63,2.63,2.59,2.59,698259,down
2019-07-16,2.63,2.63,2.59,2.59,2837140,down
2019-07-17,2.63,2.67,2.59,2.63,7431226,up
2019-07-18,2.63,2.67,2.59,2.63,3502537,down
2019-07-19,2.63,2.67,2.59,2.67,3296284,up
2019-07-22,2.67,2.67,2.59,2.63,3553148,down
2019-07-23,2.63,2.67,2.59,2.63,3123309,down
2019-07-24,2.63,2.71,2.63,2.63,6613100,down
2019-07-25,2.63,2.67,2.63,2.67,1368419,up
2019-07-26,2.67,2.67,2.63,2.67,4236831,down
2019-07-29,2.63,2.67,2.59,2.63,1478717,down
2019-07-30,2.63,2.63,2.55,2.55,3580677,down
2019-07-31,2.55,2.59,2.47,2.55,9593717,down
2019-08-01,2.55,2.59,2.51,2.55,2954962,down
2019-08-02,2.55,2.55,2.51,2.55,1128787,down
2019-08-05,2.55,2.55,2.47,2.51,4611097,down
2019-08-06,2.47,2.51,2.44,2.47,3949015,down
2019-08-07,2.47,2.51,2.44,2.47,2091815,down
2019-08-08,2.47,2.51,2.44,2.47,2085509,down
2019-08-09,2.47,2.51,2.47,2.47,2219241,down
2019-08-12,2.47,2.51,2.47,2.47,1033448,down
2019-08-13,2.47,2.51,2.44,2.47,1780796,down
2019-08-14,2.47,2.51,2.44,2.47,1961389,down
2019-08-15,2.47,2.47,2.4,2.44,2775767,down
2019-08-16,2.44,2.47,2.4,2.44,3378952,down
2019-08-19,2.44,2.47,2.4,2.44,2151786,down
2019-08-20,2.44,2.47,2.4,2.4,6238858,down
2019-08-21,2.4,2.4,2.36,2.36,5226753,down
2019-08-22,2.32,2.4,2.32,2.36,2565008,down
2019-08-23,2.36,2.44,2.36,2.44,5467301,up
2019-08-26,2.44,2.44,2.36,2.44,2997472,down
2019-08-27,2.44,2.47,2.4,2.44,3619470,down
2019-08-28,2.44,2.47,2.4,2.44,2363726,down
2019-08-29,2.44,2.47,2.44,2.44,1196348,down
2019-08-30,2.44,2.47,2.4,2.44,2124956,down
2019-09-03,2.47,2.47,2.4,2.4,2415703,down
