time,open,high,low,close,volume,label
2019-01-02,6.69,6.69,6.5,6.5,1037420,down
2019-01-03,6.5,6.57,6.27,6.37,3018830,down
2019-01-04,6.34,6.42,6.15,6.35,1928210,down
2019-01-07,6.47,6.57,6.42,6.45,1645360,up
2019-01-08,6.42,6.47,6.35,6.42,834840,down
2019-01-09,6.44,6.55,6.42,6.42,2027690,down
2019-01-10,6.44,6.52,6.42,6.44,988700,up
2019-01-11,6.47,6.5,6.39,6.4,1158060,down
2019-01-14,6.4,6.44,6.32,6.39,1149670,down
2019-01-15,6.39,6.49,6.37,6.45,1168800,up
2019-01-16,6.47,6.69,6.47,6.65,3962960,up
2019-01-17,6.64,6.67,6.37,6.37,1419860,down
2019-01-18,6.47,6.54,6.42,6.45,1672450,up
2019-01-21,6.47,6.77,6.47,6.71,2531400,up
2019-01-22,6.71,6.82,6.59,6.59,2282970,down
2019-01-23,6.55,6.69,6.55,6.67,1413360,up
2019-01-24,6.67,6.77,6.6,6.77,2058500,up
2019-01-25,6.74,6.81,6.67,6.72,1353240,down
2019-01-28,6.72,6.76,6.54,6.6,1415780,down
2019-01-29,6.6,6.71,6.52,6.71,1602910,up
2019-01-30,6.72,6.76,6.65,6.67,1292190,down
2019-01-31,6.72,6.82,6.72,6.77,2385210,up
2019-02-01,6.77,6.81,6.64,6.72,3212780,down
2019-02-11,6.79,7.11,6.76,7.11,3188300,up
2019-02-12,7.17,7.22,7.09,7.16,3980620,up
2019-02-13,7.17,7.27,7.16,7.21,3440610,up
2019-02-14,7.21,7.22,7.11,7.12,2299990,down
2019-02-15,7.11,7.21,7.01,7.12,2818810,down
2019-02-18,7.17,7.26,7.16,7.21,1634010,up
2019-02-19,7.27,7.31,7.11,7.11,2998200,down
2019-02-20,7.09,7.17,7.01,7.09,2173510,down
2019-02-21,7.14,7.17,7.01,7.17,2551090,up
2019-02-22,7.09,7.26,7.07,7.16,2761050,down
2019-02-25,7.27,7.31,7.19,7.21,2504220,up
2019-02-26,7.17,7.26,7.07,7.14,2884870,down
2019-02-27,7.11,7.16,7.07,7.11,1606160,down
2019-02-28,7.11,7.11,6.91,6.94,2771900,down
2019-03-01,6.94,7.01,6.91,7.01,2197980,up
2019-03-04,7.01,7.24,7.01,7.17,3088630,up
2019-03-05,7.16,7.27,7.12,7.17,3627360,down
2019-03-06,7.17,7.19,7.09,7.14,1409590,down
2019-03-07,7.14,7.22,7.11,7.14,2681570,down
2019-03-08,7.07,7.12,7.01,7.06,2774400,down
2019-03-11,7.06,7.11,7.02,7.07,799600,up
2019-03-12,7.11,7.21,7.02,7.21,2561330,up
2019-03-13,7.29,7.41,7.27,7.38,4507910,up
2019-03-14,7.36,7.38,7.29,7.31,1529860,down
2019-03-15,7.27,7.31,7.22,7.31,1720670,down
2019-03-18,7.34,7.54,7.33,7.54,4480400,up
2019-03-19,7.54,7.54,7.33,7.34,1689000,down
2019-03-20,7.33,7.34,7.21,7.29,2170730,down
2019-03-21,7.29,7.33,7.04,7.04,3158580,down
2019-03-22,7.12,7.12,6.99,7.04,2493250,down
2019-03-25,6.79,6.91,6.71,6.77,3398760,down
2019-03-26,6.81,6.87,6.77,6.77,1641900,down
2019-03-27,6.81,6.94,6.76,6.94,2064200,up
2019-03-28,6.86,6.94,6.84,6.86,1091520,down
2019-03-29,6.91,6.92,6.76,6.77,2449530,down
