time,open,high,low,close,volume,label
2019-01-02,7.76,7.76,7.22,7.22,723350,
2019-01-03,7.41,7.43,7.2,7.21,1222860,sideways
2019-01-04,7.25,7.43,7.17,7.43,1129350,strong_up
2019-01-07,7.43,7.56,7.3,7.4,727640,sideways
2019-01-08,7.4,7.41,7.17,7.3,1063470,weak_down
2019-01-09,7.32,7.45,7.32,7.4,1246940,weak_up
2019-01-10,7.41,7.45,7.41,7.43,1859370,sideways
2019-01-11,7.43,7.56,7.41,7.48,2231760,weak_up
2019-01-14,7.48,7.53,7.4,7.45,715340,sideways
2019-01-15,7.48,7.49,7.41,7.48,717930,sideways
2019-01-16,7.48,7.48,7.4,7.48,895390,sideways
2019-01-17,7.48,7.48,7.4,7.4,998480,weak_down
2019-01-18,7.43,7.53,7.4,7.45,1417600,weak_up
2019-01-21,7.47,7.61,7.45,7.59,1233280,weak_up
2019-01-22,7.61,7.77,7.61,7.71,1369310,weak_up
2019-01-23,7.68,7.76,7.67,7.68,850650,sideways
2019-01-24,7.68,7.72,7.61,7.67,725150,sideways
2019-01-25,7.68,7.71,7.63,7.67,891440,sideways
2019-01-28,7.67,7.71,7.63,7.68,876970,sideways
2019-01-29,7.68,7.7,7.65,7.68,934570,sideways
2019-01-30,7.68,7.7,7.65,7.68,768110,sideways
2019-01-31,7.71,7.81,7.71,7.81,762510,weak_up
2019-02-01,7.81,7.84,7.76,7.81,1336610,sideways
2019-02-11,7.84,7.86,7.79,7.85,1150140,weak_up
2019-02-12,7.85,8.02,7.84,7.97,1889530,weak_up
2019-02-13,7.98,8.07,7.97,7.99,1299260,sideways
2019-02-14,7.97,8.0,7.84,7.89,944710,weak_down
2019-02-15,7.89,7.89,7.73,7.79,1126100,weak_down
2019-02-18,7.79,7.85,7.72,7.84,1482140,weak_up
2019-02-19,7.84,7.84,7.62,7.68,1535000,strong_down
2019-02-20,7.68,7.68,7.61,7.61,840490,weak_down
2019-02-21,7.61,7.67,7.53,7.63,1427590,sideways
2019-02-22,7.63,7.81,7.59,7.71,1237000,weak_up
2019-02-25,7.73,7.97,7.73,7.94,1776680,strong_up
2019-02-26,7.94,7.95,7.8,7.85,1122230,weak_down
2019-02-27,7.85,7.88,7.81,7.84,951480,sideways
2019-02-28,7.84,7.84,7.68,7.68,1478660,strong_down
2019-03-01,7.68,7.8,7.68,7.79,963400,weak_up
2019-03-04,7.79,7.84,7.73,7.79,1085020,sideways
2019-03-05,7.79,7.9,7.76,7.86,1303000,weak_up
2019-03-06,7.88,7.94,7.81,7.86,1108670,sideways
2019-03-07,7.86,7.9,7.79,7.86,1620040,sideways
2019-03-08,7.8,7.84,7.68,7.79,1212760,weak_down
2019-03-11,7.81,7.81,7.71,7.79,626150,sideways
2019-03-12,7.79,7.94,7.76,7.91,1505510,weak_up
2019-03-13,7.91,8.0,7.91,7.94,2043280,sideways
2019-03-14,7.94,7.95,7.86,7.94,1225920,sideways
2019-03-15,7.91,8.18,7.9,8.14,3064820,strong_up
2019-03-18,8.17,8.27,8.11,8.14,1392510,sideways
2019-03-19,8.14,8.29,8.14,8.17,1696390,sideways
2019-03-20,8.14,8.17,7.94,8.13,931480,sideways
2019-03-21,8.13,8.18,7.93,7.94,972860,strong_down
2019-03-22,7.94,8.04,7.89,7.94,1239450,sideways
2019-03-25,7.76,7.86,7.7,7.76,1271210,strong_down
2019-03-26,7.76,7.85,7.73,7.76,1421400,sideways
2019-03-27,7.77,7.82,7.7,7.77,1492830,sideways
2019-03-28,7.73,7.86,7.68,7.72,1479130,weak_down
2019-03-29,7.68,7.73,7.62,7.68,1153030,weak_down
2019-04-01,7.68,7.7,7.56,7.57,1097250,weak_down
2019-04-02,7.58,7.61,7.3,7.38,1518730,strong_down
2019-04-03,7.3,7.31,7.21,7.24,1140200,weak_down
2019-04-04,7.3,7.49,7.3,7.48,1613920,strong_up
2019-04-05,7.45,7.49,7.4,7.49,1364970,sideways
2019-04-08,7.45,7.47,7.36,7.4,1065960,weak_down
2019-04-09,7.4,7.49,7.29,7.36,1880540,weak_down
2019-04-10,7.31,7.32,7.17,7.2,1714100,strong_down
2019-04-11,7.22,7.25,7.16,7.16,1056670,weak_down
2019-04-12,7.16,7.18,7.04,7.09,1429660,weak_down
2019-04-16,7.08,7.32,7.04,7.32,1465250,strong_up
2019-04-17,7.35,7.39,7.3,7.3,1064030,sideways
2019-04-18,7.25,7.27,7.15,7.2,1155030,weak_down
2019-04-19,7.2,7.21,7.13,7.2,938990,sideways
2019-04-22,7.22,7.22,7.09,7.2,1243600,sideways
2019-04-23,7.22,7.27,7.16,7.24,1394220,weak_up
2019-04-24,7.25,7.27,7.21,7.26,1127760,sideways
2019-04-25,7.27,7.27,7.11,7.2,1239480,weak_down
2019-04-26,7.24,7.25,7.17,7.2,944690,sideways
2019-05-02,7.22,7.22,7.12,7.18,1303850,sideways
2019-05-03,7.18,7.2,7.07,7.17,1351590,sideways
2019-05-06,7.13,7.13,6.97,6.99,992700,strong_down
2019-05-07,6.99,7.03,6.68,6.68,1855910,strong_down
2019-05-08,6.66,6.74,6.56,6.74,2118830,weak_up
2019-05-09,6.74,6.85,6.67,6.85,1578090,weak_up
2019-05-10,6.86,7.04,6.8,6.97,1642950,weak_up
2019-05-13,6.97,7.07,6.84,7.07,3370690,weak_up
2019-05-14,7.02,7.07,6.86,6.97,1545870,weak_down
2019-05-15,6.92,7.08,6.84,7.07,2499810,weak_up
2019-05-16,7.02,7.08,6.86,6.99,2217020,weak_down
2019-05-17,6.98,6.98,6.85,6.92,1413840,weak_down
2019-05-20,6.95,6.97,6.88,6.95,1315780,sideways
2019-05-21,6.95,6.98,6.88,6.94,1555260,sideways
2019-05-22,6.94,6.97,6.88,6.92,665200,sideways
2019-05-23,6.92,6.93,6.71,6.79,1685350,weak_down
2019-05-24,6.76,6.84,6.72,6.79,883450,sideways
2019-05-27,6.79,6.92,6.77,6.9,961600,weak_up
2019-05-28,6.89,6.92,6.76,6.89,1003730,sideways
2019-05-29,6.86,6.93,6.79,6.9,1761010,sideways
2019-05-30,6.89,7.02,6.86,7.0,2254410,weak_up
2019-05-31,6.98,7.02,6.89,6.99,1768000,sideways
2019-06-03,6.98,6.98,6.77,6.85,1491650,strong_down
2019-06-04,6.81,6.86,6.74,6.81,1348200,weak_down
2019-06-05,6.83,6.9,6.81,6.89,1688710,weak_up
2019-06-06,6.84,6.92,6.84,6.86,779490,sideways
2019-06-07,6.85,6.89,6.79,6.89,941190,sideways
2019-06-10,6.89,6.92,6.77,6.86,1287780,sideways
2019-06-11,6.81,6.89,6.8,6.85,865430,sideways
2019-06-12,6.86,6.89,6.8,6.86,1192730,sideways
2019-06-13,6.84,6.88,6.79,6.81,1028590,weak_down
2019-06-14,6.85,6.89,6.76,6.81,1780120,sideways
2019-06-17,6.84,6.86,6.75,6.79,1006060,sideways
2019-06-18,6.8,6.84,6.6,6.66,1248130,weak_down
2019-06-19,6.66,6.76,6.4,6.72,1856260,weak_up
2019-06-20,6.79,6.9,6.76,6.89,1786910,strong_up
2019-06-21,6.89,6.93,6.79,6.81,1912930,weak_down
2019-06-24,6.84,6.86,6.8,6.83,846740,sideways
2019-06-25,6.81,6.86,6.8,6.84,641150,sideways
2019-06-26,6.84,6.86,6.77,6.81,1348500,sideways
2019-06-27,6.81,6.86,6.77,6.8,720990,sideways
2019-06-28,6.8,7.04,6.63,7.04,1728220,strong_up
2019-07-01,7.04,7.04,6.84,6.89,1206760,strong_down
2019-07-02,6.88,6.88,6.72,6.79,1672670,weak_down
2019-07-03,6.76,6.81,6.7,6.74,1192780,weak_down
2019-07-04,6.79,6.79,6.71,6.79,1596370,weak_up
2019-07-05,6.79,6.83,6.72,6.72,1051800,weak_down
2019-07-08,6.71,6.71,6.62,6.66,1276780,weak_down
2019-07-09,6.66,6.7,6.57,6.7,1465910,weak_up
2019-07-10,6.68,6.68,6.6,6.65,1818100,weak_down
2019-07-11,6.65,6.72,6.65,6.68,1058820,sideways
2019-07-12,6.68,6.71,6.63,6.7,1058860,sideways
2019-07-15,6.7,6.72,6.62,6.68,971410,sideways
2019-07-16,6.67,6.71,6.66,6.67,1018830,sideways
2019-07-17,6.68,6.76,6.66,6.76,1838690,weak_up
2019-07-18,6.77,6.79,6.66,6.75,1073860,sideways
2019-07-19,6.75,6.77,6.71,6.76,910900,sideways
2019-07-22,6.76,6.79,6.65,6.68,775190,weak_down
2019-07-23,6.68,6.7,6.63,6.7,892560,sideways
2019-07-24,6.71,6.74,6.65,6.68,507930,sideways
2019-07-25,6.68,6.72,6.61,6.7,1259970,sideways
2019-07-26,6.68,6.71,6.61,6.67,1269290,sideways
2019-07-29,6.66,6.68,6.63,6.66,924560,sideways
2019-07-30,6.67,6.67,6.62,6.66,1082500,sideways
2019-07-31,6.68,6.68,6.61,6.65,1225140,sideways
2019-08-01,6.66,6.66,6.62,6.66,1079040,sideways
2019-08-02,6.63,6.67,6.58,6.67,1994450,sideways
2019-08-05,6.66,6.67,6.54,6.56,1080940,weak_down
2019-08-06,6.56,6.56,6.26,6.4,2045940,strong_down
2019-08-07,6.4,6.4,6.27,6.4,1645830,sideways
2019-08-08,6.4,6.4,6.3,6.4,1542970,sideways
2019-08-09,6.4,6.74,6.39,6.74,3855360,strong_up
2019-08-12,6.77,6.79,6.61,6.7,1252920,weak_down
2019-08-13,6.67,6.68,6.56,6.67,1066250,sideways
2019-08-14,6.67,6.74,6.58,6.74,1459040,weak_up
2019-08-15,6.6,6.75,6.58,6.75,1724750,sideways
2019-08-16,6.74,6.79,6.7,6.76,1822580,sideways
2019-08-19,6.76,6.79,6.71,6.75,623530,sideways
2019-08-20,6.74,6.75,6.67,6.74,995850,sideways
2019-08-21,6.72,6.79,6.68,6.79,1292810,weak_up
2019-08-22,6.76,6.77,6.74,6.77,914360,sideways
2019-08-23,6.76,6.76,6.72,6.76,893370,sideways
2019-08-26,6.74,6.74,6.61,6.74,1276690,sideways
2019-08-27,6.74,6.79,6.72,6.79,2423010,weak_up
2019-08-28,6.79,6.79,6.72,6.76,720970,sideways
2019-08-29,6.75,6.76,6.52,6.72,2307000,weak_down
2019-08-30,6.7,6.75,6.61,6.66,1027180,weak_down
2019-09-03,6.63,6.65,6.56,6.58,1398210,weak_down
2019-09-04,6.57,6.62,6.52,6.54,976200,weak_down
2019-09-05,6.56,6.56,6.47,6.54,909790,sideways
2019-09-06,6.53,6.56,6.47,6.53,996760,sideways
2019-09-09,6.54,6.56,6.47,6.53,806820,sideways
2019-09-10,6.54,6.54,6.36,6.51,1230850,sideways
2019-09-11,6.51,6.52,6.38,6.51,1300750,sideways
2019-09-12,6.51,6.6,6.48,6.58,1301200,weak_up
2019-09-13,6.57,6.71,6.54,6.66,1831310,weak_up
2019-09-16,6.65,6.76,6.65,6.74,2225270,weak_up
2019-09-17,6.72,6.74,6.66,6.71,1571630,sideways
2019-09-18,6.7,6.72,6.67,6.68,905560,sideways
2019-09-19,6.67,6.77,6.67,6.75,1610140,weak_up
2019-09-20,6.75,6.79,6.74,6.75,1212560,sideways
2019-09-23,6.75,6.76,6.72,6.76,924710,sideways
2019-09-24,6.75,6.76,6.68,6.72,1312330,weak_down
2019-09-25,6.72,6.77,6.71,6.77,1218460,weak_up
2019-09-26,6.76,6.81,6.75,6.79,1921770,sideways
2019-09-27,6.79,6.84,6.76,6.83,2109570,weak_up
2019-09-30,6.83,7.18,6.83,7.09,3492130,strong_up
2019-10-01,7.09,7.27,7.09,7.24,4476330,strong_up
2019-10-02,7.22,7.27,7.18,7.2,2485740,weak_down
2019-10-03,7.16,7.21,7.04,7.12,2394270,weak_down
2019-10-04,7.12,7.18,7.02,7.04,1733690,weak_down
2019-10-07,7.04,7.09,6.99,7.02,1407810,sideways
2019-10-08,7.02,7.08,6.99,7.07,1646150,weak_up
2019-10-09,7.06,7.08,7.03,7.04,1299340,sideways
2019-10-10,7.06,7.08,7.02,7.08,1538160,weak_up
2019-10-11,7.09,7.21,7.08,7.17,2265090,weak_up
2019-10-14,7.21,7.27,7.21,7.27,2796220,weak_up
2019-10-15,7.29,7.31,7.21,7.25,1432200,sideways
2019-10-16,7.25,7.26,7.2,7.22,1068290,sideways
2019-10-17,7.21,7.22,7.15,7.15,1948760,weak_down
2019-10-18,7.17,7.18,7.12,7.16,1281060,sideways
2019-10-21,7.15,7.18,7.13,7.17,1170010,sideways
2019-10-22,7.17,7.24,7.13,7.16,1251450,sideways
2019-10-23,7.15,7.24,7.12,7.24,2508290,weak_up
2019-10-24,7.22,7.48,7.2,7.48,4608210,strong_up
2019-10-25,7.47,7.49,7.36,7.4,1586170,weak_down
2019-10-28,7.43,7.44,7.34,7.4,1730470,sideways
2019-10-29,7.38,7.41,7.31,7.38,1446260,sideways
2019-10-30,7.36,7.41,7.35,7.4,2171950,sideways
2019-10-31,7.4,7.58,7.4,7.54,4007290,weak_up
2019-11-01,7.52,7.54,7.41,7.5,1528630,weak_down
2019-11-04,7.49,7.56,7.47,7.56,2666690,weak_up
2019-11-05,7.53,7.56,7.49,7.56,1544260,sideways
2019-11-06,7.56,7.56,7.45,7.45,1981650,weak_down
2019-11-07,7.45,7.49,7.4,7.47,1764160,sideways
2019-11-08,7.5,7.66,7.49,7.59,4099020,weak_up
2019-11-11,7.58,7.61,7.45,7.58,2449980,sideways
2019-11-12,7.56,7.58,7.47,7.56,2025350,sideways
2019-11-13,7.54,7.56,7.47,7.56,2306790,sideways
2019-11-14,7.53,7.56,7.43,7.43,1800960,weak_down
2019-11-15,7.43,7.44,7.26,7.26,2507740,strong_down
2019-11-18,7.29,7.5,7.25,7.35,3249280,weak_up
2019-11-19,7.36,7.39,7.32,7.38,1798650,sideways
2019-11-20,7.38,7.44,7.3,7.4,1671860,sideways
2019-11-21,7.36,7.4,7.29,7.29,1711790,weak_down
2019-11-22,7.3,7.34,7.04,7.12,1596730,strong_down
2019-11-25,7.12,7.18,7.06,7.12,961390,sideways
2019-11-26,7.15,7.18,7.08,7.12,1420590,sideways
2019-11-27,7.12,7.15,6.92,6.92,1153210,strong_down
2019-11-28,6.92,6.93,6.66,6.7,1211930,strong_down
