time,open,high,low,close,volume,label
2019-01-02,6.02,6.02,5.79,5.92,101860,
2019-01-03,5.9,6.02,5.74,5.79,87800,strong_down
2019-01-04,5.79,5.79,5.55,5.77,163350,sideways
2019-01-07,5.96,6.01,5.77,5.83,100710,weak_up
2019-01-08,5.87,5.96,5.8,5.84,144900,sideways
2019-01-09,5.93,6.14,5.9,6.11,790920,strong_up
2019-01-10,6.11,6.24,6.11,6.19,476230,weak_up
2019-01-11,6.23,6.23,6.17,6.2,395170,sideways
2019-01-14,6.23,6.54,5.79,6.54,265710,strong_up
2019-01-15,6.39,6.39,6.14,6.26,442520,strong_down
2019-01-16,6.27,6.3,6.17,6.17,121030,weak_down
2019-01-17,6.23,6.23,6.13,6.14,103420,sideways
2019-01-18,6.14,6.3,6.14,6.17,136430,sideways
2019-01-21,6.19,6.38,6.17,6.23,289120,weak_up
2019-01-22,6.32,6.32,6.17,6.23,216620,sideways
2019-01-23,6.2,6.47,6.14,6.47,952210,strong_up
2019-01-24,6.26,6.38,6.23,6.3,271940,strong_down
2019-01-25,6.32,6.33,6.27,6.27,361290,sideways
2019-01-28,6.3,6.3,6.23,6.24,229370,sideways
2019-01-29,6.24,6.26,6.13,6.14,277150,weak_down
2019-01-30,6.23,6.23,6.19,6.2,191750,weak_up
2019-01-31,6.23,6.26,6.17,6.17,194040,sideways
2019-02-01,6.2,6.23,6.17,6.22,133360,weak_up
2019-02-11,6.24,6.3,6.24,6.3,328120,weak_up
2019-02-12,6.32,6.36,6.3,6.32,387770,sideways
2019-02-13,6.33,6.36,6.29,6.33,308220,sideways
2019-02-14,6.35,6.35,6.27,6.32,328550,sideways
2019-02-15,6.33,6.35,6.23,6.29,536880,sideways
2019-02-18,6.33,6.33,6.24,6.3,277020,sideways
2019-02-19,6.32,6.32,6.23,6.26,280680,weak_down
2019-02-20,6.29,6.29,6.17,6.26,349790,sideways
2019-02-21,6.27,6.29,6.16,6.17,475180,weak_down
2019-02-22,6.19,6.27,6.16,6.23,348120,weak_up
2019-02-25,6.24,6.41,6.24,6.3,331450,weak_up
2019-02-26,6.3,6.3,6.17,6.23,460890,weak_down
2019-02-27,6.23,6.23,6.14,6.22,585280,sideways
2019-02-28,6.22,6.23,6.13,6.16,528270,weak_down
2019-03-01,6.16,6.22,6.14,6.22,463220,weak_up
2019-03-04,6.22,6.41,6.19,6.29,619900,weak_up
2019-03-05,6.29,6.3,6.17,6.2,620810,weak_down
2019-03-06,6.22,6.24,6.17,6.2,187320,sideways
2019-03-07,6.23,6.3,6.22,6.23,285270,sideways
2019-03-08,6.22,6.22,6.16,6.19,133070,weak_down
2019-03-11,6.17,6.2,6.13,6.17,59560,sideways
2019-03-12,6.17,6.29,6.17,6.29,667260,weak_up
2019-03-13,6.33,6.35,6.29,6.32,548920,sideways
2019-03-14,6.33,6.33,6.23,6.32,275980,sideways
2019-03-15,6.3,6.33,6.23,6.23,348190,weak_down
2019-03-18,6.23,6.32,6.23,6.3,939370,weak_up
2019-03-19,6.32,6.33,6.27,6.3,771910,sideways
2019-03-20,6.3,6.32,6.22,6.29,691420,sideways
2019-03-21,6.32,6.32,6.2,6.27,504960,sideways
2019-03-22,6.29,6.3,6.26,6.29,340730,sideways
