time,open,high,low,close,volume,label
2019-01-02,89.96,90.05,86.67,89.25,602450,
2019-01-03,88.89,89.16,87.29,89.16,496950,sideways
2019-01-04,88.89,89.51,87.11,89.42,458000,sideways
2019-01-07,89.69,91.56,88.8,89.78,589150,sideways
2019-01-08,90.67,90.67,88.62,89.78,494300,sideways
2019-01-09,89.78,90.58,88.0,90.22,659210,sideways
2019-01-10,89.96,90.22,88.89,90.13,551980,sideways
2019-01-11,89.78,90.13,88.98,90.13,569030,sideways
2019-01-14,90.05,90.58,89.07,90.13,562930,sideways
2019-01-15,90.13,90.22,89.25,90.22,711450,sideways
2019-01-16,90.22,90.76,89.6,90.67,518160,sideways
2019-01-17,90.67,90.85,89.51,90.67,325130,sideways
2019-01-18,90.22,90.85,89.69,90.85,498290,sideways
2019-01-21,90.85,91.02,90.05,91.02,404250,sideways
2019-01-22,91.02,91.02,90.22,91.02,258070,sideways
2019-01-23,90.67,92.18,90.67,91.2,299570,sideways
2019-01-24,91.11,91.47,90.85,91.38,184720,sideways
2019-01-25,91.38,92.0,90.85,91.47,306670,sideways
2019-01-28,91.47,92.18,91.2,92.18,381260,weak_up
2019-01-29,93.25,93.25,91.56,92.36,225310,sideways
2019-01-30,92.36,92.45,91.47,92.36,370040,sideways
2019-01-31,92.45,92.89,91.11,92.36,651020,sideways
2019-02-01,92.27,92.27,87.82,87.82,2095840,strong_down
2019-02-11,90.49,92.45,89.96,92.45,527310,strong_up
2019-02-12,93.25,96.98,92.45,96.98,769110,strong_up
2019-02-13,96.0,97.16,95.29,96.89,822040,sideways
2019-02-14,96.89,100.45,96.89,100.36,995310,strong_up
2019-02-15,100.45,100.45,99.56,99.56,670900,weak_down
2019-02-18,100.0,101.07,99.29,101.07,829150,weak_up
2019-02-19,100.89,103.65,100.89,103.11,1002020,strong_up
2019-02-20,102.4,103.91,102.4,103.56,678800,sideways
2019-02-21,103.56,105.25,103.38,105.25,1162700,weak_up
2019-02-22,104.89,105.25,103.65,104.0,720970,weak_down
2019-02-25,104.0,104.8,103.02,103.38,624890,weak_down
2019-02-26,103.11,103.65,100.89,102.67,792710,weak_down
2019-02-27,102.67,104.8,102.67,104.36,824620,weak_up
2019-02-28,104.0,104.36,100.53,101.33,1132410,strong_down
2019-03-01,101.33,104.0,101.33,102.31,739260,weak_up
2019-03-04,103.73,104.53,102.93,104.36,660550,strong_up
2019-03-05,104.36,104.71,103.91,104.27,706060,sideways
2019-03-06,104.62,104.62,104.09,104.62,377280,sideways
2019-03-07,104.8,108.89,104.71,105.96,1797980,weak_up
2019-03-08,105.78,106.31,104.98,104.98,845280,weak_down
2019-03-11,104.0,105.16,104.0,105.16,429390,sideways
2019-03-12,105.78,106.13,105.07,105.42,902200,sideways
2019-03-13,105.33,106.67,104.0,104.45,1262350,weak_down
2019-03-14,103.56,105.51,102.76,105.51,1088350,weak_up
2019-03-15,106.05,106.05,104.8,105.51,1704580,sideways
2019-03-18,106.67,107.82,105.87,107.82,1114570,strong_up
2019-03-19,107.82,108.8,107.29,107.56,1190080,sideways
2019-03-20,107.56,107.56,105.87,106.85,780190,weak_down
2019-03-21,106.67,106.93,104.0,104.0,1208480,strong_down
2019-03-22,104.0,105.69,104.0,105.42,1114660,weak_up
2019-03-25,104.0,104.27,102.22,102.4,886800,strong_down
2019-03-26,102.67,103.82,100.45,101.07,846570,weak_down
2019-03-27,102.22,103.02,101.25,101.25,772080,sideways
2019-03-28,101.25,103.02,101.25,103.02,561880,weak_up
2019-03-29,103.02,103.82,103.02,103.02,1099970,sideways
2019-04-01,103.47,103.56,102.93,103.56,828430,weak_up
2019-04-02,103.91,104.18,103.29,103.38,1036350,sideways
2019-04-03,102.67,103.11,101.78,102.13,464270,weak_down
2019-04-04,102.49,102.93,101.42,102.31,383730,sideways
2019-04-05,102.49,102.58,101.87,102.31,235790,sideways
2019-04-08,102.4,102.93,102.05,102.67,435190,sideways
2019-04-09,103.11,103.11,100.27,100.45,1156710,strong_down
2019-04-10,100.45,101.33,98.58,99.38,696000,weak_down
2019-04-11,99.38,102.22,99.38,102.22,350810,strong_up
2019-04-12,102.22,102.22,100.45,100.62,551990,weak_down
2019-04-16,97.33,100.53,96.0,100.53,1231190,sideways
2019-04-17,98.93,100.45,97.78,97.78,960220,strong_down
2019-04-18,97.33,97.78,93.33,96.89,891240,weak_down
2019-04-19,97.78,98.31,96.18,97.87,414050,weak_up
2019-04-22,96.89,99.47,95.11,99.47,794060,weak_up
2019-04-23,99.47,100.45,98.67,100.45,534660,weak_up
2019-04-24,100.45,101.33,99.65,101.16,447820,weak_up
2019-04-25,101.16,101.16,99.56,100.98,503490,sideways
2019-04-26,99.56,101.07,99.56,101.07,826050,sideways
2019-05-02,101.16,101.25,100.45,100.98,190970,sideways
2019-05-03,101.07,101.07,99.65,100.0,705500,weak_down
2019-05-06,99.56,99.82,97.96,99.73,290580,sideways
2019-05-07,99.73,100.71,98.67,100.09,421350,sideways
2019-05-08,99.11,100.18,99.02,100.09,348500,sideways
2019-05-09,100.18,100.18,99.2,100.09,314140,sideways
2019-05-10,100.09,100.45,99.73,100.18,289160,sideways
2019-05-13,99.47,100.36,99.29,100.36,439200,sideways
2019-05-14,99.56,100.89,99.47,100.89,539280,weak_up
2019-05-15,100.89,103.29,100.8,102.49,456790,weak_up
2019-05-16,102.49,105.69,102.49,103.91,773010,weak_up
2019-05-17,104.0,104.98,103.2,103.91,464260,sideways
2019-05-20,104.0,104.45,103.2,104.45,406340,weak_up
2019-05-21,105.51,105.51,103.38,104.45,708620,sideways
2019-05-22,104.18,104.98,103.11,104.45,382330,sideways
2019-05-23,104.0,104.53,103.29,104.0,249830,sideways
2019-05-24,102.67,103.29,101.6,102.22,628560,weak_down
2019-05-27,101.33,103.02,101.33,102.22,166080,sideways
2019-05-28,103.11,103.11,101.33,101.33,503270,weak_down
2019-05-29,102.13,102.58,101.33,102.4,357950,weak_up
2019-05-30,102.4,103.29,102.22,102.22,572810,sideways
2019-05-31,102.93,102.93,101.87,101.87,296610,sideways
2019-06-03,101.33,102.67,100.45,101.78,281510,sideways
2019-06-04,100.98,102.58,100.98,101.87,262740,sideways
2019-06-05,102.22,103.02,102.22,103.02,244400,weak_up
2019-06-06,103.02,103.02,101.69,103.02,167500,sideways
2019-06-07,103.65,104.0,103.2,104.0,286940,weak_up
2019-06-10,104.18,105.51,104.18,104.53,955890,weak_up
2019-06-11,104.53,104.71,104.0,104.0,308910,weak_down
2019-06-12,104.0,104.45,103.11,103.11,258350,weak_down
2019-06-13,102.4,103.02,102.4,102.67,267940,sideways
2019-06-14,103.11,103.11,101.6,102.67,350180,sideways
2019-06-17,103.02,103.56,101.16,101.78,415390,weak_down
2019-06-18,101.96,102.22,101.16,101.33,433860,sideways
2019-06-19,101.96,103.02,101.78,103.02,135220,weak_up
2019-06-20,103.29,104.09,102.76,103.11,317480,sideways
2019-06-21,101.78,103.82,101.78,101.78,594210,weak_down
2019-06-24,102.22,103.65,102.22,103.47,228390,weak_up
2019-06-25,103.56,104.18,103.38,103.47,510700,sideways
2019-06-26,103.38,104.0,103.11,103.91,515020,sideways
2019-06-27,104.0,104.0,102.13,102.13,398280,weak_down
2019-06-28,102.22,103.02,101.07,102.85,468590,weak_up
2019-07-01,103.73,104.18,103.2,104.18,562110,weak_up
2019-07-02,104.09,104.27,102.93,102.93,268150,weak_down
2019-07-03,102.67,103.11,101.6,102.58,260170,sideways
2019-07-04,102.22,103.56,102.22,103.56,265260,weak_up
2019-07-05,103.11,103.82,102.93,103.73,307400,sideways
2019-07-08,103.56,103.73,102.93,103.11,285840,weak_down
2019-07-09,103.11,103.2,102.4,103.11,187330,sideways
2019-07-10,104.0,104.45,103.56,103.82,377060,weak_up
2019-07-11,104.27,104.45,102.76,103.56,363380,sideways
2019-07-12,103.91,104.0,103.11,103.11,169920,sideways
2019-07-15,103.11,103.29,101.16,101.51,514900,weak_down
2019-07-16,102.22,103.56,101.51,103.02,473360,weak_up
2019-07-17,103.11,103.38,102.22,102.67,213640,sideways
2019-07-18,102.22,103.02,102.05,102.05,454560,weak_down
2019-07-19,102.05,103.11,102.05,103.11,476260,weak_up
2019-07-22,103.11,103.56,102.22,103.56,395900,sideways
2019-07-23,103.56,106.93,103.56,106.49,1502160,strong_up
2019-07-24,107.11,108.62,106.85,108.45,661870,weak_up
2019-07-25,107.2,111.2,107.2,109.51,740440,weak_up
2019-07-26,109.07,109.6,108.09,108.53,416560,weak_down
2019-07-29,109.33,110.58,108.53,110.58,566870,weak_up
2019-07-30,110.58,111.11,108.45,108.89,366670,weak_down
2019-07-31,108.89,109.51,106.85,108.45,406490,sideways
2019-08-01,109.33,110.67,108.89,110.58,365850,weak_up
2019-08-02,108.45,109.42,108.36,108.89,483120,weak_down
2019-08-05,108.53,108.53,104.89,104.89,760020,strong_down
2019-08-06,103.11,106.49,102.67,106.49,441590,weak_up
2019-08-07,106.49,106.85,104.53,104.89,345950,weak_down
2019-08-08,104.89,108.89,104.89,108.45,545170,strong_up
2019-08-09,108.45,108.89,106.85,106.85,400990,weak_down
2019-08-12,106.85,107.73,106.67,106.67,107460,sideways
2019-08-13,106.58,106.67,104.89,104.98,310330,weak_down
2019-08-14,106.22,106.67,105.07,105.42,302420,sideways
2019-08-15,104.0,107.56,104.0,107.56,327120,strong_up
2019-08-16,106.31,108.71,106.31,108.45,347380,weak_up
2019-08-19,108.89,108.89,108.0,108.36,211950,sideways
2019-08-20,108.36,108.89,107.56,107.56,206540,weak_down
2019-08-21,107.56,108.89,107.56,108.8,252820,weak_up
2019-08-22,109.33,112.45,109.07,112.09,671970,strong_up
2019-08-23,112.09,112.09,110.76,111.11,513250,weak_down
2019-08-26,111.11,111.11,109.69,110.93,355930,sideways
2019-08-27,111.02,111.73,108.89,108.89,397260,weak_down
2019-08-28,108.62,109.78,108.36,108.45,242730,sideways
2019-08-29,109.78,109.78,107.65,108.89,350460,sideways
2019-08-30,108.89,110.13,108.45,109.78,220710,weak_up
2019-09-03,109.78,110.58,108.62,109.33,174400,sideways
2019-09-04,109.33,109.78,108.18,108.8,385500,sideways
2019-09-05,109.25,109.69,108.45,108.45,303110,sideways
2019-09-06,108.45,109.33,107.56,107.65,280330,weak_down
2019-09-09,108.36,109.16,107.65,108.98,165730,weak_up
