time,open,high,low,close,volume,label
2019-01-02,74.82,76.36,74.52,76.36,403570,
2019-01-03,76.36,76.36,74.88,75.69,449730,weak_down
2019-01-04,75.44,76.98,74.52,76.98,498470,weak_up
2019-01-07,78.64,80.67,77.29,80.67,897430,strong_up
2019-01-08,80.92,80.92,79.26,80.06,448350,weak_down
2019-01-09,80.06,81.6,79.44,81.23,636050,weak_up
2019-01-10,81.23,81.29,80.61,81.1,301700,sideways
2019-01-11,81.1,82.52,81.1,82.52,954110,weak_up
2019-01-14,81.91,83.14,81.84,83.14,611420,weak_up
2019-01-15,83.14,83.26,82.52,83.08,598510,sideways
2019-01-16,82.52,82.95,81.29,81.91,562220,weak_down
2019-01-17,81.91,82.15,81.04,81.41,514870,weak_down
2019-01-18,81.91,83.08,81.91,82.52,545600,weak_up
2019-01-21,82.58,82.58,81.47,82.4,279380,sideways
2019-01-22,82.64,83.14,81.91,82.52,399040,sideways
2019-01-23,83.08,83.14,82.4,82.83,1028650,sideways
2019-01-24,83.14,83.44,82.71,83.44,1077600,weak_up
2019-01-25,83.75,83.94,83.51,83.69,813810,sideways
2019-01-28,84.06,84.12,83.69,84.06,487650,sideways
2019-01-29,84.37,84.37,83.44,84.06,371010,sideways
2019-01-30,84.12,84.12,83.44,83.44,279280,weak_down
2019-01-31,84.06,84.06,82.21,83.14,812290,sideways
2019-02-01,83.63,83.63,81.91,83.14,731430,sideways
2019-02-11,83.14,84.92,83.08,84.37,1357210,weak_up
2019-02-12,84.98,85.11,84.37,84.98,957440,weak_up
2019-02-13,84.98,85.23,83.88,85.17,764480,sideways
2019-02-14,85.17,86.4,84.98,85.85,1341090,weak_up
2019-02-15,86.22,86.4,85.91,86.34,910160,weak_up
2019-02-18,86.46,87.76,86.4,87.45,1082650,weak_up
2019-02-19,88.06,88.25,87.69,87.82,1974200,sideways
2019-02-20,88.06,88.37,87.94,88.06,983460,sideways
2019-02-21,88.37,91.82,88.06,91.45,1859260,strong_up
2019-02-22,91.76,92.07,91.33,91.7,814320,sideways
2019-02-25,91.76,93.98,91.57,93.36,1211040,weak_up
