time,open,high,low,close,volume,Up,HighVol,BreakMA5
2019-01-02,8.24,8.32,8.24,8.32,7900,0,0,0
2019-01-03,8.24,8.32,8.15,8.24,17600,0,0,0
2019-01-04,8.06,8.32,8.06,8.24,20830,0,1,0
2019-01-07,8.15,8.15,7.88,7.88,59700,0,1,0
2019-01-08,7.97,8.06,7.97,8.06,6300,1,0,0
2019-01-09,8.24,8.32,8.06,8.24,32100,1,1,1
2019-01-10,8.15,8.15,8.15,8.15,9870,0,0,1
2019-01-11,8.24,8.76,8.24,8.24,116200,1,1,1
2019-01-14,8.24,8.5,8.24,8.24,48800,0,1,1
2019-01-15,8.59,8.59,8.24,8.24,23900,0,1,1
2019-01-16,8.59,9.2,8.41,8.41,48700,1,1,1
2019-01-17,8.67,8.67,8.32,8.32,16000,0,1,1
2019-01-18,8.59,8.59,8.32,8.5,22100,1,1,1
2019-01-21,8.32,8.59,8.24,8.59,9200,1,1,1
2019-01-22,8.41,8.41,8.24,8.24,38400,0,0,0
2019-01-23,8.24,8.32,8.24,8.24,5200,0,0,0
2019-01-24,8.24,8.32,8.06,8.32,23010,1,1,0
2019-01-25,8.15,8.15,8.06,8.06,3500,0,0,0
2019-01-28,8.15,8.41,8.15,8.32,56000,1,1,1
2019-01-29,8.15,8.5,8.15,8.5,82500,1,1,1
2019-01-30,8.59,9.11,8.5,8.67,161000,1,1,1
2019-01-31,9.02,9.2,8.67,8.76,34700,1,1,1
2019-02-01,8.76,8.94,8.76,8.85,31700,1,0,1
2019-02-11,8.76,8.76,8.32,8.32,8700,0,1,0
2019-02-12,8.41,8.76,8.32,8.76,21300,1,1,1
2019-02-13,8.41,8.67,8.41,8.67,21200,0,0,0
2019-02-14,8.5,8.59,8.5,8.5,2900,0,0,0
2019-02-15,8.67,8.76,8.59,8.59,32950,1,0,1
2019-02-18,8.59,8.67,8.5,8.5,24000,0,0,0
2019-02-19,8.59,8.67,8.59,8.59,37500,1,0,1
2019-02-20,8.59,8.67,8.41,8.67,107900,1,0,1
2019-02-21,8.5,8.59,8.41,8.41,73500,0,0,0
2019-02-22,8.59,8.76,8.5,8.5,131000,1,1,0
2019-02-25,8.67,9.2,8.67,8.76,73900,1,1,1
2019-02-26,8.94,8.94,8.5,8.67,46300,0,1,1
2019-02-27,8.67,9.2,8.59,8.59,274100,0,1,1
2019-02-28,8.67,8.67,8.59,8.59,58300,0,0,0
2019-03-01,8.59,8.59,8.59,8.59,14100,0,0,0
2019-03-04,8.59,8.85,8.59,8.85,65500,1,0,1
2019-03-05,8.85,9.11,8.76,9.11,116140,1,1,1
2019-03-06,9.02,9.37,8.94,9.02,333400,0,1,1
2019-03-07,9.11,9.29,8.76,8.76,91001,0,1,0
2019-03-08,8.85,8.94,8.76,8.94,83409,1,0,1
2019-03-11,8.76,8.76,8.59,8.67,93300,0,0,0
2019-03-12,8.67,8.94,8.67,8.76,206700,1,1,0
2019-03-13,8.85,9.11,8.67,8.94,166300,1,1,1
2019-03-14,8.94,9.2,8.85,9.02,175300,1,1,1
2019-03-15,9.11,10.34,8.94,9.9,1093809,1,1,1
2019-03-18,9.9,10.78,9.9,10.16,594650,1,1,1
2019-03-19,10.34,10.43,9.64,9.64,336000,0,1,1
2019-03-20,9.64,10.07,9.37,9.9,533080,1,1,1
2019-03-21,9.9,11.13,9.9,10.95,1495070,1,1,1
2019-03-22,10.95,12.26,10.78,11.21,747600,1,1,1
2019-03-25,11.39,11.39,10.43,10.69,610250,0,1,1
2019-03-26,10.51,10.86,10.43,10.69,332100,0,1,1
2019-03-27,10.6,11.74,10.43,11.04,389330,1,1,1
2019-03-28,10.95,11.13,10.51,10.69,414859,0,1,0
2019-03-29,10.51,10.86,10.34,10.34,449200,0,1,0
2019-04-01,10.6,10.69,9.9,10.16,513854,0,1,0
2019-04-02,10.16,10.95,9.99,10.43,359420,1,1,0
2019-04-03,10.43,10.69,10.07,10.34,136112,0,1,0
2019-04-04,10.34,11.04,10.16,10.78,706804,1,1,1
2019-04-05,10.69,10.95,10.6,10.69,315111,0,1,1
2019-04-08,10.69,10.86,10.51,10.6,344404,0,1,1
2019-04-09,10.69,10.86,10.16,10.34,577980,0,1,0
2019-04-10,10.43,10.43,9.99,10.25,602900,0,1,0
2019-04-11,10.16,10.43,9.9,9.99,261100,0,1,0
2019-04-12,9.99,9.99,9.55,9.9,384751,0,1,0
2019-04-16,9.9,10.16,9.81,9.99,284850,1,1,0
2019-04-17,10.07,10.25,9.9,9.9,242980,0,1,0
2019-04-18,9.81,10.34,9.64,9.72,300100,0,1,0
2019-04-19,9.81,9.99,9.72,9.9,115200,1,0,1
2019-04-22,9.81,9.81,9.46,9.55,198920,0,1,0
2019-04-23,9.64,10.07,9.55,9.72,193830,1,1,0
2019-04-24,9.9,9.9,9.64,9.64,80720,0,0,0
2019-04-25,9.64,10.07,9.64,9.81,125900,1,1,1
2019-04-26,9.72,9.72,9.55,9.72,214540,0,0,1
2019-05-02,9.72,9.9,9.55,9.81,227210,1,1,1
2019-05-03,9.64,9.81,9.55,9.64,143210,0,0,0
2019-05-06,9.64,9.72,9.2,9.37,214900,0,1,0
2019-05-07,9.46,9.99,9.29,9.55,305800,1,1,0
2019-05-08,9.11,9.46,9.11,9.2,326500,0,1,0
2019-05-09,9.2,9.81,9.11,9.29,596000,1,1,0
2019-05-10,9.37,9.37,9.2,9.29,120001,0,0,0
2019-05-13,9.37,9.64,9.2,9.64,294685,1,1,1
2019-05-14,9.46,10.16,9.46,10.07,855971,1,1,1
2019-05-15,9.81,10.25,9.81,9.99,161740,0,1,1
2019-05-16,9.99,10.07,9.9,9.99,237250,0,0,1
2019-05-17,9.99,10.16,9.99,10.07,394711,1,0,1
2019-05-20,10.07,10.25,9.9,10.07,282082,0,1,1
2019-05-21,10.07,10.51,10.07,10.51,606100,1,1,1
2019-05-22,10.51,10.69,10.25,10.34,531842,0,1,1
2019-05-23,10.34,10.43,10.16,10.43,267865,1,0,1
2019-05-24,10.34,10.34,9.9,10.07,357337,0,1,0
2019-05-27,10.07,10.34,9.99,10.34,230532,1,1,1
2019-05-28,10.34,11.21,10.25,11.13,1251990,1,1,1
2019-05-29,11.39,11.39,10.86,10.86,567397,0,1,1
2019-05-30,11.04,11.13,10.78,10.95,381800,1,1,1
2019-05-31,10.78,10.78,10.16,10.25,635603,0,1,0
2019-06-03,10.25,10.34,9.72,10.16,558702,0,1,0
2019-06-04,10.16,10.25,9.99,10.16,203310,0,0,0
2019-06-05,10.07,10.34,9.99,10.16,230030,0,1,0
2019-06-06,10.25,10.86,10.25,10.86,991017,1,1,1
2019-06-07,10.86,11.83,10.86,11.83,3056130,1,1,1
2019-06-10,11.83,11.91,11.21,11.39,856187,0,1,1
2019-06-11,11.39,11.74,11.21,11.39,1071010,0,1,1
2019-06-12,11.48,12.26,11.3,11.91,2636146,1,1,1
2019-06-13,11.83,12.62,11.83,12.18,1673717,1,1,1
2019-06-14,12.09,12.26,11.56,11.74,1407731,0,1,1
2019-06-17,11.74,11.83,11.39,11.56,798833,0,1,0
2019-06-18,11.56,11.83,11.56,11.74,761047,1,0,0
2019-06-19,11.83,12.0,11.65,11.83,730852,1,0,1
2019-06-20,12.09,12.18,10.07,11.83,1058415,0,1,1
2019-06-21,11.83,11.83,11.39,11.65,914460,0,1,0
2019-06-24,11.39,11.65,11.04,11.21,979786,0,1,0
2019-06-25,11.21,11.21,10.86,11.21,487647,0,1,0
2019-06-26,11.04,11.39,11.04,11.21,459862,0,1,0
2019-06-27,11.13,11.39,10.95,11.13,564900,0,1,0
2019-06-28,11.04,11.13,10.78,11.04,333500,0,1,0
2019-07-01,11.04,11.21,10.95,11.21,266613,1,0,1
2019-07-02,11.13,11.56,10.95,11.48,893442,1,1,1
2019-07-03,11.39,11.56,11.3,11.39,679263,0,0,1
2019-07-04,11.39,11.56,11.3,11.39,428432,0,0,1
2019-07-05,11.39,12.0,11.39,11.91,1329028,1,1,1
2019-07-08,12.0,12.0,11.39,11.48,916931,0,1,0
2019-07-09,11.48,11.83,11.48,11.56,1032420,1,1,1
2019-07-10,11.56,11.91,11.56,11.83,1881870,1,0,1
2019-07-11,11.74,12.18,11.74,12.0,2098200,1,1,1
2019-07-12,12.0,12.09,11.74,11.74,796565,0,0,1
2019-07-15,11.74,11.83,11.56,11.65,530240,0,0,0
2019-07-16,11.74,12.26,11.74,12.09,2044110,1,1,1
2019-07-17,11.65,12.09,11.65,11.91,599004,0,1,1
2019-07-18,11.91,12.09,11.83,12.09,578070,1,0,1
2019-07-19,12.0,12.26,11.91,12.09,1221223,0,0,1
2019-07-22,12.09,12.62,11.91,12.44,2587667,1,1,1
2019-07-23,12.44,12.7,12.26,12.62,2127440,1,1,1
2019-07-24,12.62,13.14,12.62,13.14,4416170,1,1,1
2019-07-25,13.14,13.32,12.88,13.05,1993330,0,1,1
2019-07-26,12.97,12.97,12.62,12.79,1306575,0,0,0
2019-07-29,12.7,13.05,12.62,13.05,1392733,1,1,1
2019-07-30,12.97,13.32,12.79,12.79,1749362,0,1,0
2019-07-31,12.88,13.14,12.18,13.05,2176831,1,1,1
2019-08-01,12.97,13.05,12.79,12.97,918070,0,0,1
2019-08-02,12.97,13.67,12.79,13.58,3588142,1,1,1
2019-08-05,13.58,14.19,13.49,14.02,2440747,1,1,1
2019-08-06,13.93,15.33,13.67,14.72,3279060,1,1,1
2019-08-07,14.81,15.07,14.19,14.54,2001054,0,1,1
2019-08-08,14.59,15.03,14.59,14.76,1202941,1,0,1
2019-08-09,14.85,14.94,14.59,14.59,1033647,0,0,1
2019-08-12,14.5,14.76,14.05,14.32,1793426,0,1,0
2019-08-13,14.41,14.41,13.43,13.61,3042385,0,1,0
2019-08-14,13.79,13.96,13.43,13.79,836000,1,1,0
2019-08-15,13.34,14.05,13.16,13.96,1680821,1,1,0
2019-08-16,13.96,14.23,13.87,13.96,958722,0,0,1
2019-08-19,13.96,14.14,13.79,13.87,556650,0,0,1
2019-08-20,13.96,14.85,13.79,14.68,2107090,1,1,1
2019-08-21,14.68,14.76,14.32,14.41,1354115,0,1,1
2019-08-22,14.5,14.76,14.32,14.59,1067820,1,1,1
2019-08-23,14.59,14.68,14.14,14.32,855980,0,1,0
2019-08-26,14.23,14.59,14.05,14.32,1233815,0,1,0
2019-08-27,14.32,14.32,13.96,14.14,1490955,0,0,0
2019-08-28,14.14,14.32,13.96,14.14,559433,0,0,0
2019-08-29,14.05,14.23,13.61,13.7,1186435,0,1,0
2019-08-30,13.79,13.87,13.25,13.34,1945710,0,1,0
2019-09-03,13.34,13.43,12.45,12.54,1819609,0,1,0
2019-09-04,12.54,12.99,11.83,12.9,1679787,1,1,0
2019-09-05,12.81,13.07,12.63,12.63,534821,0,1,0
2019-09-06,12.81,12.81,12.36,12.45,459482,0,1,0
2019-09-09,12.63,12.63,11.92,12.01,738107,0,1,0
2019-09-10,12.01,12.27,11.56,11.74,1168851,0,1,0
2019-09-11,11.83,12.01,11.65,12.01,320810,1,0,0
2019-09-12,12.01,12.36,12.01,12.27,510910,1,0,1
2019-09-13,12.18,12.27,12.01,12.18,513446,0,0,1
2019-09-16,12.18,12.27,11.92,12.01,236460,0,0,0
2019-09-17,12.1,12.72,11.92,12.54,796750,1,1,1
2019-09-18,12.54,12.72,12.36,12.36,401050,0,0,1
2019-09-19,12.36,12.45,12.27,12.36,275700,0,0,1
2019-09-20,12.27,12.45,12.18,12.18,500199,0,0,0
2019-09-23,12.27,12.27,12.01,12.01,308189,0,0,0
2019-09-24,12.01,12.1,11.92,12.01,575380,0,0,0
2019-09-25,12.01,12.18,12.01,12.1,384710,1,0,0
2019-09-26,12.18,12.27,12.1,12.18,281190,1,0,1
2019-09-27,12.18,12.18,11.92,12.18,342902,0,0,1
2019-09-30,12.1,12.27,12.1,12.18,610142,0,0,1
2019-10-01,12.18,12.72,12.1,12.63,1325100,1,1,1
2019-10-02,12.63,12.72,12.27,12.27,595930,0,1,0
2019-10-03,12.27,12.45,12.01,12.45,335879,1,1,1
2019-10-04,12.27,12.45,12.18,12.36,320600,0,0,0
2019-10-07,12.27,12.36,12.01,12.01,326356,0,0,0
2019-10-08,12.18,12.27,12.01,12.27,243379,1,0,0
2019-10-09,12.18,12.27,12.1,12.18,324816,0,0,0
2019-10-10,12.18,12.54,12.18,12.45,741530,1,0,1
2019-10-11,12.45,12.54,12.27,12.45,360193,0,0,1
2019-10-14,12.45,12.45,12.27,12.45,494410,0,0,1
2019-10-15,12.36,12.36,12.1,12.18,245068,0,0,0
2019-10-16,12.18,12.36,12.01,12.1,455735,0,0,0
2019-10-17,12.18,12.18,12.01,12.1,207670,0,0,0
2019-10-18,12.18,12.18,12.01,12.01,355560,0,0,0
2019-10-21,12.1,12.1,11.92,12.01,221501,0,0,0
2019-10-22,11.92,11.92,11.65,11.74,268570,0,0,0
2019-10-23,11.74,12.18,11.74,12.1,544200,1,1,1
2019-10-24,12.1,13.07,12.1,12.9,2428013,1,1,1
2019-10-25,13.07,13.16,12.72,12.9,1072750,0,1,1
2019-10-28,12.9,12.9,12.63,12.72,431861,0,0,1
2019-10-29,12.63,12.9,12.63,12.81,685385,1,0,1
2019-10-30,12.9,12.99,12.63,12.81,441419,0,0,0
2019-10-31,12.72,12.81,10.94,12.81,561085,0,1,1
2019-11-01,12.45,12.54,12.27,12.36,483502,0,0,0
2019-11-04,12.36,12.63,12.1,12.36,648582,0,1,0
