time,open,high,low,close,volume,Up,HighVol,BreakMA5
2019-01-02,7.76,7.76,7.22,7.22,723350,0,1,0
2019-01-03,7.41,7.43,7.2,7.21,1222860,0,1,0
2019-01-04,7.25,7.43,7.17,7.43,1129350,1,1,0
2019-01-07,7.43,7.56,7.3,7.4,727640,0,1,0
2019-01-08,7.4,7.41,7.17,7.3,1063470,0,1,0
2019-01-09,7.32,7.45,7.32,7.4,1246940,1,0,1
2019-01-10,7.41,7.45,7.41,7.43,1859370,1,0,1
2019-01-11,7.43,7.56,7.41,7.48,2231760,1,0,1
2019-01-14,7.48,7.53,7.4,7.45,715340,0,0,1
2019-01-15,7.48,7.49,7.41,7.48,717930,1,0,1
2019-01-16,7.48,7.48,7.4,7.48,895390,0,0,1
2019-01-17,7.48,7.48,7.4,7.4,998480,0,0,0
2019-01-18,7.43,7.53,7.4,7.45,1417600,1,0,0
2019-01-21,7.47,7.61,7.45,7.59,1233280,1,0,1
2019-01-22,7.61,7.77,7.61,7.71,1369310,1,0,1
2019-01-23,7.68,7.76,7.67,7.68,850650,0,0,1
2019-01-24,7.68,7.72,7.61,7.67,725150,0,0,1
2019-01-25,7.68,7.71,7.63,7.67,891440,0,0,1
2019-01-28,7.67,7.71,7.63,7.68,876970,1,0,0
2019-01-29,7.68,7.7,7.65,7.68,934570,0,0,1
2019-01-30,7.68,7.7,7.65,7.68,768110,0,0,1
2019-01-31,7.71,7.81,7.71,7.81,762510,1,0,1
2019-02-01,7.81,7.84,7.76,7.81,1336610,0,0,1
2019-02-11,7.84,7.86,7.79,7.85,1150140,1,0,1
2019-02-12,7.85,8.02,7.84,7.97,1889530,1,0,1
2019-02-13,7.98,8.07,7.97,7.99,1299260,1,0,1
2019-02-14,7.97,8.0,7.84,7.89,944710,0,0,0
2019-02-15,7.89,7.89,7.73,7.79,1126100,0,0,0
2019-02-18,7.79,7.85,7.72,7.84,1482140,1,0,0
2019-02-19,7.84,7.84,7.62,7.68,1535000,0,0,0
2019-02-20,7.68,7.68,7.61,7.61,840490,0,0,0
2019-02-21,7.61,7.67,7.53,7.63,1427590,1,0,0
2019-02-22,7.63,7.81,7.59,7.71,1237000,1,0,1
2019-02-25,7.73,7.97,7.73,7.94,1776680,1,1,1
2019-02-26,7.94,7.95,7.8,7.85,1122230,0,0,1
2019-02-27,7.85,7.88,7.81,7.84,951480,0,0,1
2019-02-28,7.84,7.84,7.68,7.68,1478660,0,0,0
2019-03-01,7.68,7.8,7.68,7.79,963400,1,0,0
2019-03-04,7.79,7.84,7.73,7.79,1085020,0,0,0
2019-03-05,7.79,7.9,7.76,7.86,1303000,1,0,1
2019-03-06,7.88,7.94,7.81,7.86,1108670,0,0,1
2019-03-07,7.86,7.9,7.79,7.86,1620040,0,0,1
2019-03-08,7.8,7.84,7.68,7.79,1212760,0,0,0
2019-03-11,7.81,7.81,7.71,7.79,626150,0,0,0
2019-03-12,7.79,7.94,7.76,7.91,1505510,1,0,1
2019-03-13,7.91,8.0,7.91,7.94,2043280,1,0,1
2019-03-14,7.94,7.95,7.86,7.94,1225920,0,0,1
2019-03-15,7.91,8.18,7.9,8.14,3064820,1,1,1
2019-03-18,8.17,8.27,8.11,8.14,1392510,0,0,1
2019-03-19,8.14,8.29,8.14,8.17,1696390,1,0,1
2019-03-20,8.14,8.17,7.94,8.13,931480,0,0,1
2019-03-21,8.13,8.18,7.93,7.94,972860,0,1,0
2019-03-22,7.94,8.04,7.89,7.94,1239450,0,0,0
2019-03-25,7.76,7.86,7.7,7.76,1271210,0,0,0
2019-03-26,7.76,7.85,7.73,7.76,1421400,0,0,0
