time,open,high,low,close,volume,Up,HighVol,BreakMA5
2019-01-02,3.63,3.63,3.51,3.51,382061,0,1,0
2019-01-03,3.51,3.51,3.36,3.43,967044,0,1,0
2019-01-04,3.4,3.43,3.32,3.4,613657,0,1,0
2019-01-07,3.4,3.43,3.32,3.36,424613,0,1,0
2019-01-08,3.4,3.43,3.4,3.43,385589,1,0,1
2019-01-09,3.43,3.47,3.4,3.4,167393,0,0,0
2019-01-10,3.43,3.43,3.4,3.4,279490,0,0,1
2019-01-11,3.43,3.43,3.4,3.4,386525,0,0,1
2019-01-14,3.43,3.43,3.36,3.36,146306,0,0,0
2019-01-15,3.36,3.4,3.32,3.4,341119,1,0,1
2019-01-16,3.4,3.43,3.28,3.32,1088792,0,1,0
2019-01-17,3.36,3.36,3.28,3.28,349496,0,0,0
2019-01-18,3.28,3.32,3.24,3.28,215505,0,0,0
2019-01-21,3.24,3.36,3.24,3.32,848520,1,1,1
2019-01-22,3.32,3.36,3.28,3.32,489693,0,0,1
2019-01-23,3.32,3.32,3.28,3.32,404630,0,0,1
2019-01-24,3.32,3.36,3.28,3.32,757010,0,0,1
2019-01-25,3.32,3.36,3.28,3.32,732417,0,0,0
2019-01-28,3.28,3.32,3.28,3.28,374915,0,0,0
2019-01-29,3.28,3.32,3.24,3.32,301218,1,0,1
2019-01-30,3.74,3.74,3.32,3.32,230765,0,1,1
2019-01-31,3.4,3.4,3.32,3.32,646260,0,0,1
2019-02-01,3.36,3.4,3.32,3.32,413605,0,0,1
2019-02-11,3.32,3.43,3.32,3.43,266153,1,1,1
2019-02-12,3.4,3.51,3.4,3.51,1137730,1,1,1
2019-02-13,3.47,3.51,3.43,3.47,786211,0,0,1
2019-02-14,3.51,3.51,3.43,3.47,355093,0,0,1
2019-02-15,3.47,3.47,3.4,3.43,943366,0,0,0
2019-02-18,3.43,3.47,3.4,3.43,968250,0,0,0
2019-02-19,3.43,3.43,3.36,3.4,1491209,0,0,0
2019-02-20,3.4,3.59,3.4,3.55,2134399,1,1,1
2019-02-21,3.55,3.59,3.51,3.55,1153646,0,0,1
2019-02-22,3.55,3.55,3.47,3.51,580835,0,0,1
2019-02-25,3.51,3.59,3.51,3.55,889710,1,0,1
2019-02-26,3.55,3.55,3.47,3.47,852792,0,0,0
2019-02-27,3.51,3.55,3.47,3.51,399450,1,0,0
2019-02-28,3.51,3.51,3.43,3.47,1416226,0,0,0
2019-03-01,3.47,3.51,3.43,3.47,520938,0,0,0
2019-03-04,3.47,3.55,3.47,3.51,440893,1,0,1
2019-03-05,3.51,3.59,3.51,3.55,1397110,1,0,1
2019-03-06,3.55,3.55,3.51,3.55,497639,0,0,1
2019-03-07,3.51,3.63,3.51,3.59,1782996,1,1,1
2019-03-08,3.59,3.63,3.51,3.55,1668097,0,1,0
2019-03-11,3.55,3.59,3.51,3.51,384334,0,0,0
2019-03-12,3.55,3.63,3.55,3.59,1004199,1,0,1
2019-03-13,3.59,3.67,3.59,3.63,1484590,1,0,1
2019-03-14,3.63,3.7,3.63,3.67,1073297,1,0,1
2019-03-15,3.67,3.7,3.63,3.7,984247,1,0,1
2019-03-18,3.67,3.74,3.67,3.74,650547,1,0,1
2019-03-19,3.67,3.74,3.63,3.67,907038,0,0,0
2019-03-20,3.67,3.67,3.55,3.59,1222530,0,1,0
2019-03-21,3.59,3.63,3.55,3.55,689246,0,0,0
2019-03-22,3.59,3.59,3.51,3.55,504034,0,0,0
2019-03-25,3.51,3.55,3.47,3.47,890174,0,0,0
2019-03-26,3.51,3.55,3.51,3.51,441306,1,0,0
2019-03-27,3.51,3.55,3.51,3.51,199130,0,0,0
2019-03-28,3.55,3.55,3.51,3.55,221400,1,0,1
2019-03-29,3.55,3.55,3.51,3.55,327412,0,0,1
2019-04-01,3.51,3.55,3.51,3.55,185875,0,0,1
2019-04-02,3.55,3.55,3.51,3.51,300825,0,0,0
2019-04-03,3.55,3.55,3.51,3.55,207878,1,0,1
2019-04-04,3.51,3.55,3.47,3.51,408386,0,0,0
2019-04-05,3.51,3.51,3.47,3.51,209244,0,0,0
2019-04-08,3.51,3.55,3.47,3.51,278788,0,0,0
2019-04-09,3.51,3.55,3.47,3.51,548410,0,0,0
2019-04-10,3.51,3.51,3.47,3.51,602158,0,0,0
2019-04-11,3.47,3.51,3.43,3.47,238103,0,0,0
2019-04-12,3.47,3.47,3.4,3.43,487683,0,0,0
2019-04-16,3.43,3.43,3.36,3.4,562441,0,0,0
2019-04-17,3.4,3.47,3.4,3.4,332851,0,0,0
2019-04-18,3.4,3.43,3.36,3.36,296854,0,0,0
2019-04-19,3.4,3.43,3.36,3.4,178472,1,0,1
2019-04-22,3.4,3.4,3.32,3.32,648876,0,0,0
2019-04-23,3.36,3.43,3.36,3.4,464201,1,0,1
2019-04-24,3.4,3.43,3.36,3.4,416672,0,0,1
2019-04-25,3.43,3.47,3.36,3.4,932122,0,1,1
2019-04-26,3.4,3.4,3.36,3.4,495744,0,0,1
2019-05-02,3.4,3.4,3.32,3.4,324101,0,0,0
2019-05-03,3.36,3.36,3.32,3.36,1103554,0,0,0
2019-05-06,3.36,3.36,3.16,3.16,2416600,0,1,0
2019-05-07,3.2,3.24,3.2,3.24,359069,1,0,0
2019-05-08,3.2,3.2,3.13,3.16,491046,0,0,0
2019-05-09,3.2,3.2,3.16,3.16,502223,0,0,0
2019-05-10,3.16,3.2,3.16,3.16,357673,0,0,0
2019-05-13,3.2,3.24,3.16,3.24,609916,1,0,1
2019-05-14,3.2,3.24,3.16,3.16,645552,0,0,0
