time,open,high,low,close,volume,Up,HighVol,BreakMA5
2019-01-02,3.94,3.94,3.87,3.89,105940,0,0,0
2019-01-03,3.89,3.92,3.81,3.83,94022,0,0,0
2019-01-04,3.83,3.85,3.83,3.85,90100,1,0,0
2019-01-07,3.85,3.89,3.85,3.87,103010,1,0,0
2019-01-08,3.87,3.92,3.85,3.89,74270,1,0,1
2019-01-09,3.89,3.89,3.83,3.89,179328,0,0,1
2019-01-10,3.89,3.89,3.87,3.87,37260,0,0,0
2019-01-11,3.89,3.89,3.85,3.85,89760,0,0,0
2019-01-14,3.85,3.87,3.83,3.87,186352,1,0,0
2019-01-15,3.85,3.87,3.85,3.85,136947,0,0,0
2019-01-16,3.87,3.87,3.85,3.85,101491,0,0,0
2019-01-17,3.87,4.05,3.87,3.98,266939,1,1,1
2019-01-18,3.96,4.0,3.87,3.92,176810,0,1,1
2019-01-21,3.85,3.98,3.85,3.96,185630,1,1,1
2019-01-22,3.94,3.98,3.92,3.94,103953,0,0,1
2019-01-23,3.89,3.94,3.89,3.92,172040,0,0,0
2019-01-24,3.92,3.94,3.92,3.92,113264,0,0,0
2019-01-25,3.87,3.94,3.87,3.89,279045,0,0,0
2019-01-28,3.89,3.92,3.85,3.85,174757,0,0,0
2019-01-29,3.85,3.87,3.81,3.83,231879,0,0,0
2019-01-30,3.83,3.83,3.76,3.78,236161,0,0,0
2019-01-31,3.81,3.83,3.76,3.78,230369,0,0,0
2019-02-01,3.83,3.87,3.78,3.85,144549,1,0,1
2019-02-11,3.85,3.98,3.85,3.94,301836,1,1,1
2019-02-12,3.96,3.98,3.89,3.92,308075,0,0,1
2019-02-13,3.94,3.94,3.87,3.92,506627,0,0,1
2019-02-14,3.89,3.89,3.83,3.85,386473,0,0,0
2019-02-15,3.87,3.92,3.85,3.89,150918,1,0,0
2019-02-18,3.89,4.0,3.89,3.98,677480,1,0,1
2019-02-19,3.96,4.11,3.96,4.07,1060411,1,1,1
2019-02-20,4.07,4.22,4.05,4.2,745249,1,1,1
2019-02-21,4.2,4.24,4.18,4.22,775756,1,0,1
2019-02-22,4.22,4.22,4.11,4.13,463333,0,0,1
2019-02-25,4.16,4.2,4.13,4.16,277786,1,0,1
2019-02-26,4.18,4.18,4.09,4.13,390529,0,0,0
2019-02-27,4.13,4.13,4.09,4.11,321768,0,0,0
2019-02-28,4.13,4.13,4.0,4.05,444753,0,1,0
2019-03-01,4.05,4.09,4.03,4.07,156538,1,0,0
2019-03-04,4.05,4.2,4.05,4.16,350213,1,1,1
2019-03-05,4.13,4.16,4.11,4.13,253793,0,0,1
2019-03-06,4.11,4.27,4.05,4.2,572720,1,1,1
2019-03-07,4.16,4.27,4.16,4.2,277655,0,0,1
2019-03-08,4.2,4.22,4.13,4.16,183246,0,0,0
2019-03-11,4.16,4.2,4.11,4.18,273818,1,0,1
2019-03-12,4.16,4.27,4.16,4.24,418003,1,0,1
2019-03-13,4.27,4.42,4.24,4.33,933398,1,1,1
2019-03-14,4.35,4.35,4.31,4.31,192011,0,0,1
2019-03-15,4.33,4.33,4.29,4.31,263983,0,0,1
2019-03-18,4.31,4.35,4.29,4.33,371771,1,0,1
2019-03-19,4.31,4.35,4.16,4.27,386251,0,1,0
2019-03-20,4.27,4.27,4.16,4.22,573816,0,0,0
2019-03-21,4.22,4.24,4.13,4.13,293899,0,0,0
2019-03-22,4.16,4.2,4.13,4.2,252828,1,0,0
2019-03-25,4.13,4.16,4.05,4.07,318909,0,0,0
2019-03-26,4.09,4.11,4.05,4.05,242922,0,0,0
2019-03-27,4.09,4.11,4.07,4.09,141493,1,0,0
2019-03-28,4.16,4.18,4.09,4.16,469611,1,0,1
2019-03-29,4.2,4.24,4.16,4.16,513224,0,0,1
2019-04-01,4.2,4.22,4.18,4.2,452844,1,0,1
2019-04-02,4.2,4.24,4.18,4.2,443332,0,0,1
2019-04-03,4.2,4.22,4.18,4.2,265491,0,0,1
2019-04-04,4.2,4.27,4.2,4.24,457424,1,0,1
2019-04-05,4.27,4.27,4.22,4.24,211264,0,0,1
2019-04-08,4.24,4.27,4.22,4.27,438876,1,0,1
2019-04-09,4.27,4.29,4.24,4.24,511346,0,0,1
2019-04-10,4.24,4.24,4.18,4.22,226288,0,0,0
2019-04-11,4.24,4.24,4.2,4.22,118980,0,0,0
2019-04-12,4.18,4.22,4.16,4.2,99642,0,0,0
2019-04-16,4.27,4.27,4.16,4.2,72536,0,0,0
2019-04-17,4.2,4.22,4.18,4.2,237246,0,0,0
2019-04-18,4.2,4.22,4.16,4.16,163524,0,0,0
2019-04-19,4.2,4.2,4.16,4.16,84989,0,0,0
2019-04-22,4.16,4.18,4.11,4.16,167366,0,0,0
2019-04-23,4.13,4.13,4.07,4.11,207300,0,0,0
2019-04-24,4.11,4.16,4.11,4.13,94414,1,0,0
2019-04-25,4.16,4.16,4.13,4.16,80154,1,0,1
2019-04-26,4.16,4.2,4.13,4.16,82970,0,0,1
2019-05-02,4.16,4.16,4.09,4.09,219496,0,0,0
2019-05-03,4.11,4.11,4.05,4.05,211957,0,0,0
2019-05-06,4.07,4.07,4.0,4.03,151526,0,0,0
2019-05-07,4.03,4.03,4.0,4.03,51630,0,0,0
2019-05-08,4.0,4.0,3.92,3.98,225577,0,0,0
2019-05-09,3.98,4.0,3.94,3.96,99942,0,0,0
2019-05-10,3.98,4.0,3.96,4.0,183425,1,0,0
2019-05-13,4.03,4.05,4.0,4.03,182024,1,0,1
2019-05-14,4.03,4.05,4.0,4.05,152325,1,0,1
2019-05-15,4.05,4.09,4.03,4.07,156022,1,0,1
2019-05-16,4.07,4.11,4.07,4.07,138771,0,0,1
2019-05-17,4.07,4.07,4.03,4.07,468972,0,0,1
2019-05-20,4.07,4.07,4.03,4.03,400240,0,0,0
2019-05-21,4.03,4.07,4.0,4.05,497794,1,0,0
2019-05-22,4.05,4.05,4.03,4.05,224419,0,0,0
2019-05-23,4.05,4.05,4.03,4.03,102761,0,0,0
2019-05-24,4.03,4.03,3.98,4.0,229602,0,0,0
2019-05-27,4.0,4.0,3.94,3.98,289414,0,0,0
2019-05-28,3.96,3.96,3.94,3.96,128321,0,0,0
2019-05-29,3.98,3.98,3.94,3.94,188801,0,0,0
2019-05-30,3.94,3.96,3.92,3.94,210412,0,0,0
2019-05-31,3.94,3.98,3.92,3.94,405470,0,0,0
2019-06-03,3.92,3.94,3.87,3.92,260469,0,0,0
2019-06-04,3.92,3.92,3.87,3.92,83629,0,0,0
2019-06-05,3.93,4.04,3.89,3.93,139317,1,1,1
2019-06-06,3.93,3.93,3.84,3.84,186699,0,0,0
2019-06-07,3.84,3.86,3.84,3.86,60241,1,0,0
2019-06-10,3.84,3.86,3.8,3.8,134531,0,0,0
2019-06-11,3.8,3.82,3.73,3.75,398783,0,0,0
2019-06-12,3.75,3.75,3.68,3.71,178783,0,0,0
2019-06-13,3.73,3.73,3.68,3.71,87008,0,0,0
2019-06-14,3.71,3.77,3.68,3.77,114679,1,0,1
2019-06-17,3.75,3.8,3.73,3.77,178756,0,0,1
2019-06-18,3.77,3.77,3.71,3.73,163407,0,0,0
2019-06-19,3.71,3.73,3.68,3.73,118582,0,0,0
2019-06-20,3.68,3.8,3.68,3.77,119527,1,1,1
2019-06-21,3.77,4.07,3.75,3.77,103640,0,1,1
2019-06-24,3.77,3.77,3.73,3.75,176673,0,0,0
2019-06-25,3.73,3.75,3.71,3.73,110470,0,0,0
2019-06-26,3.68,3.77,3.37,3.73,125106,0,1,0
2019-06-27,3.73,3.77,3.68,3.68,346381,0,0,0
2019-06-28,3.68,3.71,3.66,3.71,87010,1,0,0
2019-07-01,3.68,3.75,3.68,3.73,67967,1,0,1
2019-07-02,3.71,3.75,3.71,3.73,117680,0,0,1
2019-07-03,3.71,3.84,3.71,3.84,270347,1,1,1
2019-07-04,3.84,3.98,3.82,3.8,353232,0,1,1
2019-07-05,3.89,3.93,3.84,3.86,120152,1,0,1
2019-07-08,3.84,3.89,3.84,3.86,124671,0,0,1
2019-07-09,3.86,3.86,3.8,3.82,330770,0,0,0
2019-07-10,3.82,3.84,3.8,3.82,142730,0,0,0
2019-07-11,3.82,3.84,3.8,3.84,123100,1,0,0
2019-07-12,3.84,4.02,3.84,4.0,932279,1,1,1
2019-07-15,3.95,4.18,3.95,4.13,1343285,1,1,1
2019-07-16,4.13,4.25,4.13,4.18,698955,1,0,1
2019-07-17,4.16,4.2,4.11,4.13,693465,0,0,1
2019-07-18,4.11,4.27,4.11,4.25,816850,1,1,1
2019-07-19,4.2,4.27,4.2,4.25,403092,0,0,1
2019-07-22,4.25,4.27,4.13,4.2,416059,0,1,0
2019-07-23,4.2,4.22,4.18,4.2,392927,0,0,0
2019-07-24,4.2,4.25,4.16,4.25,521440,1,0,1
2019-07-25,4.22,4.36,4.22,4.32,808122,1,1,1
2019-07-26,4.32,4.34,4.29,4.32,247162,0,0,1
2019-07-29,4.32,4.36,4.22,4.29,605087,0,1,1
2019-07-30,4.27,4.29,4.2,4.2,720903,0,0,0
2019-07-31,4.22,4.22,4.18,4.22,284724,1,0,0
2019-08-01,4.22,4.32,4.2,4.29,504959,1,0,1
2019-08-02,4.25,4.29,4.22,4.25,616708,0,0,0
2019-08-05,4.25,4.36,4.25,4.34,961081,1,0,1
2019-08-06,4.29,4.32,4.22,4.32,464308,0,0,1
2019-08-07,4.32,4.59,4.29,4.47,2129709,1,1,1
