time,open,high,low,close,volume,price,volatility,trend
2019-01-08,17.99,17.99,17.6,17.66,558540,slight down,medium,below
2019-01-09,17.82,18.24,17.71,18.21,1075730,strong up,medium,above
2019-01-10,18.21,18.26,17.93,17.93,410690,slight down,low,above
2019-01-11,17.93,18.1,17.57,17.6,941940,slight down,medium,below
2019-01-14,17.6,17.85,17.35,17.6,755920,sideways,medium,below
2019-01-15,17.52,18.1,17.52,17.93,580710,slight up,medium,above
2019-01-16,18.04,18.07,17.77,17.77,363680,slight down,low,above
2019-01-17,17.77,17.88,17.6,17.63,297560,slight down,low,below
2019-01-18,17.63,17.82,17.46,17.49,509140,slight down,medium,below
2019-01-21,17.66,18.4,17.49,18.13,1207560,strong up,high,above
2019-01-22,18.15,18.26,18.04,18.07,563940,sideways,low,above
2019-01-23,17.88,18.13,17.71,18.04,432860,sideways,medium,above
2019-01-24,17.96,18.13,17.93,17.93,579540,slight down,low,below
2019-01-25,18.04,18.04,17.66,17.68,570980,slight down,medium,below
2019-01-28,17.68,17.85,17.55,17.6,545190,sideways,low,below
2019-01-29,17.6,17.6,17.41,17.49,635890,slight down,low,below
2019-01-30,17.6,17.8,17.44,17.49,429410,sideways,medium,below
2019-01-31,17.77,17.77,17.38,17.38,678130,slight down,medium,below
2019-02-01,17.35,17.57,17.33,17.44,537050,sideways,low,below
2019-02-11,17.57,17.8,17.55,17.63,631710,slight up,low,above
2019-02-12,17.68,18.04,17.68,17.91,1395780,slight up,medium,above
2019-02-13,17.96,17.99,17.8,17.93,1557810,sideways,low,above
2019-02-14,17.93,17.96,17.85,17.88,1018550,sideways,low,above
2019-02-15,17.85,18.65,17.71,18.29,1622530,strong up,high,above
2019-02-18,18.48,18.6,18.32,18.48,955540,slight up,low,above
2019-02-19,18.48,18.62,18.15,18.15,1143130,slight down,medium,above
2019-02-20,18.1,19.26,18.02,18.76,2361110,strong up,high,above
2019-02-21,18.9,19.12,18.76,18.9,2157870,slight up,low,above
2019-02-22,18.87,19.15,18.76,18.76,1459730,slight down,medium,above
2019-02-25,19.04,19.04,18.6,18.76,1687500,sideways,medium,above
2019-02-26,18.6,18.76,18.48,18.54,1409740,slight down,low,below
2019-02-27,18.54,18.73,18.48,18.54,749060,sideways,low,below
2019-02-28,18.54,18.62,17.93,17.93,1793480,strong down,medium,below
2019-03-01,17.99,18.26,17.99,18.13,1153130,slight up,low,below
2019-03-04,18.26,18.62,18.21,18.54,918340,strong up,medium,above
2019-03-05,18.32,19.48,18.32,19.09,4215640,strong up,high,above
2019-03-06,19.09,19.26,18.98,19.17,1601660,sideways,low,above
2019-03-07,19.31,19.45,19.15,19.26,1702650,sideways,low,above
2019-03-08,19.01,19.15,18.71,18.76,1808960,strong down,medium,below
2019-03-11,18.82,18.82,18.46,18.57,1137250,slight down,low,below
2019-03-12,18.82,19.59,18.65,19.59,1690500,strong up,high,above
2019-03-13,19.48,19.84,19.42,19.64,2860920,sideways,medium,above
2019-03-14,19.64,20.25,19.42,19.97,2561500,slight up,high,above
2019-03-15,19.97,20.69,19.81,20.53,3180240,strong up,high,above
2019-03-18,20.53,20.75,20.36,20.58,2925810,sideways,low,above
2019-03-19,20.5,20.58,20.14,20.2,2819110,slight down,medium,above
2019-03-20,19.95,20.14,19.59,19.92,2700620,slight down,medium,below
2019-03-21,20.0,20.22,19.2,19.2,2239650,strong down,high,below
2019-03-22,19.53,19.7,19.2,19.37,1877120,slight up,medium,below
2019-03-25,18.82,19.31,18.48,19.04,2092900,slight down,high,below
2019-03-26,19.26,19.37,18.87,18.93,1042090,slight down,medium,below
