Symbol,Train_Accuracy,Test_Accuracy
ACB,0.9890733645522918,0.9791585508375537
BCM,0.9963862436528331,0.9907381166507151
BID,0.9897821079314867,0.9482661794813466
BVH,0.9983101128795017,0.9768184779057165
CTG,0.993089929557153,0.9422058920234102
FPT,0.9975145180023229,0.9886043799607043
GAS,0.9965845529804412,0.9803397209847295
GVR,0.994815872655019,0.9713654449870258
HDB,0.9978715429802855,0.9562041700119558
HPG,0.9988201712922566,0.9707290775046874
LPB,0.9972259137806176,0.9811107528424711
MBB,0.9990101278520823,0.9193075194097929
MSN,0.9984730377049439,0.9818652985367642
MWG,0.9962873992489589,0.9894448274729966
PLX,0.9884021905359962,0.9498633009502574
SAB,0.975847934092406,0.9755436880376266
SHB,0.9972854602290928,0.9903496084516931
SSB,0.9991508579479697,0.9412144164176685
SSI,0.993898935228385,0.980254749980111
STB,0.9972925818834968,0.9766431015943237
TCB,0.9980929641200431,0.9751775288500291
TPB,0.9937334809856213,0.971277347594412
VCB,0.9994611131193851,0.9476600740045863
VHM,0.9961812963134187,0.9557407407407407
VIB,0.9990514213977173,0.9680625616713044
VIC,0.9959803420020661,0.9335986980464819
VJC,0.9744756258875519,0.9430261927567963
VNM,0.99842497848553,0.9749627862918232
VPB,0.9974088827083382,0.9844304554283677
VRE,0.9969353554981444,0.9683357646043982
