Symbol,Train_Accuracy,Test_Accuracy
ACB,0.9954,0.99
BCM,0.9922,0.9568
BID,0.9947,0.9885
BVH,0.9936,0.9868
CTG,0.9981,0.9841
FPT,0.9958,0.9578
GAS,0.998,0.9708
GVR,0.9946,0.9792
HDB,0.993,0.9735
HPG,0.9957,0.9746
LPB,0.9968,0.9781
MBB,0.9956,0.9715
MSN,0.9939,0.9231
MWG,0.9958,0.9513
PLX,0.995,0.9842
SAB,0.9922,0.9595
SHB,0.9942,0.9546
SSB,0.9933,0.9634
SSI,0.995,0.978
STB,0.9958,0.9898
TCB,0.9966,0.9685
TPB,0.9942,0.9733
VCB,0.9961,0.9624
VHM,0.9946,0.9639
VIB,0.9945,0.954
VIC,0.9937,0.9677
VJC,0.9953,0.9806
VNM,0.9934,0.9522
VPB,0.9972,0.9764
VRE,0.9945,0.9462
