Symbol,Best max_depth,R²,MAPE
ACB,5,0.8153,0.0147
BCM,5,0.9360,0.0166
BID,5,0.9009,0.0111
BVH,5,0.9713,0.0123
CTG,5,0.8966,0.0200
FPT,10,0.9750,0.0164
GAS,5,0.9426,0.0099
GVR,10,0.8964,0.0213
HDB,5,0.7728,0.0374
HPG,5,0.8928,0.0107
LPB,5,0.9907,0.0185
MBB,5,0.8390,0.0206
MSN,5,0.9428,0.0128
MWG,10,0.9631,0.0146
PLX,10,0.9728,0.0124
SAB,5,-0.2805,0.0394
SHB,10,0.9597,0.0097
SSB,5,0.8142,0.0174
SSI,5,0.9143,0.0143
STB,5,0.9544,0.0164
TCB,5,0.8946,0.0151
TPB,10,0.8394,0.0198
VCB,15,0.8204,0.0096
VHM,5,0.5873,0.0643
VIB,5,0.8962,0.0102
VIC,5,0.5043,0.0911
VJC,5,0.8844,0.0101
VNM,10,0.9481,0.0083
VPB,5,0.8826,0.0111
VRE,5,0.9062,0.0349
