,none,calendar_feature,rolling_feature,technical_feature,nonlinear_feature,autocorr_feature,trend_feature
ACB,0.9340326573579159,0.9343025909368063,0.9357460783620701,0.9379046052420473,0.9250827886181284,0.9250860972081365,0.9239647258687536
BCM,0.9637555977188657,0.9640313800357553,0.9640552303687356,0.9662137844971113,0.9646637928348001,0.9645785870171163,0.9645795224835175
BID,0.9371786423092483,0.9331961787091556,0.938391332242408,0.9384323240769616,0.9387305405862381,0.9389895970116378,0.9389902596636841
BVH,0.9826383508488998,0.9825747811703606,0.982782741482878,0.9830363580405964,0.9826724188649403,0.9826508129648472,0.9826508077542652
CTG,0.9716191122463087,0.971722755302854,0.9722232968149871,0.9728609799022371,0.9681113802932109,0.9700870597413509,0.9700976719450036
FPT,0.987565304107998,0.9867527676214574,0.9875248998320464,0.9876072972940646,0.9841142705221426,0.9839290443263643,0.9843931848273059
GAS,0.9663893240093202,0.9658296085968104,0.9657531572911442,0.9669076418225091,0.9680693755092705,0.9677699922322431,0.9678055369838597
GVR,0.9552564400800696,0.9551535912764935,0.9557383113812035,0.9584815057282486,0.9587569608252124,0.9585268151310546,0.9585075549939976
HDB,0.9756793937544787,0.9756277949823717,0.9750830904962701,0.9750587093273079,0.9691312127570272,0.968911216886533,0.9693921839332412
HPG,0.9205548955447642,0.9119206201933343,0.917048900886965,0.9233244291539549,0.9228378426189148,0.9207149959581935,0.920065209189403
LPB,0.9957839682811888,0.9953716287826988,0.9955546902648477,0.995772079321237,0.9947993767218839,0.9946503852079868,0.9946891474761606
MBB,0.9534918565853312,0.9533072304043915,0.9533781279464375,0.9557795297368777,0.9468331931199541,0.9466177752162632,0.9466673733845058
MSN,0.9653426505601723,0.9654936467223341,0.9660488342774249,0.9671006511352022,0.9610438038053626,0.9627710605678268,0.9627694602554022
MWG,0.9807721769705914,0.9813654341190009,0.9815382298266699,0.9819337603364191,0.9804563718813661,0.9803887630226062,0.9803860739165788
PLX,0.9823675487947776,0.9805138762389164,0.9806649288389677,0.9813915518017494,0.980996136173225,0.9808302148451757,0.9808273833209105
SAB,0.9450401484319279,0.9446442737523445,0.9467010892773835,0.9454377868820644,0.9423758790426979,0.9398545327424221,0.9398679326293493
SHB,0.9690041101187322,0.9645808163529346,0.9673281630347875,0.968573351322571,0.9660137843250657,0.9656052312212502,0.9653131631422046
SSB,0.9570183150515513,0.9561439475358083,0.9547258667415526,0.9533562826092412,0.9533524793993176,0.9491554818262896,0.9491540715970167
SSI,0.950296103955053,0.9501588893621045,0.9487700351780595,0.9500716447185542,0.9484470734886903,0.9482495376478632,0.9481426790432155
STB,0.9830847658923952,0.9829915487944539,0.9832597089366141,0.9823965622304722,0.9814471353149384,0.9817442701377184,0.9819259435620151
TCB,0.962886317896075,0.9630848850263938,0.9636841508660171,0.9649931985449508,0.9611823905029223,0.9586573227805958,0.9602816474726114
TPB,0.9645885886419321,0.964051066607227,0.9633822059963483,0.96378519530973,0.9627160880423029,0.9619206418142825,0.9622633965561713
VCB,0.9039537334994067,0.9039011616592271,0.9047373331543551,0.905038322705471,0.9044300988487987,0.9040882067015183,0.9040875304358668
VHM,0.9768663625349336,0.9764782232770542,0.9774387688571526,0.9775513321957804,0.9739418721343129,0.9729194918923723,0.9739481184634341
VIB,0.9238849475817724,0.915639801083151,0.9259753979081231,0.9287200800101084,0.9257425230796644,0.9242207251348743,0.9240956882777618
VIC,0.9793469609672196,0.978262387100863,0.9799374639798236,0.9806477554534612,0.9786900258980525,0.9789463621618029,0.9788746485122276
VJC,0.9672073299259751,0.9663768184814,0.9672346204764085,0.967627905256036,0.9681618827212743,0.968116074936927,0.9681161789209098
VNM,0.9692315857842285,0.9693142989777717,0.9696854047055297,0.9697768484395793,0.9700980506746463,0.9700628985987372,0.9700619706248121
VPB,0.9309885580010304,0.9295980609168444,0.9314445278376988,0.9281320059589424,0.9262437671770366,0.9260006787388928,0.926434284041596
VRE,0.9851885900346204,0.9842608949663458,0.9855406257448619,0.9856929181503467,0.9858034711159332,0.9857213887208323,0.9857213283066928
