,none,calendar_feature,rolling_feature,technical_feature,nonlinear_feature,autocorr_feature,trend_feature
ACB,0.7789541691669848,0.777107187304665,0.777429271358472,0.777426606865409,0.7824689397860058,0.783187376480883,0.7826763654861946
BCM,0.7961465352627848,0.7953597401770531,0.7999052638769937,0.8049880160343761,0.8147120602809561,0.814726512933901,0.8147168391882937
BID,0.7826015940347731,0.7826790446713321,0.7843964622652108,0.7878568931563277,0.7894281612255797,0.7904233880728065,0.7904348745024558
BVH,0.8270402580333229,0.827151376987036,0.8272203492907589,0.8276888698520924,0.8251562188818772,0.8267358009560484,0.8267357989801527
CTG,0.784118360192411,0.7847169464509758,0.7871086763347088,0.7869636870919737,0.7872545224975431,0.7882783882613537,0.7882790957306737
FPT,0.8366972463766625,0.836222296856147,0.8347563544482537,0.8319983038713998,0.8372171269911977,0.8368347680533033,0.8368385870484648
GAS,0.8341459301743633,0.8343486451894065,0.8360649346803892,0.8391836962247223,0.8396733701002723,0.8400219624184591,0.8400218797682701
GVR,0.8107515760829068,0.8107701661270518,0.8111919265302415,0.8124092583009949,0.8116203502768338,0.8116463092248363,0.811689795044615
HDB,0.8181216538727061,0.8184821349874862,0.818825314148983,0.8196614354930185,0.8165174055555106,0.8156204883159077,0.8156977414965876
HPG,0.7489811620121798,0.749473271064202,0.7499752056662016,0.7496682031008612,0.7559795823165784,0.7558477755717361,0.7560599790351314
LPB,0.817642095764873,0.8137517271049806,0.7888122290598223,0.7806740052982345,0.7570206887045325,0.7644970731174707,0.7630111273696867
MBB,0.8194367869337402,0.8188969290606032,0.8177873840382694,0.8178437626226174,0.8157024394433912,0.8159154500918924,0.8160101938643214
MSN,0.734485079278969,0.728011793635263,0.7425923715519567,0.7515853235199221,0.7539036226900167,0.7552360549384465,0.755236671415434
MWG,0.8104189115743792,0.8103571871590889,0.8113709752845437,0.8114620876338465,0.8137667482911631,0.8133813425548235,0.8131705708645498
PLX,0.8464824014513876,0.8467427005350567,0.8461665381707155,0.8437422892728709,0.8460874642476973,0.8455326245288098,0.8455412568877474
SAB,0.7730761447584614,0.7588824381808095,0.7156084759884747,0.7335580674264203,0.7736935945190617,0.7727745904162076,0.7728379011512683
SHB,0.859517770556445,0.8606218976063417,0.8658307695192342,0.8669868223088436,0.8661056744538659,0.8649784992127636,0.8653638630618072
SSB,0.8508354005954855,0.848902299921594,0.8464128887770996,0.8465296145575996,0.8457242206819814,0.8451435776447503,0.8451435776447503
SSI,0.8137025751668949,0.8138219019080569,0.8146099008306054,0.8167521285603868,0.8181368689409929,0.8181543760395721,0.8181475849716378
STB,0.8278358130607236,0.8266919264038286,0.8215529143961413,0.8239626823955165,0.8275312744078512,0.8272657772145017,0.8277029204518487
TCB,0.7999697907912411,0.7979526924591325,0.7979449405947486,0.7978032246225901,0.7958590547859571,0.7950070767291492,0.795133102702194
TPB,0.7932268462172876,0.792562114175794,0.7940781470222362,0.7929356572582565,0.7932236109790022,0.7934315637931592,0.7931834723931479
VCB,0.7698212378702871,0.7666283149982938,0.7651751118092752,0.7640092300593398,0.765803706923131,0.7621714825687914,0.7621714825687914
VHM,0.8473908985463435,0.8466002808447961,0.8507158871749407,0.8489159653960543,0.8476337466245312,0.8488609766586416,0.8488572542848798
VIB,0.7737608520572221,0.7737334908150929,0.770966232768832,0.7757782790685304,0.7806892748517796,0.777823009364716,0.7800853882704597
VIC,0.9007371322110563,0.9003683593860157,0.8998698331364011,0.8996723688616175,0.899037604369352,0.8977419266745084,0.8977550799484414
VJC,0.8496220010704818,0.845572925064862,0.8403788333103833,0.8404562098427746,0.832114689893074,0.8215103100285424,0.8215103100285424
VNM,0.833127536191596,0.8337564320985663,0.8356111774270145,0.8358514567916655,0.8368932378255882,0.8377003640645928,0.8377003493084411
VPB,0.787679569255457,0.7872072778312317,0.7868828595232601,0.788679182812788,0.793349567245087,0.7929349216188551,0.7930394537584107
VRE,0.8436090427870347,0.8426242252147225,0.8417873672837471,0.843036704659369,0.8438879194191603,0.8410004268388322,0.8410004541851828
