,no_feature,+ calender_feature,+ rolling_feature,+ technical_feature,+ non_linear_feature,+ autocorr_feature,+ trend_feature
ACB,0.8280529753087529,0.8280529753087529,0.8257025151907383,0.8541946604623466,0.8729537825986742,0.8726354811761334,0.8726355223189592
BCM,0.9026269270983043,0.9026269270983043,0.8980741645715883,0.9104718064491047,0.9277124347888109,0.9278342743232925,0.9278341249815848
BID,0.8748547332412971,0.8748534078499653,0.876529241771159,0.8864032125798247,0.9091483275631582,0.9092875468053427,0.9092875468053427
BVH,0.9626081386738544,0.9626081386738544,0.9624603467336055,0.9681352543334116,0.9770052128733735,0.9770171028274821,0.9770171079023033
CTG,0.9394322413520974,0.9394322413520974,0.9390129295674077,0.947169674828169,0.9547670412832537,0.9547992787543376,0.9548908046680963
FPT,0.9570678082017041,0.9570678082017041,0.9564905048806436,0.961052130261568,0.9636373083107954,0.9630759964561891,0.9630758459904166
GAS,0.9363738478258864,0.9363738478258864,0.9367116737030701,0.9431442268305084,0.9620943683200129,0.9621200385856572,0.9621200385856572
GVR,0.8950827178632653,0.8950827178632653,0.8942553497658491,0.9065768094891427,0.9248853719412787,0.9247524625735757,0.9247523028409625
HDB,0.9261271250322245,0.9261271250322245,0.926638193865337,0.9346633292719229,0.9427607424707521,0.942522884508451,0.9424338318256646
HPG,0.7990023650322898,0.7990023650322898,0.7988388873882859,0.8271824284362344,0.8643591541631989,0.86434990649653,0.8643489557024416
LPB,0.9845264926181864,0.9845264926181864,0.9841200458111921,0.9845659184927162,0.9855131193388886,0.9853621561145052,0.9853619772602292
MBB,0.8835952042805453,0.8835952042805453,0.8835869740089357,0.8968560061211901,0.9161810780889339,0.9162970400888498,0.9162972293294637
MSN,0.9130030775115817,0.9130030775115817,0.9137457335306376,0.9373810574403023,0.9572510483546774,0.9572589079704183,0.9572585790973753
MWG,0.9488978373309328,0.9488978373309328,0.9483458851282623,0.9520392942134992,0.9651991884132095,0.9646599392776541,0.9646599424569547
PLX,0.9685605223646958,0.9685605223646958,0.9679881674944841,0.97234132328798,0.9802412635121809,0.9801446976087707,0.9801447348457906
SAB,0.8474124680674234,0.8474124680674234,0.8437703279427127,0.8540486330226006,0.8957577664767341,0.8960144618540233,0.8960147873425011
SHB,0.9333542040847278,0.9333542040847278,0.9323472273234193,0.9425418387718398,0.9544125332530562,0.9545173780585815,0.9545174784189355
SSB,0.9169847053121987,0.9164058448475283,0.9169794085448668,0.9135399572829641,0.9363090717652821,0.9338934478538528,0.9338934478538528
SSI,0.8837982515068633,0.8837982515068633,0.8856227445499016,0.8970778999068619,0.9183914450205644,0.9184165110554969,0.9184160537258026
STB,0.956702435502809,0.956702435502809,0.9567219739708743,0.9623756756649979,0.9694342035327214,0.9695353715763375,0.9695353053616936
TCB,0.9175354994246254,0.9175354994246254,0.9168711253431179,0.9283753689134215,0.940532274770786,0.939228780662685,0.9392287819562688
TPB,0.9107132189024034,0.9107132189024034,0.9121262386051971,0.9239948904720221,0.9374219007890007,0.937877437992013,0.9378773042418114
VCB,0.786143139236406,0.786143139236406,0.7909435331502775,0.8151244199461242,0.85240328903613,0.8528713364929563,0.8528759870628145
VHM,0.9462862476525422,0.9462862476525422,0.9432232756534598,0.9516101500420944,0.9694845826423512,0.9694546548693806,0.9694545702115889
VIB,0.8302357218606555,0.8302358128186558,0.8258197773698055,0.8448636525672778,0.8750224692099587,0.8756250471106163,0.8756177538704357
VIC,0.937751213429135,0.937751213429135,0.9380425633491217,0.9443150596607568,0.9614112375560184,0.961469641252667,0.9614697619369927
VJC,0.9359019047184653,0.9359019047184653,0.9357612261072762,0.9429984501146705,0.9576188787036446,0.9576251072619675,0.9576251072619675
VNM,0.9514933346605429,0.9516783701824341,0.9525160115886628,0.9558546963681676,0.9653477133787263,0.965261101179817,0.9652614392160802
VPB,0.841065519474998,0.841065519474998,0.8382342803347795,0.8638030828817894,0.8946136375667637,0.8949543268739583,0.8949552873812645
VRE,0.9662920999473282,0.966292210574748,0.9687405303134694,0.9714355401383499,0.9789310349114724,0.9787736186037851,0.978773618600133
