,none,calendar_feature,rolling_feature,technical_feature,nonlinear_feature,autocorr_feature,trend_feature
ACB,0.9393048533272481,0.9391222020275793,0.939547712674786,0.9385542899416628,0.9370563927517581,0.9351692907710323,0.9368275391834479
BCM,0.9663914746261756,0.9663766581064324,0.9665027927479876,0.9662740483520591,0.965397673012186,0.9654139545527172,0.9654365409560633
BID,0.9373837066880069,0.9353649296787478,0.9350654961929427,0.9380807683004766,0.9349669502450733,0.9350053269663682,0.9350602216314425
BVH,0.9826991513882002,0.9824046382789805,0.9818277795871844,0.9821998231780633,0.9819132180787111,0.9813501914349678,0.9816934825694796
CTG,0.9715540918471721,0.9713478012919017,0.9711302205172936,0.9711542089380977,0.9712879213666036,0.9712753940589747,0.9712928123732498
FPT,0.9886448147716009,0.9886052318209053,0.9880321706068013,0.9877368537018044,0.9864518532127572,0.986245991846424,0.9862322254365326
GAS,0.9690652272006877,0.9680042375678116,0.9680698511594659,0.9675737030859399,0.9692296881087115,0.9683984995638182,0.9683682534662598
GVR,0.955003274794967,0.9546748369139453,0.9539425383643587,0.9529866278890907,0.9527845657535684,0.9525444416659704,0.9525460459098218
HDB,0.9747596906076477,0.9746669350416038,0.9741647525697021,0.9742872398273448,0.9715447767427039,0.9710947057150985,0.9711212043171492
HPG,0.9221370393131493,0.9209955719646368,0.9205322905510829,0.918879424982664,0.9166566802524554,0.9159098535369115,0.9157965735779577
LPB,0.9959343164686647,0.9959307444161274,0.9959353362255021,0.9959464024476734,0.9959265081820481,0.9958839909190013,0.9958847594116089
MBB,0.9575147336860372,0.9573443218109138,0.9567158065617489,0.9565331936451,0.9554943897314198,0.9554207215645522,0.9554070349695685
MSN,0.9647591735328975,0.965546932656693,0.9623918104312952,0.9582962263955853,0.9657172856189369,0.9644687556300087,0.9644307593503839
MWG,0.9798946375627212,0.9796579731991067,0.9797282963726244,0.9792579194187359,0.9792046863466695,0.9790603707487412,0.9790719971660212
PLX,0.9819509790330697,0.9813492473270791,0.9816984535933712,0.9817699857825215,0.9817833230852179,0.9823796655444981,0.982433865119282
SAB,0.9474526439352453,0.9461392557409704,0.9458977022675342,0.9281263227815874,0.9418425996345685,0.9397394072966517,0.9398280950534817
SHB,0.9734696814799937,0.9727508995323526,0.9732974177267611,0.9731543339084239,0.9716769843173844,0.9709678082671007,0.9709607242580935
SSB,0.950901768308217,0.9426274333074087,0.9402267591875428,0.9375646868923484,0.9494077014930615,0.9447527386865398,0.9447474522962692
SSI,0.9513412169621096,0.9508773598096986,0.949551837135719,0.9486180681550755,0.9483404578504603,0.9479992872213097,0.9479879398408599
STB,0.983511241649218,0.9832168607593059,0.9831099155097806,0.9830689485499648,0.9828369752995092,0.9834643496956592,0.9834306800120621
TCB,0.9656427989937426,0.9657342543348092,0.9643804464321557,0.9668059657055148,0.9645724802793605,0.9637020342769923,0.9638108617761235
TPB,0.9659161015526972,0.9658257377358866,0.9650961001486777,0.963989625755429,0.9637570965487505,0.9625812332152124,0.9624821418789461
VCB,0.9081854137756544,0.9078600378844011,0.9084622176207404,0.9070717968480033,0.9003897395612703,0.9029493471256815,0.9026475407343112
VHM,0.9776900314746119,0.9771827254255541,0.9761929813578629,0.9762891234356805,0.9753788727057793,0.9754894087255181,0.9755180985581821
VIB,0.930897576468606,0.9299637109169873,0.9302498509765513,0.9290182283427866,0.9285583247825063,0.9278744664572139,0.9278771340043781
VIC,0.9835169222695866,0.9831451608728117,0.9832918047780725,0.9831203485855026,0.9821258039395976,0.9822156233138799,0.9822349048397762
VJC,0.9670904929687822,0.9662040600727282,0.965197819248636,0.9653426359123649,0.9646413221698369,0.9644140034186295,0.9644284835677198
VNM,0.9687980901457771,0.968348764008929,0.9678003632018952,0.9667342512137147,0.9662448577053934,0.9661294817830945,0.966244105734517
VPB,0.9316466593515838,0.9303912392641029,0.9287435953371111,0.9278650639082536,0.9266909545472848,0.9263615198271842,0.9261724124986186
VRE,0.9847240214468058,0.9834045735169351,0.9823717565883515,0.9808150573318297,0.9819233231282187,0.9807577893286961,0.9807372100448811
