sep=,
Checkpoints/Tests,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,0.44877851009368896,0.8187817335128784,0.6108455657958984,0.8276834487915039,0.859313428401947,0.7663286328315735,0.7877689003944397,0.817085862159729,0.7128263711929321,0.7814500331878662,0.8855881690979004,0.7444362044334412,0.6897722482681274,0.9489315152168274,0.9133813381195068,-1.9773989915847778,0.9060960412025452,0.7611594796180725,0.8594306707382202,0.9326546788215637,0.8977934122085571,0.9026663303375244,0.5353587865829468,0.3452192544937134,0.8628711104393005,-0.3839718699455261,0.6973237991333008,0.840806782245636,0.73604416847229,0.1637444794178009
BCM,-0.17981833219528198,0.8602545857429504,0.23059327900409698,0.913687527179718,0.7636876106262207,0.5488723516464233,0.8200339078903198,0.8099252581596375,0.48399877548217773,0.5265699625015259,0.8325878381729126,0.49487119913101196,0.8919962644577026,0.9428732395172119,0.9548554420471191,0.00282914936542511,0.7931082248687744,0.7648704648017883,0.8569871187210083,0.9057402610778809,0.8286640048027039,0.90216064453125,0.18578550219535828,0.7188762426376343,0.8320156335830688,0.5423972010612488,0.8209289312362671,0.9061405062675476,0.5324347019195557,0.5836584568023682
BID,-0.27265819907188416,0.8261447548866272,-0.23409825563430786,0.9517875909805298,0.7301979064941406,0.16589663922786713,0.765052855014801,0.8343551158905029,0.17643386125564575,0.38760021328926086,0.6021934747695923,0.4641262888908386,0.8093321919441223,0.9135928153991699,0.9593020677566528,0.8602215647697449,0.8107367157936096,0.9293643832206726,0.6579161882400513,0.8452059030532837,0.8501560688018799,0.770836353302002,-0.3326800763607025,0.9471098184585571,0.33802568912506104,0.9368659853935242,0.9328272938728333,0.9502793550491333,0.49147936701774597,0.8420251607894897
BVH,0.722734808921814,0.8672014474868774,0.7098287343978882,0.9245214462280273,0.930674135684967,0.8221272826194763,0.8697985410690308,0.8229612112045288,0.8267545700073242,0.4236540198326111,0.9159245491027832,0.8349059820175171,0.8849775791168213,0.9328393936157227,0.9366677403450012,-0.04701530933380127,0.9049516916275024,0.8989221453666687,0.806003212928772,0.9548234343528748,0.9084509611129761,0.8757739067077637,0.7194344997406006,0.7910391688346863,0.6414614915847778,0.4776777923107147,0.8838194608688354,0.9181571006774902,0.5199621319770813,0.81048983335495
CTG,-2.10701322555542,0.9139767289161682,-0.5881674289703369,0.9169390201568604,0.6198076009750366,-0.2704885005950928,0.7893635034561157,0.7478687763214111,0.040197938680648804,0.7621691823005676,0.5552122592926025,-0.025880813598632812,-0.39404812455177307,0.9283201694488525,0.9341325163841248,0.13783502578735352,0.8863602876663208,0.8553287982940674,0.44868361949920654,0.7957112789154053,0.6904841661453247,0.7850127816200256,-1.3676369190216064,0.80531907081604,0.15436410903930664,0.6390278935432434,0.8404412865638733,0.8899844288825989,0.8149527311325073,0.8696302175521851
FPT,0.8727760910987854,0.7087957859039307,0.8438549637794495,0.7410824298858643,0.9400621652603149,0.9630072116851807,0.5434995889663696,0.7734194993972778,0.9297807216644287,0.7366843223571777,0.987509548664093,0.9157755374908447,0.6888983845710754,0.9328415393829346,0.797378420829773,0.4574672281742096,0.7915847897529602,0.7964925765991211,0.8634206652641296,0.9705259203910828,0.9307518005371094,0.8819102644920349,0.739001452922821,0.8122881054878235,0.8631939888000488,0.8154845237731934,0.7513284683227539,0.7814781665802002,0.6806995868682861,0.8473989963531494
GAS,-6.926938056945801,0.9118897914886475,-4.2806620597839355,0.8977354168891907,-0.481049507856369,-2.684385299682617,0.9028129577636719,0.4335050880908966,-2.8292770385742188,0.787886917591095,-0.5168753862380981,-2.060452699661255,0.8323022723197937,0.8744639158248901,0.944018542766571,0.2900197505950928,0.951076090335846,0.8612861037254333,0.4967144727706909,0.4761519134044647,0.3377120792865753,0.8134288787841797,-4.815356731414795,0.7201492786407471,0.6261382102966309,0.19306471943855286,0.8459901809692383,0.8875292539596558,0.7947613596916199,0.4791245460510254
GVR,-0.1775151789188385,0.6058934926986694,-0.34313154220581055,0.8201677203178406,0.7436013221740723,0.18818095326423645,0.7778012752532959,0.7748810052871704,0.2673344016075134,0.07949391007423401,0.6900755167007446,0.5066040754318237,0.23816782236099243,0.9388277530670166,0.8965158462524414,-1.9209096431732178,0.6463371515274048,0.6299319267272949,0.8465675711631775,0.9114518165588379,0.8830280900001526,0.8637253642082214,-0.05101488530635834,0.34950703382492065,0.7400012612342834,-0.42170917987823486,0.6574335098266602,0.7612268328666687,-0.0997568666934967,0.6276870965957642
HDB,0.8648056983947754,0.9028742909431458,0.8230909109115601,0.8914377689361572,0.9352879524230957,0.9541743397712708,0.6935468912124634,0.8890738487243652,0.9201656579971313,0.8807190656661987,0.9815879464149475,0.9167927503585815,0.11179332435131073,0.9640107750892639,0.901907742023468,0.15561415255069733,0.869063675403595,0.8480362892150879,0.8935995697975159,0.9759393930435181,0.9390571713447571,0.9225407838821411,0.7497363686561584,0.7296504378318787,0.8756899833679199,0.5328469276428223,0.7997828125953674,0.8568223714828491,0.8686678409576416,0.8187183141708374
HPG,0.19790244102478027,0.854751467704773,-0.11824223399162292,0.9007022976875305,0.8444478511810303,0.2181694507598877,0.8305801153182983,0.8087738752365112,0.36484193801879883,0.7128111124038696,0.6870096921920776,0.6989513635635376,0.793425440788269,0.9282504916191101,0.8864705562591553,-0.2037702202796936,0.9242439270019531,0.844814658164978,0.697258472442627,0.9402486681938171,0.928801417350769,0.8406108617782593,0.288409948348999,0.7215938568115234,0.4936373829841614,0.48523902893066406,0.762031078338623,0.85342937707901,0.7409261465072632,0.5951676368713379
LPB,-1.4317948818206787,0.5748980641365051,-0.5273876190185547,0.7470911741256714,0.5460155606269836,-0.8924978375434875,0.6905624270439148,0.7426943778991699,-0.5184555053710938,0.3319512605667114,0.10383246839046478,0.13302789628505707,0.7240014672279358,0.913165271282196,0.8007020950317383,0.5394838452339172,0.7536160349845886,0.7003213167190552,0.7796294689178467,0.8417131304740906,0.8166625499725342,0.7792959213256836,-0.2218979299068451,0.6294641494750977,0.6253818273544312,0.6512660384178162,0.7011836767196655,0.7233793139457703,0.25034892559051514,0.7286059856414795
MBB,0.05958801507949829,0.9181320667266846,0.4346402883529663,0.8623707294464111,0.8027393817901611,0.5806001424789429,0.7735121250152588,0.8609710931777954,0.5237583518028259,0.8794284462928772,0.8273133039474487,0.6035163402557373,0.26640862226486206,0.9527525901794434,0.8891099691390991,0.642761766910553,0.9646679162979126,0.7324038147926331,0.8076573610305786,0.9057542085647583,0.8476963043212891,0.9050514101982117,0.38839226961135864,0.7916058301925659,0.698144257068634,0.7478960752487183,0.8503977656364441,0.837790846824646,0.8899385333061218,0.7623909711837769
MSN,0.46074387431144714,0.7913260459899902,0.8084123134613037,0.9212414026260376,0.8473096489906311,0.9347995519638062,0.8081333637237549,0.6736891269683838,0.9024943709373474,0.01718306541442871,0.9753871560096741,0.7094356417655945,0.9105027914047241,0.8532131910324097,0.9411139488220215,-0.510023832321167,0.7457188367843628,0.852023720741272,0.09988619387149811,0.8691624402999878,0.7560755610466003,0.5957446098327637,0.48042261600494385,0.6398965120315552,-0.5708014369010925,0.2827015519142151,0.8628866076469421,0.9292619228363037,0.20756661891937256,0.4615110754966736
MWG,-1.1142570972442627,0.6807719469070435,-0.24913254380226135,0.9384660720825195,0.6379234194755554,0.27495211362838745,0.411599338054657,0.8159147500991821,0.07439416646957397,-0.31300297379493713,0.728475034236908,0.26864179968833923,0.8928806781768799,0.9149043560028076,0.9331138134002686,-5.238274574279785,0.7070075273513794,0.6012099981307983,0.6196377277374268,0.8687112927436829,0.8748292326927185,0.711149275302887,-0.22681933641433716,-0.5599284172058105,0.15641729533672333,-2.3876993656158447,0.6756600737571716,0.8818385601043701,-0.400114506483078,-0.9275918006896973
PLX,0.7657008171081543,0.913695216178894,0.7247329354286194,0.9415393471717834,0.9298405647277832,0.8259372711181641,0.9236207604408264,0.9106497764587402,0.8449028134346008,0.6197746992111206,0.9239782094955444,0.8717958927154541,0.5532424449920654,0.9650180339813232,0.9625803232192993,0.8538410663604736,0.8785647749900818,0.9351094365119934,0.8841894865036011,0.9591254591941833,0.9440255165100098,0.9180139303207397,0.7438402771949768,0.9558993577957153,0.7952938079833984,0.950072169303894,0.9375274777412415,0.9393975734710693,0.6462395191192627,0.9767407178878784
