Checkpoints/Tests,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,0.9229458570480347,0.9656083583831787,0.9283586740493774,0.9809428453445435,0.9710913896560669,0.980060875415802,0.9660614132881165,0.9560004472732544,0.9687154293060303,0.9235019683837891,0.9916695356369019,0.9527355432510376,0.9640873074531555,0.9807841777801514,0.9815060496330261,0.945453941822052,0.9752041697502136,0.9632894396781921,0.9536944031715393,0.9832469820976257,0.9664112329483032,0.9663505554199219,0.8928638696670532,0.9767563343048096,0.9368582963943481,0.9806216359138489,0.9657151103019714,0.9677360653877258,0.9339852929115295,0.9851600527763367
BCM,0.9139290452003479,0.9652513265609741,0.9120525121688843,0.9802082180976868,0.9699886441230774,0.9733813405036926,0.9647417068481445,0.9558982849121094,0.9610268473625183,0.9185549020767212,0.9895220994949341,0.9507455825805664,0.9633091688156128,0.9804988503456116,0.9810636043548584,0.9417842626571655,0.974495530128479,0.9601481556892395,0.9527921676635742,0.9830428957939148,0.9666817784309387,0.9657659530639648,0.8796667456626892,0.9744696021080017,0.9358173608779907,0.9794175624847412,0.963133692741394,0.9661098718643188,0.9291623830795288,0.9830343723297119
BID,0.934365451335907,0.9653884172439575,0.9328746199607849,0.9814245104789734,0.9732568264007568,0.9855397939682007,0.9660256505012512,0.9582196474075317,0.972888708114624,0.91387939453125,0.9945671558380127,0.9579422473907471,0.9645543098449707,0.9804762601852417,0.9821351766586304,0.9421835541725159,0.9712201952934265,0.9632048606872559,0.952530562877655,0.9838945865631104,0.9673842787742615,0.9667034149169922,0.9000344276428223,0.9779380559921265,0.9329800009727478,0.9798610210418701,0.966851532459259,0.96820068359375,0.9272273778915405,0.9861578941345215
BVH,0.9262337684631348,0.9636976718902588,0.9307979941368103,0.981878399848938,0.9722244739532471,0.9863754510879517,0.9661607146263123,0.9546170830726624,0.9727747440338135,0.9165974259376526,0.9951967000961304,0.9535598158836365,0.9648529887199402,0.9800662398338318,0.9818630218505859,0.9412425756454468,0.9715186357498169,0.963104248046875,0.9483246803283691,0.9826756119728088,0.9657179117202759,0.9648965001106262,0.8950691223144531,0.9769073724746704,0.9269773960113525,0.9770081043243408,0.9678980708122253,0.9685805439949036,0.9292676448822021,0.9842187166213989
CTG,0.8979527950286865,0.9645257592201233,0.9134794473648071,0.9795095920562744,0.9675585627555847,0.9734476804733276,0.9648836255073547,0.9530826807022095,0.960832417011261,0.9197932481765747,0.9886726140975952,0.9441090822219849,0.9634512662887573,0.9798485040664673,0.9811171293258667,0.9404127597808838,0.9755567312240601,0.9609318971633911,0.948520839214325,0.9813973903656006,0.9636310338973999,0.9636783003807068,0.8691004514694214,0.9742203950881958,0.9316654205322266,0.9747575521469116,0.9659124612808228,0.9684160947799683,0.9329743981361389,0.9814603924751282
FPT,0.9070158004760742,0.9619054794311523,0.909803569316864,0.978203296661377,0.9677719473838806,0.974469780921936,0.9624390006065369,0.9508957862854004,0.9611998796463013,0.9156137704849243,0.989284873008728,0.9450090527534485,0.9592766761779785,0.9793616533279419,0.9794549345970154,0.9382548332214355,0.9731484055519104,0.9556764960289001,0.949761152267456,0.9811376929283142,0.9636534452438354,0.9626198410987854,0.8661236763000488,0.9713463187217712,0.9328823089599609,0.9764330983161926,0.9589694738388062,0.9635254740715027,0.9250131845474243,0.9810346961021423
GAS,0.11921724677085876,0.9647915363311768,0.33565282821655273,0.981063961982727,0.8268241882324219,0.5376330018043518,0.9664440751075745,0.9105355739593506,0.5431915521621704,0.9133224487304688,0.8037725687026978,0.6466789841651917,0.9645118713378906,0.9738186597824097,0.9815962910652161,0.9350778460502625,0.9736865162849426,0.9600357413291931,0.9246381521224976,0.9346202611923218,0.9109094142913818,0.956322193145752,0.29282209277153015,0.9720185399055481,0.9220309257507324,0.9741641879081726,0.9659224152565002,0.9675096869468689,0.9259621500968933,0.9825748801231384
GVR,0.9339703321456909,0.9639307260513306,0.9309723377227783,0.9810356497764587,0.9731759428977966,0.9864219427108765,0.9664900302886963,0.9551628828048706,0.9752084612846375,0.9204655289649963,0.9951317310333252,0.9579234719276428,0.9647344350814819,0.9802715182304382,0.9813348650932312,0.9370764493942261,0.9744632840156555,0.962211012840271,0.9518129825592041,0.9835600852966309,0.9670212268829346,0.9652726054191589,0.892784833908081,0.9751782417297363,0.93169766664505,0.9779033064842224,0.9658535718917847,0.9663683176040649,0.9304076433181763,0.9838317632675171
HDB,0.9347468614578247,0.9642206430435181,0.93332439661026,0.9805270433425903,0.9733411073684692,0.9870279431343079,0.9648445844650269,0.9562005400657654,0.9745659828186035,0.9191747903823853,0.9951615929603577,0.9579964876174927,0.962246298789978,0.9806845784187317,0.9813563823699951,0.9442291259765625,0.9745194911956787,0.9605882167816162,0.9519855976104736,0.9842352867126465,0.9676830768585205,0.9652425050735474,0.8975908160209656,0.9744595289230347,0.9342689514160156,0.9790334701538086,0.9641931056976318,0.9666863679885864,0.9305472373962402,0.9833597540855408
HPG,0.9326329231262207,0.9626606106758118,0.9289233088493347,0.9799189567565918,0.9723784923553467,0.9859923124313354,0.9629349708557129,0.9553149938583374,0.973091185092926,0.9182383418083191,0.9945389032363892,0.9563708901405334,0.9621281623840332,0.9803195595741272,0.9808192849159241,0.9417921304702759,0.9718239903450012,0.9585639238357544,0.9501015543937683,0.9833971858024597,0.966902494430542,0.963699221611023,0.8913179636001587,0.9737367630004883,0.9301736354827881,0.9785299897193909,0.9623879194259644,0.965114176273346,0.9291908144950867,0.9831130504608154
