Symbol,Train_Acc,Test_Acc,Test_Bal_Acc
ACB,0.9967051070840197,0.9932659932659933,0.9932098765432098
BCM,0.9966996699669967,0.9966329966329966,0.9970238095238095
BID,1.0,1.0,1.0
BVH,0.9991796554552912,0.9865319865319865,0.9862436313107921
CTG,1.0,1.0,1.0
FPT,1.0,0.9797979797979798,0.9801043557168784
GAS,0.9942575881870386,0.9932659932659933,0.994413407821229
GVR,0.998351195383347,0.9966329966329966,0.9965986394557823
HDB,1.0,0.9966329966329966,0.9963503649635037
HPG,0.9991796554552912,1.0,1.0
LPB,0.9958643507030603,0.9966329966329966,0.996551724137931
MBB,0.9983593109105825,0.9764309764309764,0.9760264598540146
MSN,1.0,1.0,1.0
MWG,0.9991796554552912,0.9764309764309764,0.9746376811594203
PLX,0.9991796554552912,1.0,1.0
SAB,0.9991796554552912,0.9966329966329966,0.9959016393442623
SHB,0.9991776315789473,1.0,1.0
SSB,0.9984962406015038,0.9831649831649831,0.9796747967479675
SSI,0.9975389663658737,0.9663299663299664,0.9650510438701371
STB,0.9983593109105825,1.0,1.0
TCB,0.9967186218211649,0.9966329966329966,0.9968553459119497
TPB,0.9975389663658737,0.9831649831649831,0.9833333333333334
VCB,0.9958982772764561,0.9730639730639731,0.9706453402366864
VHM,0.9975389663658737,0.9865319865319865,0.9877300613496933
VIB,1.0,0.9629629629629629,0.9663857589243443
VIC,1.0,0.9966329966329966,0.9969325153374233
VJC,0.9975389663658737,0.9831649831649831,0.9864864864864865
VNM,0.9934372436423298,0.9797979797979798,0.9763418079096046
VPB,0.9893355209187858,0.9696969696969697,0.9694651162790697
VRE,1.0,0.9865319865319865,0.9886363636363636
