Symbol,Thresh,Val_Bal_Acc,Train_Acc,Test_Acc,Test_Bal_Acc
ACB,0.6500000000000001,0.5927172582619339,0.9208573784006595,0.5709459459459459,0.5325686382900313
BCM,0.33000000000000007,0.6036463151403022,0.921619293712317,0.5,0.5176711309523809
BID,0.34,0.5750926862150321,0.9137931034482759,0.4864864864864865,0.49830412662521195
BVH,0.6900000000000002,0.6027568922305764,0.9252873563218391,0.5608108108108109,0.5165633881563622
CTG,0.25,0.6239224137931034,0.922824302134647,0.5641891891891891,0.5606531171500342
FPT,0.49000000000000005,0.6264784946236559,0.9252873563218391,0.5709459459459459,0.5737154601507193
GAS,0.6200000000000001,0.6316002155172413,0.9277504105090312,0.5878378378378378,0.5373262235764616
GVR,0.34,0.6108362699918677,0.9216171617161716,0.5202702702702703,0.5177168949771689
HDB,0.21000000000000002,0.5779238287832829,0.9137931034482759,0.5371621621621622,0.5575678281228481
HPG,0.52,0.6019159663865546,0.9203612479474549,0.5844594594594594,0.5843976608187134
LPB,0.37000000000000005,0.6689095449500555,0.9329470198675497,0.5777027027027027,0.5835160818713451
MBB,0.36000000000000004,0.5961124562819478,0.9187192118226601,0.5574324324324325,0.5558823529411765
MSN,0.32000000000000006,0.6028050108932461,0.9178981937602627,0.5777027027027027,0.6097572362278244
MWG,0.36000000000000004,0.6175838204663038,0.9236453201970444,0.6013513513513513,0.5963126031920749
PLX,0.30000000000000004,0.5682844624199528,0.9121510673234812,0.5506756756756757,0.5610567874030208
SAB,0.7300000000000002,0.5763736263736263,0.9236453201970444,0.6148648648648649,0.578104390427737
SHB,0.24000000000000002,0.6475735601729187,0.922633744855967,0.5337837837837838,0.5648810953639203
SSB,0.5,0.5527597402597403,0.9126506024096386,0.5337837837837838,0.530664034964049
SSI,0.6100000000000001,0.6192307692307693,0.9252873563218391,0.5709459459459459,0.5679620633819107
STB,0.53,0.6185344827586207,0.9236453201970444,0.5405405405405406,0.5425570776255708
TCB,0.4,0.6234143049932523,0.9236453201970444,0.6182432432432432,0.6178900977826746
TPB,0.6400000000000001,0.5982810920121335,0.9220032840722496,0.5675675675675675,0.5452694887809392
VCB,0.36000000000000004,0.5876573120667609,0.916256157635468,0.527027027027027,0.5414806547619048
VHM,0.22000000000000003,0.596677559912854,0.9146141215106732,0.4864864864864865,0.5076469504330201
VIB,0.34,0.6096305888767721,0.9207266721717589,0.5675675675675675,0.5521654013274125
VIC,0.6900000000000002,0.5785847815550785,0.9252873563218391,0.6182432432432432,0.603510226644555
VJC,0.38000000000000006,0.6257801899592944,0.9244663382594417,0.527027027027027,0.5619177018633541
VNM,0.44000000000000006,0.5447402289507552,0.909688013136289,0.5337837837837838,0.5429924242424242
VPB,0.24000000000000002,0.5946227875361734,0.9170771756978654,0.49324324324324326,0.5256939234808702
VRE,0.38000000000000006,0.5930569598921469,0.9178981937602627,0.5,0.5331439393939394
